scenario,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
BUY_NOW,55,645,656,1.0408172315365805,1.0212744476085833,-0.01954278392799713,-0.06390306474101237,0.01508406213862901,34.25731206598712,32.52486651264618,-1.7324455533409449,-9.497479191108164,4.805957111016259,11,-0.05611516687565927,0.0195224761525303,-8.004072933303778,4.455958742330786,разницы нет,разницы нет,разницы нет,разницы нет
WINDOW_CLOSING,22,90,89,1.106607938706009,1.1378506806882587,0.031242741982249633,-0.12576952204267,0.23537340637373688,-26.552353629577343,-10.857541335803338,15.694812293774005,-3.9824102501477383,51.17410342676957,10,-0.1808875527097304,0.22205539338923602,-9.164563221970644,55.92414235083556,разницы нет,разницы нет,разницы нет,разницы нет
all,55,735,745,1.0474663409853064,1.03290962464986,-0.014556716335446529,-0.04600260068731968,0.012761805008197466,26.811230552244535,27.342270138804555,0.5310395865600199,-4.423318591088946,5.324623958328055,11,-0.053305260211680625,0.01969971328462278,-2.197743693822958,4.234971033336571,разницы нет,разницы нет,разницы нет,разницы нет
