scenario,events_latest,hit_latest,benefit_fwd_latest,events_variant,hit_variant,benefit_fwd_variant,diff_hit,diff_benefit_fwd
BUY_NOW,645,0.5317829457364341,28.895086607014534,656,0.5182926829268293,24.803426275076763,-0.013490262809604858,-4.091660331937771
WINDOW_CLOSING,90,0.45555555555555555,-58.89452106674752,89,0.47191011235955055,-41.75041130397769,0.016354556803995002,17.14410976276983
all,735,0.5224489795918368,18.145338728594687,745,0.512751677852349,16.852699369659515,-0.009697301739487796,-1.2926393589351726
