date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts
2021-09-14,KZT,level,"level(pct=0.2,rearm=3,stall_days=3,window=120)",BUY_NOW,down,0.45833333333333337,medium,1,0.170597,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4878}","{""pct_rank"": 0.10833333333333334, ""window"": 120.0, ""days_since_min"": 66.0}"
2021-09-16,KZT,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.011019903258005604,medium,1,0.17029,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0011, ""_fitted"": true, ""_pos_rate_val"": 1.0}","{""proba"": 0.011019903258005604, ""pct_rank"": 0.09166666666666666, ""window"": 120.0}"
2021-09-17,KZT,level,"level(pct=0.2,rearm=3,stall_days=3,window=120)",BUY_NOW,down,0.45833333333333337,medium,1,0.170389,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4878}","{""pct_rank"": 0.10833333333333334, ""window"": 120.0, ""days_since_min"": 69.0}"
2021-09-21,KZT,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,1,0.171726,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}","{""rise_pct"": 1.0682990740395581, ""min_rate"": 72.4329, ""days_since_min"": 3.0, ""window"": 60.0}"
2021-09-22,KZT,level,"level(pct=0.2,rearm=3,stall_days=3,window=120)",BUY_NOW,down,0.0,medium,1,0.171101,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4878}","{""pct_rank"": 0.2, ""window"": 120.0, ""days_since_min"": 72.0}"
2021-09-22,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,1,0.171101,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -0.6148790083388533}"
2021-09-23,KZT,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.07224390129794568,medium,1,0.171016,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0011, ""_fitted"": true, ""_pos_rate_val"": 1.0}","{""proba"": 0.07224390129794568, ""pct_rank"": 0.14166666666666666, ""window"": 120.0}"
2021-09-24,KZT,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,1,0.171683,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}","{""rise_pct"": 0.794114276799629, ""min_rate"": 72.4329, ""days_since_min"": 6.0, ""window"": 60.0}"
2021-09-27,KZT,level,"level(pct=0.2,rearm=3,stall_days=3,window=120)",BUY_NOW,down,0.41666666666666674,medium,1,0.171008,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4878}","{""pct_rank"": 0.11666666666666667, ""window"": 120.0, ""days_since_min"": 75.0}"
2021-09-28,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,1,0.170728,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -0.6845815738253602}"
2021-09-29,KZT,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,1,0.17092,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}","{""rise_pct"": 0.45269483894749823, ""min_rate"": 72.4329, ""days_since_min"": 9.0, ""window"": 60.0}"
2021-09-30,KZT,level,"level(pct=0.2,rearm=3,stall_days=3,window=120)",BUY_NOW,down,0.33333333333333337,medium,1,0.170653,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4878}","{""pct_rank"": 0.13333333333333333, ""window"": 120.0, ""days_since_min"": 78.0}"
2021-09-30,KZT,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.10346290809334178,medium,1,0.170653,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0011, ""_fitted"": true, ""_pos_rate_val"": 1.0}","{""proba"": 0.10346290809334178, ""pct_rank"": 0.13333333333333333, ""window"": 120.0}"
2021-10-04,KZT,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,1.0,slow,1,0.171324,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}","{""rise_pct"": 0.6778687585337506, ""min_rate"": 72.4329, ""days_since_min"": 12.0, ""window"": 60.0}"
2021-10-05,KZT,level,"level(pct=0.2,rearm=3,stall_days=3,window=120)",BUY_NOW,down,0.375,medium,1,0.17077,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4878}","{""pct_rank"": 0.125, ""window"": 120.0, ""days_since_min"": 81.0}"
2021-10-06,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,1,0.170568,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -0.48776875619652715}"
2021-10-07,KZT,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.6385915675131493,medium,1,0.169704,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0011, ""_fitted"": true, ""_pos_rate_val"": 1.0}","{""proba"": 0.6385915675131493, ""pct_rank"": 0.075, ""window"": 120.0}"
2021-10-08,KZT,level,"level(pct=0.2,rearm=3,stall_days=3,window=120)",BUY_NOW,down,0.875,medium,1,0.169245,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4878}","{""pct_rank"": 0.025, ""window"": 120.0, ""days_since_min"": 84.0}"
2021-10-11,KZT,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.18000000000000005,medium,1,0.168558,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.4456}","{""dev_pct"": -2.2603087266251265, ""pct_rank"": 0.164, ""window"": 250.0, ""span"": 80.0}"
2021-10-11,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,1.0,fast,1,0.168558,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 5.0, ""drop_pct"": -1.7643049809458966}"
2021-10-12,KZT,reversal,"reversal(max_days_since_min=20,rearm=3,rise_bps=20,window=60)",WINDOW_CLOSING,up,0.8473239499534602,slow,1,0.168911,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}","{""rise_pct"": 0.33892957998138407, ""min_rate"": 71.6373, ""days_since_min"": 1.0, ""window"": 60.0}"
2021-10-14,KZT,level,"level(pct=0.2,rearm=3,stall_days=3,window=120)",BUY_NOW,down,0.875,medium,1,0.168489,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4878}","{""pct_rank"": 0.025, ""window"": 120.0, ""days_since_min"": 3.0}"
2021-10-14,KZT,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.5750349861322879,medium,1,0.168489,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0011, ""_fitted"": true, ""_pos_rate_val"": 1.0}","{""proba"": 0.5750349861322879, ""pct_rank"": 0.025, ""window"": 120.0}"
2021-10-14,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,1,0.168489,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -0.13286013792412898}"
2021-10-15,KZT,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.36,medium,1,0.167223,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.4456}","{""dev_pct"": -2.7471316514129818, ""pct_rank"": 0.128, ""window"": 250.0, ""span"": 80.0}"
2021-10-19,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,1.0,fast,1,0.166708,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 5.0, ""drop_pct"": -1.2697533809774897}"
2021-10-20,KZT,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.42000000000000004,medium,1,0.16668,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.4456}","{""dev_pct"": -2.9274799058872536, ""pct_rank"": 0.116, ""window"": 250.0, ""span"": 80.0}"
2021-10-21,KZT,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.010607603259907611,medium,1,0.166527,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0011, ""_fitted"": true, ""_pos_rate_val"": 1.0}","{""proba"": 0.010607603259907611, ""pct_rank"": 0.016666666666666666, ""window"": 120.0}"
2021-10-22,KZT,momentum,"momentum(n=2,rearm=3)",BUY_NOW,down,0.5,fast,1,0.166363,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}","{""streak"": 2.0, ""drop_pct"": -0.27190013440197003}"
