corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_scenario_median,lift_mean_pooled
AMD,BUY_NOW,11,103,0.5436893203883495,0.5024888882948483,1.1651728553137004,0.9347826086956521,46.71520478718428,63.113960030704625,0.34806629834254144,1.0819927227312653
AMD,WINDOW_CLOSING,7,33,0.5151515151515151,0.5284711840736116,1.1508196721311474,1.1508196721311474,29.54449153297361,64.07761071185669,0.15469613259668508,0.9747958463516884
KGS,BUY_NOW,11,153,0.5490196078431373,0.5246387203526084,1.1142857142857145,0.8704318936877076,31.777038383767415,54.97017501486739,0.532608695652174,1.046471765320986
KGS,WINDOW_CLOSING,3,13,0.6923076923076923,0.4109685529897167,1.8061224489795917,1.8061224489795917,71.04381891757453,62.892310184309295,0.15469613259668508,1.6845758325577171
KZT,BUY_NOW,11,133,0.48872180451127817,0.4598073130241237,1.1967779056386654,1.0350877192982457,24.857231322854943,49.50699990846518,0.580110497237569,1.062883931308064
KZT,WINDOW_CLOSING,2,10,0.5,0.4083563263697281,1.2419191919191919,1.2419191919191919,57.62226997378727,53.886863990585354,0.19147850108095124,1.2244208494208493
TJS,BUY_NOW,11,123,0.6178861788617886,0.5371514595197717,1.239406779661017,0.9140625,75.1649589081344,88.35331551901089,0.41847826086956524,1.1503015916855108
TJS,WINDOW_CLOSING,3,14,0.6428571428571429,0.46980199759072444,1.303030303030303,1.303030303030303,71.26719246915529,68.67292294649911,0.15469613259668508,1.3683576190690834
UZS,BUY_NOW,11,119,0.5462184873949579,0.4867825795256887,1.191919191919192,0.9090909090909091,41.72279575950593,5.552629228960104,0.41847826086956524,1.1220994965086515
UZS,WINDOW_CLOSING,3,13,0.6153846153846154,0.405485209432937,1.7333333333333332,1.7333333333333332,89.69328389790599,60.13512960283879,0.15469613259668508,1.517649968651677
