corridor,windows,pushes,freq_per_week_median,freq_per_week_min,freq_per_week_max,share_windows_in_band,empty_month_share_mean,longest_gap_days_max,clump_share_series_mean,storm_days,storm_blocked
AMD,11,136,0.41847826086956524,0.07734806629834254,0.875,0.0,0.22727272727272727,119.0,0.0,55,13
KGS,11,166,0.580110497237569,0.266304347826087,0.875,0.0,0.01515151515151515,77.0,0.0,55,17
KZT,11,143,0.580110497237569,0.07734806629834254,0.875,0.0,0.1515151515151515,119.0,0.0,68,16
TJS,11,137,0.41847826086956524,0.07734806629834254,0.875,0.0,0.1818181818181818,119.0,0.0,54,13
UZS,11,132,0.41847826086956524,0.07734806629834254,0.875,0.0,0.16666666666666666,119.0,0.0,43,10
