indicator,blocks,events_a,events_b,lift_a,lift_b,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_a,benefit_b,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi
dip_vs_trend,23,253,253,1.0541404000077128,1.0541404000077128,0.0,0.0,0.0,10.985347303187645,10.985347303187645,0.0,0.0,0.0
level,24,344,344,1.1300506992231318,1.1300506992231318,0.0,0.0,0.0,58.03427417578133,58.03427417578133,0.0,0.0,0.0
ml_localmin,25,160,168,1.2200933943854873,1.1702400916670963,-0.049853302718390946,-0.1723357210963041,0.05593729323903194,47.248066271551885,50.30562169585383,3.0575554243019454,-10.317464246214413,17.047596684706523
momentum,25,440,440,0.9496563676878162,0.9496563676878162,0.0,0.0,0.0,-8.316958207531844,-8.316958207531844,0.0,0.0,0.0
reversal,24,316,316,1.1226743438067537,1.1226743438067537,0.0,0.0,0.0,33.590269438708496,33.590269438708496,0.0,0.0,0.0
seasonality,25,63,63,1.0714309945994425,1.0714309945994425,0.0,0.0,0.0,34.95281222842472,34.95281222842472,0.0,0.0,0.0
all,25,1576,1584,1.06522771926166,1.0609143614627432,-0.004313357798916728,-0.016058326631042202,0.005289303869216539,25.037985082063567,25.474443390648563,0.4364583085849958,-0.8690012847801102,1.7685369127537083
