currency,step,period,n,mae_model_bps,mae_naive_bps,mae_ratio,dir_accuracy,dir_majority,share_forecast_up,share_realized_up,coverage_10_90,mean_forecast_bps,mean_realized_bps
AMD,1,все,2135,71.39020062768783,71.70901449096047,0.9955540615704205,0.5405532114392874,0.5227166276346604,0.4168618266978923,0.5227166276346604,0.7967213114754098,-3.927854473067915,4.0264037274788125
AMD,1,до среза,1457,75.43536542744418,75.50267173415898,0.9991085572845451,0.5374570446735395,0.5223061084420041,0.4104323953328758,0.5223061084420041,0.8030199039121483,-5.449301304049417,5.235875500295557
AMD,1,после среза,678,62.69727273204624,63.5565681733495,0.9864798325963802,0.5471976401179941,0.523598820058997,0.4306784660766962,0.523598820058997,0.7831858407079646,-0.6583146017699115,1.4272881330923877
AMD,5,все,2131,189.08899621829707,186.02301277549768,1.016481742753514,0.5011731581417175,0.5194744251525105,0.47489441576724545,0.5194744251525105,0.7935241670577193,-7.836219192867198,20.79839398870394
AMD,5,до среза,1457,199.77131644328736,196.86064813935891,1.0147854247735075,0.49965682910089226,0.5202470830473576,0.45229924502402197,0.5202470830473576,0.7810569663692519,-15.03947343857241,27.830086816736607
AMD,5,после среза,674,165.9967995301505,162.59506807943575,1.0209214922131147,0.5044510385756676,0.5178041543026706,0.5237388724035609,0.5178041543026706,0.8204747774480712,7.735207270029673,5.597835456888519
AMD,10,все,2126,276.4335994666198,270.07249241663345,1.0235533318964347,0.49223529411764705,0.5258701787394168,0.4609595484477893,0.5258701787394168,0.7949200376293509,-11.462185418626527,41.660412723468
AMD,10,до среза,1457,295.1062123612487,291.4687052135587,1.0124799235136577,0.48626373626373626,0.5360329444063143,0.43239533287577214,0.5360329444063143,0.7831159917638985,-24.825685380919698,56.57402107548
AMD,10,после среза,669,235.76693730298103,223.47416350016107,1.0550075839205955,0.5052316890881914,0.5037369207772795,0.523168908819133,0.5037369207772795,0.820627802690583,17.641879521674145,9.180401708697447
AMD,20,все,2116,405.8557543473452,392.34468785875976,1.0344367259368867,0.44896030245746693,0.5340264650283554,0.4603024574669187,0.5340264650283554,0.7873345935727788,-17.89077580340265,82.35648879123075
