threshold_bps,gated,corridor,split,window,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
0.0,False,TJS,0,2021-01…2021-06,20,25.0,23,23,0.17391304347826086,0.15254237288135594,1.1400966183574879,,,0.5217391304347826,0.5338983050847458,0.9772256728778467,-6.977094914652555,-2.594269522656172,-4.382825391996382,,,,,,,8.932405690263845,4.057192585805245,0.8895027624309392,0.0,0.0,10.0,0.0
0.0,False,TJS,1,2021-07…2021-12,20,25.0,24,24,0.125,0.17829457364341086,0.7010869565217391,,,0.5833333333333334,0.5581395348837209,1.045138888888889,15.818475591675055,33.342203091136966,-17.523727499461913,,,,,,,-1.2258799919149617,-3.8515263780235265,0.9130434782608696,0.0,0.16067952144812875,13.0,0.0
0.0,False,TJS,2,2022-01…2022-06,20,25.0,14,14,0.14285714285714285,0.1452991452991453,0.9831932773109242,,,0.35714285714285715,0.4700854700854701,0.7597402597402597,-139.7238050445086,-53.00503542290707,-86.71876962160152,,,,,,,424.35958094882307,-51.42992834013632,0.5414364640883977,0.0,1.299038105676658,64.0,0.16666666666666666
0.0,False,TJS,3,2022-07…2022-12,20,25.0,24,24,0.2916666666666667,0.2846153846153846,1.0247747747747749,,,0.625,0.6230769230769231,1.0030864197530864,125.773000295374,163.51128752215095,-37.73828722677695,,,,,,,-46.04497395535941,51.77660425116337,0.9130434782608696,0.0,0.21699393624312432,14.0,0.0
0.0,False,TJS,4,2023-01…2023-06,20,25.0,11,11,0.5454545454545454,0.4915254237288136,1.1097178683385578,,,0.8181818181818182,0.7627118644067796,1.0727272727272728,208.8811164212808,194.18642689935936,14.694689521921447,,,,,,,17.854264725101306,112.42419407897135,0.42541436464088395,0.0,0.47576292185085,29.0,0.0
0.0,False,TJS,5,2023-07…2023-12,20,25.0,20,20,0.25,0.24031007751937986,1.0403225806451613,,,0.45,0.5426356589147286,0.8292857142857144,-66.81488818273219,-14.369798255992611,-52.44508992673958,,,,,,,-83.71697597908057,-4.54236181969747,0.7608695652173914,0.0,0.31974560647740335,17.0,0.0
0.0,False,TJS,6,2024-01…2024-06,20,25.0,20,20,0.15,0.19658119658119658,0.7630434782608696,,,0.45,0.5555555555555556,0.8099999999999999,-30.757067048466705,16.838282384351277,-47.59534943281798,,,,,,,-27.76783894280093,-5.137105219571561,0.7692307692307693,0.0,0.35207892856314027,20.0,0.0
0.0,False,TJS,7,2024-07…2024-12,20,25.0,15,15,0.4,0.29770992366412213,1.3435897435897437,,,0.8,0.6717557251908397,1.190909090909091,180.4695000169914,95.96472466495561,84.50477535203578,,,,,,,60.697692956335196,156.05353776118528,0.5706521739130435,0.0,0.5523802738532113,30.0,0.0
0.0,False,TJS,8,2025-01…2025-06,20,25.0,15,15,0.4,0.19658119658119658,2.0347826086956524,,,0.4666666666666667,0.4700854700854701,0.9927272727272728,-108.86978506868512,-112.63640534071882,3.7666202720337054,,,,,,,36.58587843605799,-58.1871110879623,0.580110497237569,0.0,1.0189296139325037,57.0,0.16666666666666666
0.0,False,TJS,9,2025-07…2025-12,20,25.0,22,22,0.18181818181818182,0.2,0.9090909090909091,,,0.5909090909090909,0.5692307692307692,1.0380835380835383,39.89371542073855,24.64574363935889,15.247971781379661,,,,,,,14.216621531640781,20.79043741960183,0.8369565217391305,0.0,0.45339607408975213,22.0,0.0
