threshold_bps,gated,corridor,windows,active_windows,events,lift_mean_median,lift_pooled,benefit_excess_median,benefit_excess_pooled,freq_per_week_median,empty_month_share_median
0.0,False,AMD,11,11,168,0.915492957746479,0.9600028842370458,10.145187256927109,-3.571783845221206,0.6574585635359116,0.0
0.0,False,KGS,11,11,184,0.873134328358209,0.9139981398822679,-24.37216675142484,-32.79460169720482,0.6923076923076923,0.0
0.0,False,KZT,11,11,165,1.0522088353413654,0.9920067503698614,7.608123514369993,-29.280165116507387,0.6086956521739131,0.16666666666666666
0.0,False,TJS,11,11,205,0.9927272727272728,0.9672929593362214,-14.854808186245961,-14.991847513233525,0.7608695652173914,0.0
0.0,False,UZS,11,11,186,0.9829867674858223,0.9542744102731351,-3.7190295597691536,-18.46116579550415,0.7348066298342542,0.0
0.0,True,AMD,11,9,51,1.1727272727272728,1.074801093937129,95.01627582439204,47.27262196001821,0.15217391304347827,0.6666666666666666
0.0,True,KGS,11,10,67,1.1487802478851072,1.13742567785797,36.99493731213147,59.75101490087948,0.19021739130434784,0.6666666666666666
0.0,True,KZT,11,10,46,1.2210884353741496,1.1647612723673437,72.69098237821262,6.771104510345145,0.1141304347826087,0.6666666666666666
0.0,True,TJS,11,9,63,0.9915254237288136,1.0964523976825529,47.529815752122325,35.619836867083,0.15384615384615385,0.6666666666666666
0.0,True,UZS,11,10,65,1.1679394759953161,0.9761083648751983,73.91433254639593,-0.9043912928220345,0.15217391304347827,0.5
25.0,False,AMD,11,10,102,1.019429709570555,0.9931387901332271,20.15707427161244,2.8854074565179517,0.4565217391304348,0.16666666666666666
25.0,False,KGS,11,11,109,0.9558823529411764,1.030375927631839,17.08838487303828,-4.8354070298555225,0.41847826086956524,0.16666666666666666
25.0,False,KZT,11,10,90,0.9344484629294756,0.8946651169793136,3.9395675499760223,-68.39231061542253,0.19021739130434784,0.5
25.0,False,TJS,11,11,130,1.075,1.0237575064214646,32.47597551667205,-2.475247919940557,0.3804347826086957,0.0
25.0,False,UZS,11,11,116,0.9140624999999999,0.9012453414177439,-52.98441485478723,-43.35140213296856,0.30434782608695654,0.16666666666666666
25.0,True,AMD,11,8,27,1.3667727272727273,1.1542098376989427,54.68371903225999,48.73479156529278,0.03867403314917127,0.8333333333333334
25.0,True,KGS,11,9,35,1.4444444444444446,1.4581974116015235,110.10039992564398,109.55876803437575,0.07608695652173914,0.8333333333333334
25.0,True,KZT,11,7,20,1.1607142857142856,1.142695046560764,56.06525713311874,-66.42511738051839,0.03867403314917127,0.8333333333333334
25.0,True,TJS,11,8,41,1.2993386243386242,1.1804415653614737,100.56370481564115,42.068691839086966,0.11602209944751381,0.6666666666666666
25.0,True,UZS,11,8,28,0.9894157088122606,0.9316468204680053,157.94898873903333,-38.71465679950161,0.07734806629834254,0.6666666666666666
50.0,False,AMD,11,9,68,0.9961685823754789,0.9655771548192881,11.779453830223005,-6.228858512315529,0.19337016574585636,0.5
50.0,False,KGS,11,10,56,1.1598673300165838,1.0318839115374188,5.289648844406504,-11.024547053610172,0.11602209944751381,0.5
50.0,False,KZT,11,9,64,0.962686567164179,0.9698744362885806,23.06300395225008,-52.692212314573744,0.07608695652173914,0.6666666666666666
50.0,False,TJS,11,10,60,1.0808046683046684,1.0410545715551378,38.34392244999831,-7.924142476650403,0.15469613259668508,0.3333333333333333
50.0,False,UZS,11,10,76,0.6527310924369749,0.855194989206477,-72.57302774199246,-65.63907434273395,0.2282608695652174,0.5
50.0,True,AMD,11,4,16,1.6663636363636365,1.2857142857142858,164.52344183706833,72.27577550309768,0.0,1.0
50.0,True,KGS,11,7,25,1.4444444444444446,1.3541666666666667,100.04593452134338,90.9845438022899,0.07608695652173914,0.8333333333333334
50.0,True,KZT,11,6,15,0.8873015873015873,0.9915254237288136,54.44660743588033,-139.40203368233452,0.038461538461538464,0.8333333333333334
50.0,True,TJS,11,5,15,1.7999999999999998,0.9675520358819819,47.81315838112826,-0.918396302723075,0.0,1.0
50.0,True,UZS,11,7,19,0.9140624999999999,0.7864958025588291,-73.71923531387245,-119.6395811848576,0.03804347826086957,0.8333333333333334
0.0,False,all,55,55,908,0.9815805109922757,0.9569826173724804,-4.097186509674884,-19.793611476523356,0.6574585635359116,0.0
0.0,True,all,55,48,292,1.1666915052160953,1.0852254857231878,63.81546170281368,30.51697539174153,0.15384615384615385,0.6666666666666666
25.0,False,all,55,53,547,0.9750000000000001,0.9705819741913924,12.379603346547867,-21.459964603462655,0.3804347826086957,0.16666666666666666
25.0,True,all,55,40,151,1.3263888888888888,1.1894908006591551,84.79293694257179,29.554303846835822,0.03867403314917127,0.8333333333333334
50.0,False,all,55,48,324,0.9897509578544061,0.9644436186792054,11.349087597633677,-30.485360495738107,0.15469613259668508,0.5
50.0,True,all,55,29,90,1.0317460317460316,1.0837547997952748,60.34719950573188,-10.521472102014975,0.03804347826086957,0.8333333333333334
