corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_median,lift_mean_pooled
AMD,BUY_NOW,11,100,0.51,0.4969016182730855,1.1346153846153846,0.9347826086956521,12.015609893466852,80.93814206492272,0.30434782608695654,1.0263601108252296
AMD,WINDOW_CLOSING,5,15,0.7333333333333333,0.3987309865275967,1.9032258064516128,1.9032258064516128,132.36700789811258,175.77460199736473,0.1141304347826087,1.8391681562540871
KGS,BUY_NOW,11,103,0.5242718446601942,0.4885921049796355,0.9924242424242423,0.802469135802469,21.789363920135912,38.573789649516954,0.3423913043478261,1.073025616494654
KGS,WINDOW_CLOSING,5,18,0.3333333333333333,0.30274520197000815,0.0,0.0,36.53092025768203,-184.90419507897454,0.07734806629834254,1.101035891450248
KZT,BUY_NOW,11,91,0.5494505494505495,0.49754679763806003,1.0522088353413654,0.9924242424242423,8.77217931680418,0.6094224556312611,0.30434782608695654,1.1043193365104258
KZT,WINDOW_CLOSING,6,16,0.375,0.27345378918527613,0.81875,0.81875,96.85236301215474,62.08320547185842,0.07671751141004084,1.3713468777202504
TJS,BUY_NOW,11,87,0.5747126436781609,0.5404847390525529,0.9924242424242423,1.0403225806451613,33.93428546313905,82.02515143349902,0.27071823204419887,1.0633281610977732
TJS,WINDOW_CLOSING,5,11,0.6363636363636364,0.46094277115167936,1.8437499999999998,1.8437499999999998,31.905741086960376,29.311471564304203,0.03867403314917127,1.3805697283714042
UZS,BUY_NOW,11,87,0.5632183908045977,0.46853655513377906,1.1904161412358136,1.4181818181818184,66.57234124572194,32.323172795302376,0.3804347826086957,1.2020799330028467
UZS,WINDOW_CLOSING,8,17,0.35294117647058826,0.35127166701049706,1.0633928571428573,1.0633928571428573,33.59886380223139,6.118602001371668,0.07608695652173914,1.0047527586676706
