indicator,corridor,split,window,scenario,speed,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share,hit_mean_trunc,base_mean_trunc,n_scored_trunc,lift_mean_trunc,benefit_excess_trunc
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,0.0,5,5,0.4,0.4745762711864407,0.8428571428571429,0.0,1.6857142857142857,0.4,0.4745762711864407,0.8428571428571429,-8.358004714379195,-1.6952910407747044,-6.6627136736044905,-23.201711866131287,8.821557069634853,-24.897002906905993,7.126266028860148,-35.9748729349052,11.181528765932256,8.136141606013501,75.05006357084821,0.19337016574585636,0.25,1.0992487370341615,99.0,0.5,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,10.0,5,5,0.4,0.5338983050847458,0.7492063492063492,0.0,1.4984126984126984,0.4,0.5338983050847458,0.7492063492063492,-8.358004714379195,-1.6952910407747044,-6.6627136736044905,-23.201711866131287,8.821557069634853,-24.897002906905993,7.126266028860148,-35.9748729349052,11.181528765932256,8.136141606013501,75.05006357084821,0.19337016574585636,0.25,1.0992487370341615,99.0,0.5,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,25.0,5,5,0.8,0.6271186440677966,1.2756756756756757,0.6378378378378379,1.5945945945945945,0.8,0.6271186440677966,1.2756756756756757,-8.358004714379195,-1.6952910407747044,-6.6627136736044905,-23.201711866131287,8.821557069634853,-24.897002906905993,7.126266028860148,-35.9748729349052,11.181528765932256,8.136141606013501,75.05006357084821,0.19337016574585636,0.25,1.0992487370341615,99.0,0.5,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,50.0,5,5,1.0,0.8050847457627118,1.2421052631578948,1.2421052631578948,1.2421052631578948,1.0,0.8050847457627118,1.2421052631578948,-8.358004714379195,-1.6952910407747044,-6.6627136736044905,-23.201711866131287,8.821557069634853,-24.897002906905993,7.126266028860148,-35.9748729349052,11.181528765932256,8.136141606013501,75.05006357084821,0.19337016574585636,0.25,1.0992487370341615,99.0,0.5,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,0.0,5,5,0.4,0.2966101694915254,1.3485714285714288,0.0,2.6971428571428575,0.4,0.4406779661016949,0.9076923076923078,6.925729966806405,-1.753943134230494,8.679673101036899,-20.984036142279617,42.39703609661693,-22.73797927651011,40.64309296238643,-36.400216874163945,48.58831196906999,38.7047790210966,75.05006357084821,0.19337016574585636,0.25,1.0992487370341615,99.0,0.5,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,10.0,5,5,0.4,0.3220338983050847,1.2421052631578948,0.0,2.4842105263157896,0.4,0.4830508474576271,0.8280701754385965,6.925729966806405,-1.753943134230494,8.679673101036899,-20.984036142279617,42.39703609661693,-22.73797927651011,40.64309296238643,-36.400216874163945,48.58831196906999,38.7047790210966,75.05006357084821,0.19337016574585636,0.25,1.0992487370341615,99.0,0.5,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,25.0,5,5,0.8,0.3983050847457627,2.0085106382978726,1.0042553191489363,2.5106382978723403,0.8,0.5932203389830508,1.3485714285714288,6.925729966806405,-1.753943134230494,8.679673101036899,-20.984036142279617,42.39703609661693,-22.73797927651011,40.64309296238643,-36.400216874163945,48.58831196906999,38.7047790210966,75.05006357084821,0.19337016574585636,0.25,1.0992487370341615,99.0,0.5,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,50.0,5,5,1.0,0.559322033898305,1.787878787878788,1.787878787878788,1.787878787878788,1.0,0.7288135593220338,1.372093023255814,6.925729966806405,-1.753943134230494,8.679673101036899,-20.984036142279617,42.39703609661693,-22.73797927651011,40.64309296238643,-36.400216874163945,48.58831196906999,38.7047790210966,75.05006357084821,0.19337016574585636,0.25,1.0992487370341615,99.0,0.5,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,0.0,5,5,0.4,0.2033898305084746,1.9666666666666666,0.0,3.933333333333333,0.6,0.4491525423728814,1.3358490566037735,20.715599478722034,-1.8278022888000809,22.543401767522113,-33.24637118871343,78.33317472375768,-35.07417347751351,76.5053724349576,-66.08922383443017,95.41765817942529,57.98179998778475,75.05006357084821,0.19337016574585636,0.25,1.0992487370341615,99.0,0.5,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,10.0,5,5,0.4,0.2288135593220339,1.7481481481481482,0.0,3.4962962962962965,0.6,0.4745762711864407,1.2642857142857142,20.715599478722034,-1.8278022888000809,22.543401767522113,-33.24637118871343,78.33317472375768,-35.07417347751351,76.5053724349576,-66.08922383443017,95.41765817942529,57.98179998778475,75.05006357084821,0.19337016574585636,0.25,1.0992487370341615,99.0,0.5,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,25.0,5,5,0.6,0.288135593220339,2.0823529411764703,0.6941176470588235,3.4705882352941178,0.8,0.5932203389830508,1.3485714285714288,20.715599478722034,-1.8278022888000809,22.543401767522113,-33.24637118871343,78.33317472375768,-35.07417347751351,76.5053724349576,-66.08922383443017,95.41765817942529,57.98179998778475,75.05006357084821,0.19337016574585636,0.25,1.0992487370341615,99.0,0.5,,,,,
