corridor,split,window,scenario,sent_total,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
AMD,0,2021-01…2021-06,BUY_NOW,13,1,0.0,8,8,0.625,0.4745762711864407,1.3169642857142856,0.5267857142857143,1.84375,0.625,0.4745762711864407,1.3169642857142856,2.9744596022518426,2.439534227944096,0.5349253743077464,-36.34112980778081,32.26376052162734,-33.901595579836716,34.703294749571434,-20.88214878508493,26.15353112178814,22.57263150524089,82.46816601128442,0.30939226519337015,0.0,0.49058807855673736,41.0,0.16666666666666666
AMD,0,2021-01…2021-06,BUY_NOW,13,1,10.0,8,8,0.625,0.5254237288135594,1.189516129032258,0.4758064516129032,1.6653225806451613,0.625,0.5254237288135594,1.189516129032258,2.9744596022518426,2.439534227944096,0.5349253743077464,-36.34112980778081,32.26376052162734,-33.901595579836716,34.703294749571434,-20.88214878508493,26.15353112178814,22.57263150524089,82.46816601128442,0.30939226519337015,0.0,0.49058807855673736,41.0,0.16666666666666666
AMD,0,2021-01…2021-06,BUY_NOW,13,1,25.0,8,8,0.875,0.635593220338983,1.3766666666666667,0.9833333333333334,1.5733333333333335,0.875,0.635593220338983,1.3766666666666667,2.9744596022518426,2.439534227944096,0.5349253743077464,-36.34112980778081,32.26376052162734,-33.901595579836716,34.703294749571434,-20.88214878508493,26.15353112178814,22.57263150524089,82.46816601128442,0.30939226519337015,0.0,0.49058807855673736,41.0,0.16666666666666666
AMD,0,2021-01…2021-06,BUY_NOW,13,1,50.0,8,8,0.875,0.8050847457627118,1.086842105263158,0.7763157894736843,1.2421052631578948,0.875,0.8050847457627118,1.086842105263158,2.9744596022518426,2.439534227944096,0.5349253743077464,-36.34112980778081,32.26376052162734,-33.901595579836716,34.703294749571434,-20.88214878508493,26.15353112178814,22.57263150524089,82.46816601128442,0.30939226519337015,0.0,0.49058807855673736,41.0,0.16666666666666666
AMD,0,2021-01…2021-06,BUY_NOW,13,3,0.0,8,8,0.375,0.3050847457627119,1.2291666666666665,0.4097222222222222,2.458333333333333,0.5,0.5,1.0,14.983747432817943,6.47490088087447,8.508846551943472,-50.76915571569037,73.66804965098464,-44.294254834815895,80.14295053185911,-24.4554815312283,60.263221958460065,30.083136859747334,82.46816601128442,0.30939226519337015,0.0,0.49058807855673736,41.0,0.16666666666666666
AMD,0,2021-01…2021-06,BUY_NOW,13,3,10.0,8,8,0.375,0.3305084745762712,1.1346153846153846,0.3782051282051282,2.269230769230769,0.625,0.5847457627118644,1.068840579710145,14.983747432817943,6.47490088087447,8.508846551943472,-50.76915571569037,73.66804965098464,-44.294254834815895,80.14295053185911,-24.4554815312283,60.263221958460065,30.083136859747334,82.46816601128442,0.30939226519337015,0.0,0.49058807855673736,41.0,0.16666666666666666
AMD,0,2021-01…2021-06,BUY_NOW,13,3,25.0,8,8,0.375,0.4152542372881356,0.9030612244897959,0.3010204081632653,1.8061224489795917,0.625,0.6610169491525424,0.9455128205128205,14.983747432817943,6.47490088087447,8.508846551943472,-50.76915571569037,73.66804965098464,-44.294254834815895,80.14295053185911,-24.4554815312283,60.263221958460065,30.083136859747334,82.46816601128442,0.30939226519337015,0.0,0.49058807855673736,41.0,0.16666666666666666
AMD,0,2021-01…2021-06,BUY_NOW,13,3,50.0,8,8,0.625,0.6271186440677966,0.9966216216216216,0.39864864864864863,1.3952702702702702,0.75,0.7627118644067796,0.9833333333333334,14.983747432817943,6.47490088087447,8.508846551943472,-50.76915571569037,73.66804965098464,-44.294254834815895,80.14295053185911,-24.4554815312283,60.263221958460065,30.083136859747334,82.46816601128442,0.30939226519337015,0.0,0.49058807855673736,41.0,0.16666666666666666
AMD,0,2021-01…2021-06,BUY_NOW,13,5,0.0,8,8,0.375,0.23728813559322035,1.5803571428571428,0.5267857142857143,3.1607142857142856,0.5,0.4830508474576271,1.0350877192982457,38.53004798585163,11.119391346840903,27.41065663901073,-45.51585619898226,113.70212047194626,-34.39646485214136,124.82151181878716,-24.55773898000224,105.14683862586286,48.423228771993934,82.46816601128442,0.30939226519337015,0.0,0.49058807855673736,41.0,0.16666666666666666
AMD,0,2021-01…2021-06,BUY_NOW,13,5,10.0,8,8,0.375,0.2542372881355932,1.475,0.4916666666666667,2.95,0.5,0.5169491525423728,0.9672131147540984,38.53004798585163,11.119391346840903,27.41065663901073,-45.51585619898226,113.70212047194626,-34.39646485214136,124.82151181878716,-24.55773898000224,105.14683862586286,48.423228771993934,82.46816601128442,0.30939226519337015,0.0,0.49058807855673736,41.0,0.16666666666666666
