date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts,decision,push_scenario
2024-07-30,AMD,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.10189628707584308,medium,7,0.222282,"{""threshold"": 0.0018, ""_fitted"": true}","{""proba"": 0.10189628707584308, ""pct_rank"": 0.058333333333333334, ""window"": 120.0}",sent,BUY_NOW
2024-07-31,AMD,level,"level(pct=0.1,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.41666666666666674,medium,7,0.221873,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""pct_rank"": 0.058333333333333334, ""window"": 120.0, ""days_since_min"": 30.0}",cooldown,
2024-08-02,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,7,0.220968,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""streak"": 4.0, ""drop_pct"": -1.0363576105552719}",cooldown,
2024-08-06,AMD,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,min_pos_rate=0.25,rearm=5,seed=0,tol_bps=10.0)",BUY_NOW,down,0.015787163131224954,medium,7,0.219378,"{""threshold"": 0.0018, ""_fitted"": true}","{""proba"": 0.015787163131224954, ""pct_rank"": 0.03333333333333333, ""window"": 120.0}",sent,BUY_NOW
2024-08-07,AMD,level,"level(pct=0.1,rearm=5,stall_days=0,window=120)",BUY_NOW,down,0.08333333333333348,medium,7,0.221686,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""pct_rank"": 0.09166666666666666, ""window"": 120.0, ""days_since_min"": 35.0}",cooldown,
2024-12-04,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,7,0.25883,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""streak"": 4.0, ""drop_pct"": -7.178155684499677}",sent,BUY_NOW
2024-12-06,AMD,dip_vs_trend,"dip_vs_trend(pct=0.1,rearm=5,span=40,window=120)",BUY_NOW,down,0.75,medium,7,0.247742,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""dev_pct"": -3.248608531424624, ""pct_rank"": 0.025, ""window"": 120.0, ""span"": 40.0}",muted,
2024-12-18,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,7,0.260444,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""streak"": 4.0, ""drop_pct"": -1.206638217164524}",sent,BUY_NOW
2024-12-24,AMD,dip_vs_trend,"dip_vs_trend(pct=0.1,rearm=5,span=40,window=120)",BUY_NOW,down,0.5833333333333334,medium,7,0.252364,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""dev_pct"": -2.460008792992674, ""pct_rank"": 0.041666666666666664, ""window"": 120.0, ""span"": 40.0}",muted,
2024-12-25,AMD,momentum,"momentum(n=4,rearm=3)",BUY_NOW,down,0.5,fast,7,0.251509,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}","{""streak"": 4.0, ""drop_pct"": -3.961677689358656}",sent,BUY_NOW
