corridor,indicator,split,window,params,feasible,n_feasible,fitted
TJS,momentum,5,2023-07…2023-12,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,level,5,2023-07…2023-12,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,reversal,5,2023-07…2023-12,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,seasonality,5,2023-07…2023-12,"{""min_share"": 0.7, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,dip_vs_trend,5,2023-07…2023-12,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,ml_localmin,5,2023-07…2023-12,"{""threshold"": 0.0007, ""_fitted"": true}",,,True
TJS,momentum,6,2024-01…2024-06,"{""n"": 4, ""rearm"": 3, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,level,6,2024-01…2024-06,"{""window"": 120, ""pct"": 0.1, ""stall_days"": 0, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,reversal,6,2024-01…2024-06,"{""window"": 120, ""rise_bps"": 50, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,seasonality,6,2024-01…2024-06,"{""min_share"": 0.7, ""min_years"": 4, ""from_day"": 24, ""rearm"": 20, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,dip_vs_trend,6,2024-01…2024-06,"{""span"": 40, ""window"": 120, ""pct"": 0.1, ""rearm"": 5, ""_feasible"": null, ""_n_feasible"": 0, ""_fixed"": true}",,0.0,
TJS,ml_localmin,6,2024-01…2024-06,"{""threshold"": 0.1318, ""_fitted"": true}",,,True
