corridor,windows,pushes,freq_per_week_median,freq_per_week_min,freq_per_week_max,share_windows_in_band,empty_month_share_mean,longest_gap_days_max,clump_share_series_mean,storm_days,storm_blocked,holiday_blocked
AMD,11,137,0.4945652173913044,0.03867403314917127,0.8508287292817679,0.0,0.2424242424242424,168.0,0.0,55,17,35
KGS,11,120,0.5027624309392265,0.03867403314917127,0.7734806629834254,0.0,0.22727272727272727,105.0,0.0,55,12,21
KZT,11,163,0.6086956521739131,0.07608695652173914,0.8369565217391305,0.0,0.10606060606060605,118.0,0.0,68,19,41
TJS,11,150,0.5027624309392265,0.19021739130434784,0.8895027624309392,0.0,0.10606060606060605,80.0,0.0,54,12,33
UZS,11,112,0.3076923076923077,0.03867403314917127,0.7348066298342542,0.0,0.28787878787878785,123.0,0.0,43,7,24
