corridor,split,window,scenario,sent_total,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
AMD,0,2021-01…2021-06,BUY_NOW,20,1,0.0,13,13,0.38461538461538464,0.4745762711864407,0.8104395604395604,0.3241758241758242,1.2967032967032968,0.38461538461538464,0.4745762711864407,0.8104395604395604,-13.83996296762754,2.439534227944096,-16.279497195571636,-55.47956833332726,18.025568561893174,-53.040034105383164,20.46510278983727,-41.84018680790747,26.11404885984648,13.47876678204437,-40.888974052500316,0.5027624309392265,0.0,0.5122499389946279,23.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,20,1,10.0,13,13,0.38461538461538464,0.5254237288135594,0.7320099255583127,0.29280397022332505,1.1712158808933002,0.38461538461538464,0.5254237288135594,0.7320099255583127,-13.83996296762754,2.439534227944096,-16.279497195571636,-55.47956833332726,18.025568561893174,-53.040034105383164,20.46510278983727,-41.84018680790747,26.11404885984648,13.47876678204437,-40.888974052500316,0.5027624309392265,0.0,0.5122499389946279,23.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,20,1,25.0,13,13,0.7692307692307693,0.635593220338983,1.2102564102564104,0.8471794871794872,1.5733333333333335,0.7692307692307693,0.635593220338983,1.2102564102564104,-13.83996296762754,2.439534227944096,-16.279497195571636,-55.47956833332726,18.025568561893174,-53.040034105383164,20.46510278983727,-41.84018680790747,26.11404885984648,13.47876678204437,-40.888974052500316,0.5027624309392265,0.0,0.5122499389946279,23.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,20,1,50.0,13,13,0.8461538461538461,0.8050847457627118,1.0510121457489878,0.7643724696356277,1.2421052631578948,0.8461538461538461,0.8050847457627118,1.0510121457489878,-13.83996296762754,2.439534227944096,-16.279497195571636,-55.47956833332726,18.025568561893174,-53.040034105383164,20.46510278983727,-41.84018680790747,26.11404885984648,13.47876678204437,-40.888974052500316,0.5027624309392265,0.0,0.5122499389946279,23.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,20,3,0.0,13,13,0.23076923076923078,0.3050847457627119,0.7564102564102564,0.0,1.5128205128205128,0.5384615384615384,0.5,1.0769230769230769,-18.984586326506584,6.47490088087447,-25.459487207381052,-69.1005093163111,10.612835617574122,-62.62560843543663,17.087736498448592,-49.35462876372451,7.693211340103425,15.48216267780131,-40.888974052500316,0.5027624309392265,0.0,0.5122499389946279,23.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,20,3,10.0,13,13,0.23076923076923078,0.3305084745762712,0.6982248520710059,0.0,1.3964497041420119,0.6153846153846154,0.5847457627118644,1.0523968784838351,-18.984586326506584,6.47490088087447,-25.459487207381052,-69.1005093163111,10.612835617574122,-62.62560843543663,17.087736498448592,-49.35462876372451,7.693211340103425,15.48216267780131,-40.888974052500316,0.5027624309392265,0.0,0.5122499389946279,23.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,20,3,25.0,13,13,0.46153846153846156,0.4152542372881356,1.1114599686028257,0.37048665620094196,1.6671899529042387,0.6923076923076923,0.6610169491525424,1.047337278106509,-18.984586326506584,6.47490088087447,-25.459487207381052,-69.1005093163111,10.612835617574122,-62.62560843543663,17.087736498448592,-49.35462876372451,7.693211340103425,15.48216267780131,-40.888974052500316,0.5027624309392265,0.0,0.5122499389946279,23.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,20,3,50.0,13,13,0.6923076923076923,0.6271186440677966,1.1039501039501038,0.735966735966736,1.471933471933472,0.7692307692307693,0.7627118644067796,1.0085470085470087,-18.984586326506584,6.47490088087447,-25.459487207381052,-69.1005093163111,10.612835617574122,-62.62560843543663,17.087736498448592,-49.35462876372451,7.693211340103425,15.48216267780131,-40.888974052500316,0.5027624309392265,0.0,0.5122499389946279,23.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,20,5,0.0,13,13,0.15384615384615385,0.23728813559322035,0.6483516483516484,0.0,1.620879120879121,0.3076923076923077,0.4830508474576271,0.6369770580296896,-25.03726365882526,11.119391346840903,-36.15665500566617,-84.65009234100907,11.556123949479868,-73.53070099416817,22.67551529632077,-59.99203372544155,19.980114268172144,13.378972997394154,-40.888974052500316,0.5027624309392265,0.0,0.5122499389946279,23.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,20,5,10.0,13,13,0.15384615384615385,0.2542372881355932,0.6051282051282052,0.0,1.512820512820513,0.46153846153846156,0.5169491525423728,0.8928121059268601,-25.03726365882526,11.119391346840903,-36.15665500566617,-84.65009234100907,11.556123949479868,-73.53070099416817,22.67551529632077,-59.99203372544155,19.980114268172144,13.378972997394154,-40.888974052500316,0.5027624309392265,0.0,0.5122499389946279,23.0,0.0
