announce_date,from_date,to_date,direction,rub_per_day_bln,source_url,verified,note
2021-06-03,2021-06-07,2021-07-06,buy,10.50,https://minfin.gov.ru/ru/press-center/?id_4=37506-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_na_vnutrennem_valyutnom_rynke,yes,
2021-07-05,2021-07-07,2021-08-05,buy,13.50,https://minfin.gov.ru/ru/press-center/?id_4=37550-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2021-08-04,2021-08-06,2021-09-06,buy,14.40,https://minfin.gov.ru/ru/press-center/?id_4=37574-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2021-09-03,2021-09-07,2021-10-06,buy,14.90,https://minfin.gov.ru/ru/press-center/?id_4=37600-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2021-10-05,2021-10-07,2021-11-08,buy,15.10,https://minfin.gov.ru/ru/press-center/?id_4=37634-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2021-11-03,2021-11-09,2021-12-06,buy,25.90,https://minfin.gov.ru/ru/press-center/?id_4=37671-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2021-12-03,2021-12-07,2022-01-13,buy,22.80,https://minfin.gov.ru/ru/press-center/?id_4=37709-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2022-01-12,2022-01-14,2022-02-04,buy,36.60,https://minfin.gov.ru/ru/press-center/?id_4=37743-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,
2022-01-24,2022-01-24,,none,,https://www.cbr.ru/press/event/?id=12632,yes,ЦБ прекратил покупку валюты на рынке по бюджетному правилу с 15:00 мск 24.01.2022; объявленный Минфином 03.02.2022 объём на рынок не выходил
2022-02-03,2022-02-07,2022-03-04,buy,33.40,https://minfin.gov.ru/ru/press-center/?id_4=37759-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,"объявление вышло, но ЦБ операции на рынке не проводил (см. строку 2022-01-24)"
2022-03-03,,,none,,https://minfin.gov.ru/ru/press-center/?id_4=37787-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,операции не проводятся
2022-04-05,,,none,,https://minfin.gov.ru/ru/press-center/?id_4=37848-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,операции не проводятся
2022-05-06,,,none,,https://minfin.gov.ru/ru/press-center/?id_4=37905-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,операции не проводятся
2022-06-03,,,none,,https://minfin.gov.ru/ru/press-center/?id_4=37952-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,операции не проводятся
2022-07-05,,,none,,https://minfin.gov.ru/ru/press-center/?id_4=38013-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,операции не проводятся
2022-08-03,,,none,,https://minfin.gov.ru/ru/press-center/?id_4=38046-o_neftegazovykh_dokhodakh_i_provedenii_operatsii_po_pokupkeprodazhe_inostrannoi_valyuty_i_zolota_na_vnutrennem_valyutnom_rynke,yes,операции не проводятся
