country,date,name,kind,movable,source,verified
UZ,2026-01-02,Новый год (дополнительный день),newyear,no,https://lex.uz/ru/docs/7938924,primary
UZ,2026-03-08,День женщин,womens,no,https://lex.uz/ru/docs/6257291,primary
UZ,2026-03-20,Рўза ҳайит,religious,yes,https://lex.uz/ru/docs/8090632,primary
UZ,2026-03-21,Праздник Навруз,national,no,https://lex.uz/ru/docs/6257291,primary
UZ,2026-05-09,День памяти и почестей,victory,no,https://lex.uz/ru/docs/6257291,primary
UZ,2026-05-27,Қурбон ҳайит,religious,yes,https://lex.uz/ru/docs/8212932,primary
UZ,2026-05-28,Қурбон ҳайит (дополнительный день),religious,yes,https://lex.uz/ru/docs/7938924,primary
UZ,2026-05-29,Қурбон ҳайит (дополнительный день),religious,yes,https://lex.uz/ru/docs/7938924,primary
UZ,2026-08-31,День независимости (дополнительный день),national,no,https://lex.uz/ru/docs/7938924,primary
UZ,2026-09-01,День независимости,national,no,https://lex.uz/ru/docs/6257291,primary
UZ,2026-10-01,День учителя и наставника,national,no,https://lex.uz/ru/docs/6257291,primary
UZ,2026-12-08,День Конституции,national,no,https://lex.uz/ru/docs/6257291,primary
UZ,2026-12-31,Новый год (дополнительный день),newyear,no,https://lex.uz/ru/docs/7938924,primary
