indicator,corridor,windows,events,hit_pooled,base_pooled,lift_median,share_lift_ge_1_3,share_lift_lt_1,benefit_fwd_median_bps,benefit_sym_median_bps,freq_per_week_median,clump_share_median,empty_month_share_mean
level,AMD,12,81,0.2962962962962963,0.31239784938057397,1.068452380952381,0.3333333333333333,0.3333333333333333,43.55819009844846,69.08866997280425,0.2766531713900135,0.0,0.513888888888889
level,KGS,12,81,0.2345679012345679,0.29943516371823525,1.1168831168831168,0.3333333333333333,0.3333333333333333,35.95862104741229,54.04370334306138,0.29835807467386416,0.0,0.513888888888889
level,KZT,12,76,0.3157894736842105,0.288477270984472,1.0916666666666666,0.25,0.3333333333333333,30.30514559012413,40.92061338627199,0.21900584795321637,0.0,0.5416666666666666
level,TJS,12,71,0.28169014084507044,0.31902803326563,1.1417508417508417,0.3333333333333333,0.25,10.906865638048009,42.726150219373984,0.23238074774387624,0.0,0.5416666666666666
level,UZS,12,69,0.21739130434782608,0.3056508179508461,1.0,0.16666666666666666,0.3333333333333333,8.286469505078223,60.12260550319143,0.20058479532163742,0.0,0.5833333333333334
ml_localmin,AMD,12,21,0.38095238095238093,0.31239784938057397,1.7031512605042016,0.4166666666666667,0.25,-6.186957490279463,69.5996885741921,0.039912280701754385,0.0,0.7916666666666666
ml_localmin,KGS,12,27,0.14814814814814814,0.29943516371823525,0.0,0.16666666666666666,0.4166666666666667,-14.949030412769737,40.44855748375971,0.07692307692307693,0.0,0.736111111111111
ml_localmin,KZT,12,32,0.34375,0.288477270984472,2.0460043988269794,0.4166666666666667,0.08333333333333333,36.32827427135277,172.6471088710398,0.07939721097615834,0.0,0.6944444444444445
ml_localmin,TJS,12,18,0.3333333333333333,0.31902803326563,0.925,0.16666666666666666,0.3333333333333333,-1.9748302609908883,100.55977687567119,0.019444444444444445,0.0,0.7916666666666666
ml_localmin,UZS,12,32,0.28125,0.3056508179508461,0.0,0.25,0.4166666666666667,9.845067978600412,109.3692504203474,0.07982456140350877,0.0,0.6944444444444445
momentum,AMD,12,104,0.28846153846153844,0.31239784938057397,0.9685267857142857,0.16666666666666666,0.5,-24.493693597879478,70.23536985448783,0.3594674556213018,0.0,0.19444444444444442
momentum,KGS,12,109,0.22935779816513763,0.29943516371823525,0.7983022477283597,0.08333333333333333,0.75,-9.480767300371117,73.80742384322369,0.3583710407239819,0.0,0.13888888888888887
momentum,KZT,12,99,0.2222222222222222,0.288477270984472,0.9254901960784314,0.0,0.6666666666666666,-15.29817812049905,64.20363795231033,0.37168465019143754,0.0,0.16666666666666666
momentum,TJS,12,101,0.19801980198019803,0.31902803326563,0.6641025641025642,0.08333333333333333,0.75,-9.384313404706981,61.909343228599305,0.33974358974358976,0.0,0.18055555555555555
momentum,UZS,12,111,0.2882882882882883,0.3056508179508461,1.0317460317460316,0.3333333333333333,0.3333333333333333,19.616158842910636,102.6364031850836,0.37168465019143754,0.0,0.18055555555555555
reversal,AMD,12,47,0.5319148936170213,0.5430345362220744,1.179222888555722,0.25,0.3333333333333333,2.3712535352739454,-21.12975533632831,0.12353368628672273,0.0,0.638888888888889
reversal,KGS,12,57,0.40350877192982454,0.5234675494740992,0.8125,0.08333333333333333,0.5833333333333334,-16.544982762917716,-13.491158032430953,0.19391920928233777,0.0,0.5833333333333334
reversal,KZT,12,56,0.48214285714285715,0.5110002858631716,1.0162973408541498,0.25,0.4166666666666667,-2.017737908612861,13.162756399131716,0.18006245890861278,0.0,0.5555555555555555
reversal,TJS,12,48,0.5,0.5378247465227303,0.9750000000000001,0.16666666666666666,0.4166666666666667,-8.263899767924851,13.831357209624642,0.13590459819510098,0.0,0.6666666666666666
reversal,UZS,12,59,0.4745762711864407,0.5209283627299249,1.0714285714285714,0.16666666666666666,0.3333333333333333,31.967972395053053,8.031340425660767,0.1935969058874087,0.0,0.5833333333333334
seasonality,AMD,12,26,0.38461538461538464,0.31239784938057397,1.1366959064327484,0.3333333333333333,0.3333333333333333,57.80691819496553,55.9992775648685,0.09959489039171485,0.0,0.611111111111111
seasonality,KGS,12,23,0.43478260869565216,0.29943516371823525,1.2049819927971188,0.3333333333333333,0.16666666666666666,81.65203130608617,40.15211531225971,0.07799503414028554,0.0,0.6527777777777778
seasonality,KZT,12,19,0.2631578947368421,0.288477270984472,0.3856209150326797,0.3333333333333333,0.5,56.07008938335211,51.63766634096049,0.07958656330749353,0.0,0.7222222222222222
seasonality,TJS,12,21,0.47619047619047616,0.31902803326563,1.3666963755199049,0.4166666666666667,0.25,139.38938626252025,52.1065302584924,0.07799503414028554,0.0,0.6805555555555555
seasonality,UZS,12,21,0.38095238095238093,0.3056508179508461,1.4842767295597483,0.4166666666666667,0.25,138.58695482588388,23.93457906054904,0.08187134502923978,0.0,0.6944444444444443
