corridor,split,window,scenario,sent_total,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
AMD,0,2021-01…2021-06,BUY_NOW,17,1,0.0,15,15,0.5333333333333333,0.4745762711864407,1.1238095238095238,0.5619047619047619,1.6857142857142857,0.5333333333333333,0.4745762711864407,1.1238095238095238,-4.596565466416405,2.439534227944096,-7.036099694360502,-38.53698009164173,20.177682157521925,-36.09744586369764,22.617216385466023,-37.200078267664296,33.55832373703182,17.610000462021805,29.23304083949726,0.6176470588235294,0.0,0.8368497238557591,40.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,17,1,10.0,15,15,0.6,0.5254237288135594,1.1419354838709677,0.6344086021505375,1.5225806451612902,0.6,0.5254237288135594,1.1419354838709677,-4.596565466416405,2.439534227944096,-7.036099694360502,-38.53698009164173,20.177682157521925,-36.09744586369764,22.617216385466023,-37.200078267664296,33.55832373703182,17.610000462021805,29.23304083949726,0.6176470588235294,0.0,0.8368497238557591,40.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,17,1,25.0,15,15,0.6666666666666666,0.635593220338983,1.048888888888889,0.6293333333333334,1.3635555555555556,0.6666666666666666,0.635593220338983,1.048888888888889,-4.596565466416405,2.439534227944096,-7.036099694360502,-38.53698009164173,20.177682157521925,-36.09744586369764,22.617216385466023,-37.200078267664296,33.55832373703182,17.610000462021805,29.23304083949726,0.6176470588235294,0.0,0.8368497238557591,40.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,17,1,50.0,15,15,0.9333333333333333,0.8050847457627118,1.159298245614035,0.9936842105263158,1.2421052631578948,0.9333333333333333,0.8050847457627118,1.159298245614035,-4.596565466416405,2.439534227944096,-7.036099694360502,-38.53698009164173,20.177682157521925,-36.09744586369764,22.617216385466023,-37.200078267664296,33.55832373703182,17.610000462021805,29.23304083949726,0.6176470588235294,0.0,0.8368497238557591,40.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,17,3,0.0,15,15,0.3333333333333333,0.3050847457627119,1.0925925925925926,0.437037037037037,1.9666666666666666,0.6,0.5,1.2,15.727076631085298,6.47490088087447,9.252175750210828,-35.43347577837274,51.37384434788688,-28.958574897498266,57.84874522876135,-29.239363905602893,67.12305156853554,39.82735046403422,29.23304083949726,0.6176470588235294,0.0,0.8368497238557591,40.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,17,3,10.0,15,15,0.4,0.3305084745762712,1.2102564102564104,0.6000854700854704,1.820427350427323,0.7333333333333333,0.5847457627118644,1.2541062801932366,15.727076631085298,6.47490088087447,9.252175750210828,-35.43347577837274,51.37384434788688,-28.958574897498266,57.84874522876135,-29.239363905602893,67.12305156853554,39.82735046403422,29.23304083949726,0.6176470588235294,0.0,0.8368497238557591,40.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,17,3,25.0,15,15,0.4666666666666667,0.4152542372881356,1.1238095238095238,0.4816326530612245,1.765986394557823,0.7333333333333333,0.6610169491525424,1.1094017094017092,15.727076631085298,6.47490088087447,9.252175750210828,-35.43347577837274,51.37384434788688,-28.958574897498266,57.84874522876135,-29.239363905602893,67.12305156853554,39.82735046403422,29.23304083949726,0.6176470588235294,0.0,0.8368497238557591,40.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,17,3,50.0,15,15,0.7333333333333333,0.6271186440677966,1.1693693693693692,0.7441441441441442,1.4882882882882884,0.8666666666666667,0.7627118644067796,1.1362962962962964,15.727076631085298,6.47490088087447,9.252175750210828,-35.43347577837274,51.37384434788688,-28.958574897498266,57.84874522876135,-29.239363905602893,67.12305156853554,39.82735046403422,29.23304083949726,0.6176470588235294,0.0,0.8368497238557591,40.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,17,5,0.0,15,15,0.2,0.23728813559322035,0.8428571428571429,0.0,1.6857142857142857,0.6,0.4830508474576271,1.2421052631578948,23.701165142462568,11.119391346840903,12.581773795621665,-43.261179895550896,66.21607572417014,-32.14178854870999,77.33546707101104,-28.24070506277913,87.05708764983854,45.368914680238504,29.23304083949726,0.6176470588235294,0.0,0.8368497238557591,40.0,0.0
AMD,0,2021-01…2021-06,BUY_NOW,17,5,10.0,15,15,0.26666666666666666,0.2542372881355932,1.048888888888889,0.26222222222222225,2.097777777777778,0.6666666666666666,0.5169491525423728,1.289617486338798,23.701165142462568,11.119391346840903,12.581773795621665,-43.261179895550896,66.21607572417014,-32.14178854870999,77.33546707101104,-28.24070506277913,87.05708764983854,45.368914680238504,29.23304083949726,0.6176470588235294,0.0,0.8368497238557591,40.0,0.0
