indicator,corridor,split,window,scenario,speed,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,0.0,8,8,0.375,0.4745762711864407,0.7901785714285714,0.26339285714285715,1.5803571428571428,0.375,0.4745762711864407,0.7901785714285714,-13.305294808744485,-1.6952910407747044,-11.610003767969781,-30.011805442327955,4.897256292524521,-31.70709648310266,3.2019652517498165,-34.807198070913195,6.0499428597089455,19.064226762996462,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,10.0,8,8,0.5,0.5338983050847458,0.9365079365079365,0.23412698412698413,1.6388888888888888,0.5,0.5338983050847458,0.9365079365079365,-13.305294808744485,-1.6952910407747044,-11.610003767969781,-30.011805442327955,4.897256292524521,-31.70709648310266,3.2019652517498165,-34.807198070913195,6.0499428597089455,19.064226762996462,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,25.0,8,8,0.875,0.6271186440677966,1.3952702702702702,0.9966216216216216,1.5945945945945945,0.875,0.6271186440677966,1.3952702702702702,-13.305294808744485,-1.6952910407747044,-11.610003767969781,-30.011805442327955,4.897256292524521,-31.70709648310266,3.2019652517498165,-34.807198070913195,6.0499428597089455,19.064226762996462,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,50.0,8,8,0.875,0.8050847457627118,1.086842105263158,0.7763157894736843,1.2421052631578948,0.875,0.8050847457627118,1.086842105263158,-13.305294808744485,-1.6952910407747044,-11.610003767969781,-30.011805442327955,4.897256292524521,-31.70709648310266,3.2019652517498165,-34.807198070913195,6.0499428597089455,19.064226762996462,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,0.0,8,8,0.0,0.2966101694915254,0.0,0.0,0.0,0.125,0.4406779661016949,0.28365384615384615,-20.40593212664629,-1.753943134230494,-18.6519889924158,-32.395093057879805,-5.472259751735627,-34.1490361921103,-7.226202885966121,-37.826721272423704,-8.373374373535666,41.39600549659339,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,10.0,8,8,0.0,0.3220338983050847,0.0,0.0,0.0,0.25,0.4830508474576271,0.5175438596491229,-20.40593212664629,-1.753943134230494,-18.6519889924158,-32.395093057879805,-5.472259751735627,-34.1490361921103,-7.226202885966121,-37.826721272423704,-8.373374373535666,41.39600549659339,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,25.0,8,8,0.5,0.3983050847457627,1.2553191489361701,0.31382978723404253,2.1968085106382977,0.625,0.5932203389830508,1.0535714285714286,-20.40593212664629,-1.753943134230494,-18.6519889924158,-32.395093057879805,-5.472259751735627,-34.1490361921103,-7.226202885966121,-37.826721272423704,-8.373374373535666,41.39600549659339,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,50.0,8,8,0.5,0.559322033898305,0.893939393939394,0.2234848484848485,1.5643939393939394,1.0,0.7288135593220338,1.372093023255814,-20.40593212664629,-1.753943134230494,-18.6519889924158,-32.395093057879805,-5.472259751735627,-34.1490361921103,-7.226202885966121,-37.826721272423704,-8.373374373535666,41.39600549659339,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,0.0,8,8,0.0,0.2033898305084746,0.0,0.0,0.0,0.375,0.4491525423728814,0.8349056603773585,-13.129286627182323,-1.8278022888000809,-11.301484338382242,-28.226864892477813,3.418437833761211,-30.054667181277896,1.59063554496113,-33.96779398527631,-0.25819592233565636,41.98655324780004,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,10.0,8,8,0.0,0.2288135593220339,0.0,0.0,0.0,0.5,0.4745762711864407,1.0535714285714286,-13.129286627182323,-1.8278022888000809,-11.301484338382242,-28.226864892477813,3.418437833761211,-30.054667181277896,1.59063554496113,-33.96779398527631,-0.25819592233565636,41.98655324780004,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,25.0,8,8,0.25,0.288135593220339,0.8676470588235294,0.0,2.1691176470588234,0.75,0.5932203389830508,1.2642857142857142,-13.129286627182323,-1.8278022888000809,-11.301484338382242,-28.226864892477813,3.418437833761211,-30.054667181277896,1.59063554496113,-33.96779398527631,-0.25819592233565636,41.98655324780004,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,50.0,8,8,0.5,0.4576271186440678,1.0925925925925926,0.27314814814814814,1.912037037037037,0.875,0.6949152542372882,1.2591463414634145,-13.129286627182323,-1.8278022888000809,-11.301484338382242,-28.226864892477813,3.418437833761211,-30.054667181277896,1.59063554496113,-33.96779398527631,-0.25819592233565636,41.98655324780004,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,10,0.0,8,8,0.0,0.16101694915254236,0.0,0.0,0.0,0.375,0.4491525423728814,0.8349056603773585,11.657417844195134,0.06389764753973065,11.593520196655403,-29.59868302808137,58.248830134562624,-29.534785380541642,58.31272778210236,-35.89765180027468,66.94118072125518,61.8887232981899,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,10,10.0,8,8,0.0,0.17796610169491525,0.0,0.0,0.0,0.375,0.4661016949152542,0.8045454545454546,11.657417844195134,0.06389764753973065,11.593520196655403,-29.59868302808137,58.248830134562624,-29.534785380541642,58.31272778210236,-35.89765180027468,66.94118072125518,61.8887232981899,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,10,25.0,8,8,0.125,0.22033898305084745,0.5673076923076923,0.0,1.7019230769230769,0.75,0.559322033898305,1.340909090909091,11.657417844195134,0.06389764753973065,11.593520196655403,-29.59868302808137,58.248830134562624,-29.534785380541642,58.31272778210236,-35.89765180027468,66.94118072125518,61.8887232981899,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,10,50.0,8,8,0.25,0.3050847457627119,0.8194444444444444,0.0,2.048611111111111,0.875,0.635593220338983,1.3766666666666667,11.657417844195134,0.06389764753973065,11.593520196655403,-29.59868302808137,58.248830134562624,-29.534785380541642,58.31272778210236,-35.89765180027468,66.94118072125518,61.8887232981899,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,20,0.0,8,8,0.0,0.11016949152542373,0.0,0.0,0.0,0.375,0.4830508474576271,0.7763157894736842,21.641334335702197,-2.594269522656172,24.23560385835837,-57.02661138960737,116.07652383249133,-59.62088091226354,113.48225430983516,-75.24767823414109,146.2129219255007,80.95507745980917,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,20,10.0,8,8,0.0,0.1271186440677966,0.0,0.0,0.0,0.375,0.4915254237288136,0.7629310344827586,21.641334335702197,-2.594269522656172,24.23560385835837,-57.02661138960737,116.07652383249133,-59.62088091226354,113.48225430983516,-75.24767823414109,146.2129219255007,80.95507745980917,-1.1186269042895436,0.32941176470588235,0.0,0.6941940813578052,46.0,0.16666666666666666
