date,corridor,indicator,indicator_label,scenario,direction,strength,speed,split,rate,params,facts
2025-03-21,TJS,level,"level(pct=0.2,rearm=3,stall_days=3,window=250)",BUY_NOW,down,0.88,medium,8,7.74489,"{""window"": 250, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 18}","{""pct_rank"": 0.024, ""window"": 250.0, ""days_since_min"": 3.0}"
2025-03-26,TJS,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.6799999999999999,medium,8,7.70522,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": false, ""_n_feasible"": 0}","{""dev_pct"": -9.216006310393986, ""pct_rank"": 0.064, ""window"": 250.0, ""span"": 80.0}"
2025-03-26,TJS,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,rearm=5,seed=0,target_precision=0.9,tol_bps=10.0)",BUY_NOW,down,0.0030959899997746124,medium,8,7.70522,"{""threshold"": 0.0011}","{""proba"": 0.0030959899997746124, ""pct_rank"": 0.041666666666666664, ""window"": 120.0}"
2025-03-27,TJS,level,"level(pct=0.2,rearm=3,stall_days=3,window=250)",BUY_NOW,down,0.94,medium,8,7.6712,"{""window"": 250, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 18}","{""pct_rank"": 0.012, ""window"": 250.0, ""days_since_min"": 7.0}"
2025-03-27,TJS,reversal,"reversal(max_days_since_min=10,rearm=5,rise_bps=30,window=60)",WINDOW_CLOSING,up,1.0,slow,8,7.6712,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": false, ""_n_feasible"": 0}","{""rise_pct"": 2.8690200811291033, ""min_rate"": 7.45725, ""days_since_min"": 7.0, ""window"": 60.0}"
2025-04-01,TJS,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.44000000000000006,medium,8,7.7833,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": false, ""_n_feasible"": 0}","{""dev_pct"": -7.525120777024441, ""pct_rank"": 0.112, ""window"": 250.0, ""span"": 80.0}"
2025-04-02,TJS,level,"level(pct=0.2,rearm=3,stall_days=3,window=250)",BUY_NOW,down,0.76,medium,8,7.75011,"{""window"": 250, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 18}","{""pct_rank"": 0.048, ""window"": 250.0, ""days_since_min"": 11.0}"
2025-04-07,TJS,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.20000000000000007,medium,8,7.91016,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": false, ""_n_feasible"": 0}","{""dev_pct"": -5.350788361329039, ""pct_rank"": 0.16, ""window"": 250.0, ""span"": 80.0}"
2025-04-08,TJS,level,"level(pct=0.2,rearm=3,stall_days=3,window=250)",BUY_NOW,down,0.6400000000000001,medium,8,7.84643,"{""window"": 250, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 18}","{""pct_rank"": 0.072, ""window"": 250.0, ""days_since_min"": 15.0}"
2025-04-11,TJS,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.29999999999999993,medium,8,7.70827,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": false, ""_n_feasible"": 0}","{""dev_pct"": -7.195947463317909, ""pct_rank"": 0.14, ""window"": 250.0, ""span"": 80.0}"
2025-04-11,TJS,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,rearm=5,seed=0,target_precision=0.9,tol_bps=10.0)",BUY_NOW,down,0.002124602486960275,medium,8,7.70827,"{""threshold"": 0.0011}","{""proba"": 0.002124602486960275, ""pct_rank"": 0.075, ""window"": 120.0}"
2025-04-14,TJS,level,"level(pct=0.2,rearm=3,stall_days=3,window=250)",BUY_NOW,down,0.94,medium,8,7.60105,"{""window"": 250, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 18}","{""pct_rank"": 0.012, ""window"": 250.0, ""days_since_min"": 19.0}"
2025-04-14,TJS,momentum,"momentum(n=3,rearm=3)",BUY_NOW,down,0.5,fast,8,7.60105,"{""n"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 1}","{""streak"": 3.0, ""drop_pct"": -3.887103178115592}"
2025-04-17,TJS,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.4800000000000001,medium,8,7.55242,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": false, ""_n_feasible"": 0}","{""dev_pct"": -8.307299810394042, ""pct_rank"": 0.104, ""window"": 250.0, ""span"": 80.0}"
2025-04-18,TJS,level,"level(pct=0.2,rearm=3,stall_days=3,window=250)",BUY_NOW,down,0.96,medium,8,7.50234,"{""window"": 250, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 18}","{""pct_rank"": 0.008, ""window"": 250.0, ""days_since_min"": 23.0}"
2025-04-21,TJS,ml_localmin,"ml_localmin(fp_cost=3.0,gate_pct=0.2,gate_window=120,h=10,rearm=5,seed=0,target_precision=0.9,tol_bps=10.0)",BUY_NOW,down,0.006667097556364897,medium,8,7.53904,"{""threshold"": 0.0011}","{""proba"": 0.006667097556364897, ""pct_rank"": 0.025, ""window"": 120.0}"
2025-04-23,TJS,dip_vs_trend,"dip_vs_trend(pct=0.2,rearm=3,span=80,window=250)",BUY_NOW,down,0.0,medium,8,7.73085,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": false, ""_n_feasible"": 0}","{""dev_pct"": -5.447224661819083, ""pct_rank"": 0.2, ""window"": 250.0, ""span"": 80.0}"
