indicator,corridor,windows,events,hit_pooled,base_pooled,lift_median,share_lift_ge_1_3,share_lift_lt_1,benefit_fwd_median_bps,benefit_sym_median_bps,freq_per_week_median,clump_share_median,empty_month_share_mean
level,AMD,12,50,0.34,0.31239784938057397,1.4284427284427283,0.3333333333333333,0.25,55.09189500904815,68.45764672637085,0.08004181776601654,0.0,0.7083333333333334
level,KGS,12,58,0.22413793103448276,0.29943516371823525,1.2187499999999998,0.25,0.25,12.62627461850114,59.544734794812115,0.13708951866846605,0.0,0.6666666666666666
level,KZT,12,108,0.2777777777777778,0.288477270984472,0.9301488833746898,0.25,0.5,3.2409932468130096,29.387543669480998,0.40674688440051565,0.0,0.5833333333333334
level,TJS,12,59,0.23728813559322035,0.31902803326563,1.1863636363636363,0.08333333333333333,0.16666666666666666,18.910302114384752,50.72935870591766,0.10029239766081871,0.0,0.6527777777777778
level,UZS,12,134,0.2462686567164179,0.3056508179508461,0.9750000000000001,0.08333333333333333,0.4166666666666667,18.26171837301062,31.35013017911621,0.4021929824561403,0.0,0.5
ml_localmin,AMD,12,38,0.21052631578947367,0.31239784938057397,0.7645833333333334,0.16666666666666666,0.4166666666666667,-25.479943782333372,42.41794642055806,0.08030900723208416,0.0,0.75
ml_localmin,KGS,12,39,0.2564102564102564,0.29943516371823525,1.5516917293233083,0.4166666666666667,0.25,11.835110382361385,72.51700502844477,0.11538461538461539,0.0,0.7083333333333334
ml_localmin,KZT,12,47,0.3191489361702128,0.288477270984472,1.1315789473684208,0.3333333333333333,0.25,20.095956336046793,85.19652917604148,0.09926900584795323,0.0,0.5972222222222222
ml_localmin,TJS,12,51,0.3137254901960784,0.31902803326563,0.75,0.3333333333333333,0.4166666666666667,-8.276461839727412,70.8475137601529,0.11914796301741318,0.0,0.5972222222222222
ml_localmin,UZS,12,41,0.24390243902439024,0.3056508179508461,0.39000000000000007,0.25,0.4166666666666667,-14.570216631634324,84.5672910820299,0.09754810676598386,0.0,0.6666666666666666
momentum,AMD,12,26,0.23076923076923078,0.31239784938057397,0.5,0.3333333333333333,0.4166666666666667,24.512416213826604,125.4240924787564,0.0791592128801431,0.0,0.6944444444444445
momentum,KGS,12,16,0.1875,0.29943516371823525,0.0,0.16666666666666666,0.5833333333333334,48.85412729334515,97.86836018199519,0.04093707250341997,0.0,0.7916666666666666
momentum,KZT,12,99,0.2222222222222222,0.288477270984472,0.9254901960784314,0.0,0.6666666666666666,-15.29817812049905,64.20363795231033,0.37168465019143754,0.0,0.16666666666666666
momentum,TJS,12,34,0.3235294117647059,0.31902803326563,1.1375,0.4166666666666667,0.4166666666666667,-1.6634679954212768,88.01127013590292,0.0791592128801431,0.0,0.6666666666666666
momentum,UZS,12,26,0.23076923076923078,0.3056508179508461,0.6142857142857143,0.16666666666666666,0.5,27.05087458849498,111.23183068092678,0.07939721097615834,0.0,0.6944444444444443
reversal,AMD,12,26,0.5384615384615384,0.5430345362220744,1.2999999999999998,0.25,0.16666666666666666,12.091898428054915,21.74100450614067,0.03994082840236687,0.0,0.7916666666666666
reversal,KGS,12,25,0.48,0.5234675494740992,1.1700000000000002,0.25,0.25,88.99880520163606,23.387012692486778,0.06016644174538912,0.0,0.7361111111111112
reversal,KZT,12,33,0.36363636363636365,0.5110002858631716,0.7228980322003578,0.16666666666666666,0.5,-24.131439842661806,11.059837551308238,0.0997534516765286,0.0,0.6388888888888888
reversal,TJS,12,19,0.631578947368421,0.5378247465227303,1.5022010271460013,0.3333333333333333,0.08333333333333333,64.0955205522567,45.52525627208828,0.038461538461538464,0.0,0.7916666666666666
reversal,UZS,12,24,0.5416666666666666,0.5209283627299249,1.4282713085234096,0.3333333333333333,0.25,30.03775281219867,6.856357063017294,0.05801461108723679,0.0,0.7083333333333334
seasonality,AMD,12,14,0.42857142857142855,0.31239784938057397,0.5972222222222222,0.25,0.3333333333333333,61.77659869333256,61.69890443677439,0.03867521367521368,0.0,0.7916666666666666
seasonality,KGS,12,19,0.3684210526315789,0.29943516371823525,1.1470588235294117,0.25,0.25,76.68027524347198,34.56579657082348,0.07735042735042735,0.0,0.7222222222222222
seasonality,KZT,12,15,0.26666666666666666,0.288477270984472,0.0,0.25,0.5833333333333334,30.313263960940198,44.61006976532104,0.04002090888300827,0.0,0.7777777777777778
seasonality,TJS,12,15,0.4,0.31902803326563,0.7712418300653594,0.4166666666666667,0.4166666666666667,135.85799440148705,55.40219780637345,0.04002090888300827,0.0,0.7777777777777778
seasonality,UZS,12,14,0.35714285714285715,0.3056508179508461,1.4842767295597483,0.3333333333333333,0.25,143.5467573595539,23.93457906054904,0.0591715976331361,0.0,0.7916666666666666
