pair,corridor,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
reversal → reversal,AMD,9,93,71,1.1336054359058891,1.0779220680750827,-0.05568336783080641,-0.23268353980953255,0.05832290245468397,37.88928963439629,39.681376773298204,1.7920871389019126,-66.55403856771994,36.47560832898201,9,-0.23268353980953255,0.05832290245468397,-66.55403856771994,36.47560832898201,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,KGS,10,115,62,0.9622468111073544,1.302268327381211,0.34002151627385657,0.09247884512712155,0.7038565081887231,-47.65391791689655,30.527135643946014,78.18105356084257,24.385483376307633,151.25354324849312,10,0.09247884512712155,0.7038565081887231,24.385483376307633,151.25354324849312,вариант,вариант,вариант,вариант
reversal → reversal,KZT,10,106,48,1.0569429311544163,1.106964385073974,0.05002145391955781,-0.1020560923980034,0.2210683996137362,-25.03948207521487,26.997570998779327,52.0370530739942,5.848682352745366,91.10435768423827,10,-0.1020560923980034,0.2210683996137362,5.848682352745366,91.10435768423827,разницы нет,разницы нет,вариант,вариант
reversal → reversal,TJS,9,99,44,1.041245633528159,1.0372505834308245,-0.003995050097334474,-0.1524794772962311,0.22069696855595652,-12.798546770904508,-8.33290297964369,4.465643791260819,-46.355092453222966,78.1210366966246,9,-0.1524794772962311,0.22069696855595652,-46.355092453222966,78.1210366966246,разницы нет,разницы нет,разницы нет,разницы нет
reversal → reversal,UZS,10,112,28,1.2112723727209884,1.462392228963925,0.25111985624293665,-0.06253480876809508,0.6890439214323038,9.758810550670196,130.6074885332042,120.848677982534,4.256200448876917,303.5369192406613,10,-0.06253480876809508,0.6890439214323038,4.256200448876917,303.5369192406613,разницы нет,разницы нет,вариант,вариант
momentum → momentum,all,55,988,248,0.9804468066353104,0.9625191798375539,-0.017927626797756502,-0.11405763571766118,0.07643736866573149,-6.443570074061485,-5.179785720457207,1.2637843536042785,-30.75306452615183,33.9261733739722,11,-0.16932415805186737,0.13226834638873203,-27.75336423209118,39.56494144552535,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,AMD,11,186,60,0.9817382671657228,0.9996685565336595,0.017930289367936725,-0.1856703198362758,0.19640780339329714,-24.0871077332595,-5.432069384254586,18.655038349004915,-22.810569443092565,56.515137456941204,11,-0.1856703198362758,0.19640780339329714,-22.810569443092565,56.515137456941204,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,KGS,11,139,46,0.8870908050079526,1.017490884993336,0.1304000799853834,-0.07823635679109307,0.3403094959131577,-7.7925461620332435,67.40196116248718,75.19450732452043,6.073356059666385,154.4502853806092,11,-0.07823635679109307,0.3403094959131577,6.073356059666385,154.4502853806092,разницы нет,разницы нет,вариант,вариант
momentum → momentum,KZT,11,229,58,1.0391604794783253,1.0874197209323015,0.0482592414539762,-0.15782411180935887,0.35132822027756205,7.85627867059468,-16.68802567172606,-24.54430434232074,-83.50665555443433,71.97588482086638,11,-0.15782411180935887,0.35132822027756205,-83.50665555443433,71.97588482086638,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,TJS,11,218,43,0.9889024094928547,0.8253193308300097,-0.16358307866284494,-0.4195002731038097,0.04844844184127446,-1.9247955101404122,-19.022087596823237,-17.097292086682824,-73.27573048744458,37.79980848932704,11,-0.4195002731038097,0.04844844184127446,-73.27573048744458,37.79980848932704,разницы нет,разницы нет,разницы нет,разницы нет
momentum → momentum,UZS,11,216,41,0.9690330891061492,0.8375991707875843,-0.13143391831856488,-0.28067354896184066,0.01216488753187732,-10.103535521386247,-55.44628423095152,-45.34274870956527,-119.2399038381867,24.714113686505804,11,-0.28067354896184066,0.01216488753187732,-119.2399038381867,24.714113686505804,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,all,55,134,138,1.0311448924491056,1.083283542553391,0.05213865010428553,0.011455826404534134,0.10532641307356809,43.5513928125129,52.57272415189968,9.021331339386776,-5.596580750702466,23.28707356442929,11,0.012704825943998804,0.0967910490668395,-7.05121966740644,23.71066771537567,вариант,вариант,разницы нет,разницы нет
seasonality → seasonality,AMD,11,19,23,1.1924692350026247,1.243442167025449,0.05097293202282427,0.0,0.11876635079396039,117.27718617973183,107.13992079664764,-10.137265383084184,-59.623780548859536,12.509733753803685,11,0.0,0.11876635079396039,-59.623780548859536,12.509733753803685,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,KGS,11,29,29,0.8905842467271253,0.8905842467271253,0.0,0.0,0.0,10.364525874683729,10.364525874683729,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,KZT,11,32,32,1.017048410853528,1.017048410853528,0.0,0.0,0.0,25.206193642492604,25.206193642492604,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,TJS,11,28,28,0.9373171769724694,1.1247806123669633,0.18746343539449384,0.0,0.35837449032571744,44.69109509289511,86.94815420637497,42.257059113479855,-29.341867233812295,109.86991674428742,11,0.0,0.35837449032571744,-29.341867233812295,109.86991674428742,разницы нет,разницы нет,разницы нет,разницы нет
seasonality → seasonality,UZS,11,26,26,1.1810012660158136,1.1810012660158136,0.0,0.0,0.0,48.042307305198804,48.042307305198804,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
