scenario,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
BUY_NOW,55,645,656,1.0408172315365805,1.037105026616836,-0.003712204919744444,-0.03584340099968762,0.02525781856545913,34.25731206598712,33.838662883658685,-0.41864918232843706,-7.073868832852807,5.703821281505793,11,-0.03067626941187764,0.033472515355024955,-5.536305254705676,5.692980211494286,разницы нет,разницы нет,разницы нет,разницы нет
WINDOW_CLOSING,22,90,88,1.106607938706009,1.1441870012840099,0.03757906257800081,-0.007439502646052925,0.1217306106964475,-26.552353629577343,-17.567594977863912,8.984758651713431,0.8758200047720948,22.426716175141326,10,-0.010626494105469604,0.11108940670134301,0.0,26.489611586913817,разницы нет,разницы нет,вариант,разницы нет
all,55,735,744,1.0474663409853064,1.0474908876442615,2.4546658955015843e-05,-0.023099154743166872,0.023372846533543986,26.811230552244535,27.758352814016224,0.947122261771689,-4.2295574511770315,5.939633933609994,11,-0.02294540413116338,0.0315506528997463,-2.7542776478896296,5.871520710246859,разницы нет,разницы нет,разницы нет,разницы нет
