indicator,sent_latest,muted_latest,thinned_latest,cooldown_latest,storm_latest,sent_variant,muted_variant,thinned_variant,cooldown_variant,storm_variant
dip_vs_trend,54,309,38,90,5,53,309,38,91,5
level,193,146,76,192,16,198,146,77,186,16
ml_localmin,84,40,61,81,6,96,50,56,89,4
momentum,239,484,88,152,25,232,484,98,149,25
reversal,90,295,5,125,10,88,295,4,128,10
seasonality,75,12,24,18,5,77,12,21,19,5
