scenario,events_latest,hit_latest,benefit_fwd_latest,events_variant,hit_variant,benefit_fwd_variant,diff_hit,diff_benefit_fwd
BUY_NOW,645,0.5317829457364341,28.895086607014534,443,0.5191873589164786,10.396279469217232,-0.01259558681995554,-18.4988071377973
WINDOW_CLOSING,90,0.45555555555555555,-58.89452106674752,62,0.45161290322580644,23.56908177231944,-0.003942652329749108,82.46360283906697
all,735,0.5224489795918368,18.145338728594687,505,0.5108910891089109,12.013534405439678,-0.011557890482925881,-6.131804323155009
