corridor,pushes_latest,freq_per_week_median_latest,empty_month_share_mean_latest,storm_blocked_latest,pushes_variant,freq_per_week_median_variant,empty_month_share_mean_variant,storm_blocked_variant,pushes_diff
AMD,144,0.532608695652174,0.22727272727272727,17,98,0.3423913043478261,0.3333333333333333,6,-46
KGS,130,0.5414364640883977,0.2121212121212121,12,108,0.3043478260869565,0.22727272727272724,9,-22
KZT,181,0.6467391304347826,0.07575757575757575,19,107,0.3423913043478261,0.25757575757575757,11,-74
TJS,159,0.5384615384615384,0.07575757575757575,12,93,0.3804347826086957,0.22727272727272724,8,-66
UZS,121,0.3846153846153846,0.2727272727272727,7,99,0.3804347826086957,0.2727272727272727,7,-22
