indicator,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
dip_vs_trend,45,496,496,1.0022315287028014,1.0022315287028014,0.0,0.0,0.0,-31.782636922024636,-31.782636922024636,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
level,45,623,623,1.1069629735349202,1.1069629735349202,0.0,0.0,0.0,43.976917209123506,43.976917209123506,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
ml_localmin,46,272,266,1.1558207648258547,1.1895552542888614,0.03373448946300672,-0.02537378791783223,0.10313576723173283,36.987921164500456,42.384997625913364,5.397076461412908,-13.194552790093113,22.117281823742523,10,-0.02842070450352597,0.0986688576882321,-6.6499238372607765,17.440728967817204,разницы нет,разницы нет,разницы нет,разницы нет
momentum,55,988,988,0.9804468066353104,0.9804468066353104,0.0,0.0,0.0,-6.443570074061485,-6.443570074061485,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
reversal,48,525,525,1.0774007002126214,1.0774007002126214,0.0,0.0,0.0,-9.11381156773621,-9.11381156773621,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
seasonality,55,134,134,1.0311448924491056,1.0311448924491056,0.0,0.0,0.0,43.5513928125129,43.5513928125129,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,разницы нет,разницы нет,разницы нет,разницы нет
all,55,3038,3032,1.0408607511577708,1.043523762197219,0.0026630110394483264,-0.0021729607342949654,0.007906994213405813,5.391387226907937,5.802351321601304,0.4109640946933668,-1.1276575313824428,1.8414614560207416,11,-0.002046549660373498,0.008618906720228681,-0.5722566762173985,1.3088518839381473,разницы нет,разницы нет,разницы нет,разницы нет
