scenario,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
BUY_NOW,55,645,600,1.0408172315365805,1.050815911723703,0.009998680187122577,-0.02275721667483949,0.04199834968396994,34.25731206598712,39.08841190517985,4.831099839192731,-6.046079781516079,16.386935778283284,11,-0.02655024144384015,0.04279528088840665,-4.156780866401461,13.53858133479914,разницы нет,разницы нет,разницы нет,разницы нет
WINDOW_CLOSING,22,90,82,1.106607938706009,1.1320406678236454,0.025432729117636388,-0.10641051175137253,0.1596093380861873,-26.552353629577343,-8.775411874041259,17.776941755536086,-8.819157672237013,54.16477772608837,10,-0.12707107656972075,0.16404122092605736,-8.73645126016553,49.00157374354465,разницы нет,разницы нет,разницы нет,разницы нет
all,55,735,682,1.0474663409853064,1.0586445064467105,0.011178165461404044,-0.019060145876124777,0.041184504931944914,26.811230552244535,33.333524002106344,6.5222934498618095,-2.460074378938415,15.71051222329687,11,-0.019122128902948857,0.03716406275034607,-3.4369499698944237,17.422525806807243,разницы нет,разницы нет,разницы нет,разницы нет
