indicator,sent_latest,muted_latest,thinned_latest,cooldown_latest,storm_latest,holiday_latest,sent_variant,muted_variant,thinned_variant,cooldown_variant,storm_variant,holiday_variant
dip_vs_trend,54,309,38,90,5,0,50,309,38,75,5,19
level,193,146,76,192,16,0,178,146,75,161,16,47
ml_localmin,84,40,61,81,6,0,85,40,60,69,6,12
momentum,239,484,88,152,25,0,220,484,89,128,25,42
reversal,90,295,5,125,10,0,82,295,6,103,10,29
seasonality,75,12,24,18,5,0,67,12,24,21,5,5
