corridor,windows,pushes,freq_per_week_median,freq_per_week_min,freq_per_week_max,share_windows_in_band,empty_month_share_mean,longest_gap_days_max,clump_share_series_mean,storm_days,storm_blocked
AMD,11,193,0.6467391304347826,0.5027624309392265,0.8508287292817679,0.0,0.0,41.0,0.0,55,20
KGS,11,155,0.5706521739130435,0.19021739130434784,0.9281767955801105,0.0,0.1212121212121212,97.0,0.0,55,13
KZT,11,212,0.7228260869565217,0.6153846153846154,0.9281767955801105,0.0,0.0,43.0,0.0,68,25
TJS,11,192,0.6574585635359116,0.34806629834254144,0.9668508287292817,0.0,0.0303030303030303,50.0,0.0,54,15
UZS,11,182,0.6086956521739131,0.41847826086956524,0.8895027624309392,0.0,0.0606060606060606,88.0,0.0,43,7
