corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_scenario_median,lift_mean_pooled
AMD,BUY_NOW,11,106,0.6320754716981132,0.5173628544075272,1.2816901408450705,1.2745098039215685,89.95456982648224,119.94156814224841,0.3804347826086957,1.2217256540807369
AMD,WINDOW_CLOSING,9,37,0.4594594594594595,0.413073231300566,1.0483870967741935,1.0483870967741935,31.543363865812772,79.74979311972302,0.11602209944751381,1.112295410701986
KGS,BUY_NOW,11,117,0.47863247863247865,0.47228730791840184,0.9485294117647058,0.9629629629629629,50.62600749548025,88.33916846046112,0.3804347826086957,1.0134349803767606
KGS,WINDOW_CLOSING,3,16,0.3125,0.4047371340064482,0.963265306122449,0.963265306122449,-81.27644852927926,-55.60730180055854,0.19337016574585636,0.7721060751372057
KZT,BUY_NOW,11,173,0.5375722543352601,0.5068480184518578,1.1375,1.2745098039215685,23.18834752615542,39.053263158869136,0.6187845303867403,1.0606182420861543
KZT,WINDOW_CLOSING,4,12,0.3333333333333333,0.45223790465217345,0.803968253968254,0.803968253968254,-195.38657166816012,-112.53237226000071,0.11507626711506125,0.7370751763714004
TJS,BUY_NOW,11,144,0.5277777777777778,0.5501060964536513,0.9756302521008404,0.8397435897435898,0.5042473173426458,15.130264341494186,0.5384615384615384,0.9594108867001899
TJS,WINDOW_CLOSING,3,12,0.5833333333333334,0.43480533685500183,1.2291666666666665,1.2291666666666665,29.79126458715767,31.256156314432705,0.07734806629834254,1.3415965350210557
UZS,BUY_NOW,11,114,0.5087719298245614,0.48577071220407864,1.074681238615665,0.8333333333333333,26.144566455909526,16.991844912986515,0.3423913043478261,1.0473499472953398
UZS,WINDOW_CLOSING,3,10,0.6,0.3945281626795226,1.1727272727272728,1.1727272727272728,96.94876238590307,107.29448290361265,0.11602209944751381,1.5208039799363657
