corridor,pushes_latest,freq_per_week_median_latest,empty_month_share_mean_latest,storm_blocked_latest,pushes_variant,freq_per_week_median_variant,empty_month_share_mean_variant,storm_blocked_variant,pushes_diff
AMD,144,0.532608695652174,0.22727272727272727,17,148,0.532608695652174,0.22727272727272727,18,4
KGS,130,0.5414364640883977,0.2121212121212121,12,147,0.6187845303867403,0.19696969696969696,13,17
KZT,181,0.6467391304347826,0.07575757575757575,19,182,0.6467391304347826,0.07575757575757575,19,1
TJS,159,0.5384615384615384,0.07575757575757575,12,175,0.6467391304347826,0.060606060606060594,18,16
UZS,121,0.3846153846153846,0.2727272727272727,7,135,0.3846153846153846,0.25757575757575757,7,14
