corridor,family,persona,strategy,label,windows,months,benefit_vs_habit_bps,benefit_vs_habit_ci_lo,benefit_vs_habit_ci_hi,benefit_vs_random_bps,benefit_vs_random_ci_lo,benefit_vs_random_ci_hi,oracle_share,share_shifted,benefit_when_shifted_bps,benefit_when_shifted_ci_lo,benefit_when_shifted_ci_hi,regret_share,not_worse_share,mean_day,rub_per_transfer
AMD,wait,s05_k05,habit,привычка: первый день окна,66,66,0.0,0.0,0.0,15.531459721313299,-20.950608083732565,57.408327629586495,0.10858006915508245,0.0,,,,0.0,1.0,0.0,0.0
AMD,wait,s05_k05,deadline,ждать до срока,66,66,-10.83232717100518,-73.01739312170507,46.005649552005096,1.194196691591015,-35.7937470841857,36.92868986853863,0.008348600948292506,1.0,-10.83232717100518,-73.01739312170507,46.005649552005096,0.4090909090909091,0.5909090909090909,5.0,-32.49698151301554
AMD,wait,s05_k05,random,случайный день окна,66,66,-12.847457652285907,-54.27305550986083,23.10262597006989,0.0,0.0,0.0,0.0,,,,,0.36363636363636365,0.6363636363636364,,-38.54237295685772
AMD,wait,s05_k05,calendar25,"календарь: первый день с 25-го, иначе срок",66,66,-10.83232717100518,-73.01739312170507,46.005649552005096,1.194196691591015,-35.7937470841857,36.92868986853863,0.008348600948292506,0.0,,,,0.4090909090909091,0.5909090909090909,5.0,-32.49698151301554
AMD,wait,s05_k05,screen,"экран: первый день с фактом уровня, иначе срок",66,66,-39.41628337877895,-92.39082165573005,8.5700949916575,-26.441761401257054,-60.02675793544557,8.433086013677391,-0.18485373126846782,0.10606060606060606,181.0148653702431,103.93942700865585,269.98230119710604,0.36363636363636365,0.6363636363636364,3.696969696969697,-118.24885013633684
AMD,wait,s05_k05,push,"первый пуш потока, иначе срок",66,66,-6.721691462163861,-66.06692760204352,50.135571605347245,5.443607252454345,-28.169900618907896,40.34312838086828,0.03805613010820222,0.2878787878787879,148.7300302422502,72.45585737060514,252.38583595962302,0.3333333333333333,0.6666666666666666,3.893939393939394,-20.165074386491582
AMD,wait,s05_k05,push_or_calendar,"первый пуш, иначе календарь, иначе срок",66,66,-6.721691462163861,-66.06692760204352,50.135571605347245,5.443607252454345,-28.169900618907896,40.34312838086828,0.03805613010820222,0.2878787878787879,148.7300302422502,72.45585737060514,252.38583595962302,0.3333333333333333,0.6666666666666666,3.893939393939394,-20.165074386491582
AMD,wait,s05_k05,oracle,оракул: лучший день окна,66,66,129.25627074408933,91.82294505307607,171.57527511285033,143.04153462206833,114.93657388803841,176.82441234001817,1.0,0.7878787878787878,164.05603594442104,121.39610007794289,213.07602350155327,0.0,1.0,2.757575757575758,387.76881223226803
AMD,wait,s05_k10,habit,привычка: первый день окна,66,66,0.0,0.0,0.0,-0.5611757710268576,-46.237215722941386,52.18346013320719,-0.0023996633321688612,0.0,,,,0.0,1.0,0.0,0.0
AMD,wait,s05_k10,deadline,ждать до срока,66,66,43.43135189304153,-49.99240795773812,133.1421132470821,36.27168505520748,-18.588699026545136,95.7356200276963,0.15510262045649328,1.0,43.43135189304153,-49.99240795773812,133.1421132470821,0.5,0.5,10.0,130.2940556791246
AMD,wait,s05_k10,random,случайный день окна,66,66,4.720895701619844,-47.56121237327641,50.171907590432276,0.0,0.0,0.0,0.0,,,,,0.4393939393939394,0.5606060606060606,,14.16268710485953
AMD,wait,s05_k10,calendar25,"календарь: первый день с 25-го, иначе срок",66,66,43.43135189304153,-49.99240795773812,133.1421132470821,36.27168505520748,-18.588699026545136,95.7356200276963,0.15510262045649328,0.030303030303030304,107.12615261959989,-89.394244594323,303.6465498335228,0.5,0.5,10.0,130.2940556791246
AMD,wait,s05_k10,screen,"экран: первый день с фактом уровня, иначе срок",66,66,-23.266156134271274,-86.23828185637939,38.46185069863734,-27.175666653090083,-74.06582845412684,23.717199189311696,-0.11620681818699426,0.13636363636363635,283.8280212499641,147.5271555854713,441.82836393802063,0.4090909090909091,0.5909090909090909,7.0,-69.79846840281382
AMD,wait,s05_k10,push,"первый пуш потока, иначе срок",66,66,11.73210481437366,-57.613609219094215,78.3866600514861,6.495821941934225,-34.074888797427825,49.092023314419265,0.02777701128798639,0.4090909090909091,146.81159523180244,72.84644426415181,229.59309099066215,0.3484848484848485,0.6515151515151515,6.621212121212121,35.196314443120976
AMD,wait,s05_k10,push_or_calendar,"первый пуш, иначе календарь, иначе срок",66,66,11.73210481437366,-57.613609219094215,78.3866600514861,6.495821941934225,-34.074888797427825,49.092023314419265,0.02777701128798639,0.4090909090909091,146.81159523180244,72.84644426415181,229.59309099066215,0.3484848484848485,0.6515151515151515,6.621212121212121,35.196314443120976
AMD,wait,s05_k10,oracle,оракул: лучший день окна,66,66,239.01950885194628,171.12387143607722,311.3469795152852,233.856042847334,191.40089985409435,281.03046904874986,1.0,0.803030303030303,297.6469355514802,223.79916603807922,379.7130830195892,0.0,1.0,4.636363636363637,717.0585265558389
AMD,wait,s05_k15,habit,привычка: первый день окна,66,66,0.0,0.0,0.0,-1.0525292683561116,-57.486327393791434,61.32903739969008,-0.00349674902982467,0.0,,,,0.0,1.0,0.0,0.0
AMD,wait,s05_k15,deadline,ждать до срока,66,66,33.58151507191379,-90.11040087141545,154.66711414836976,22.543972574669066,-55.38606697278658,111.82180088533761,0.07489636307405426,1.0,33.58151507191379,-90.11040087141545,154.66711414836976,0.42424242424242425,0.5757575757575758,15.0,100.74454521574138
AMD,wait,s05_k15,random,случайный день окна,66,66,7.3342068267758345,-54.30498010246774,64.51942023619823,0.0,0.0,0.0,0.0,,,,,0.4696969696969697,0.5303030303030303,,22.002620480327504
AMD,wait,s05_k15,calendar25,"календарь: первый день с 25-го, иначе срок",66,66,62.793126212241866,-50.15280084405058,176.8640132461974,51.22754893922855,-8.495939220750866,118.4359455313665,0.17018992957157048,1.0,62.793126212241866,-50.15280084405058,176.8640132461974,0.4090909090909091,0.5909090909090909,13.545454545454545,188.3793786367256
AMD,wait,s05_k15,screen,"экран: первый день с фактом уровня, иначе срок",66,66,12.645634432821664,-97.13179379057942,120.64838266552003,4.897633733522204,-80.27419209381134,94.52592812120749,0.016271087675194244,0.16666666666666666,250.679516866674,140.36917175581368,391.39622478288305,0.30303030303030304,0.696969696969697,10.106060606060606,37.93690329846499
