corridor,asset,anchor_hour,group,n,evening_fact_share,gate_survival_T1,n_scored,hit_mean,benefit_fwd_bps,share_positive,n_scored_evening,hit_mean_evening,benefit_fwd_evening_bps,est_n,est_corr,est_mae_bps,est_sign_share,move_mean_abs_bps
AMD,USD,15,все пуши,104,,0.9782608695652174,104,0.6153846153846154,78.86919444922488,0.5576923076923077,104,0.6153846153846154,76.28179572086545,1395,0.4108757407704433,69.64035284882044,0.6580645161290323,39.62702679606021
AMD,USD,15,факт на T,46,0.9782608695652174,0.9782608695652174,46,0.6304347826086957,80.46552255281331,0.5869565217391305,46,0.6304347826086957,99.78035775302833,1395,0.4108757407704433,69.64035284882044,0.6580645161290323,39.62702679606021
AMD,USD,15,прошли гейт,45,,0.9777777777777777,45,0.6444444444444445,84.69092230601012,0.6,45,0.6444444444444445,104.8590374268548,1395,0.4108757407704433,69.64035284882044,0.6580645161290323,39.62702679606021
AMD,USD,15,сняты гейтом,1,,1.0,1,0.0,-109.67746634104381,0.0,1,0.0,-128.7602275691624,1395,0.4108757407704433,69.64035284882044,0.6580645161290323,39.62702679606021
KGS,USD,15,все пуши,114,,0.9264705882352942,114,0.5175438596491229,21.0216305509765,0.4473684210526316,114,0.5350877192982456,26.53445947247619,1395,0.40810270576807206,69.46409267886266,0.6673835125448029,39.62702679606021
KGS,USD,15,факт на T,68,0.9852941176470589,0.9264705882352942,68,0.5882352941176471,12.731092245771976,0.5,68,0.6176470588235294,25.696156997576363,1395,0.40810270576807206,69.46409267886266,0.6673835125448029,39.62702679606021
KGS,USD,15,прошли гейт,67,,0.9402985074626866,67,0.582089552238806,0.4373627462208204,0.4925373134328358,67,0.6119402985074627,20.266828772175792,1395,0.40810270576807206,69.46409267886266,0.6673835125448029,39.62702679606021
KGS,USD,15,сняты гейтом,1,,0.0,1,1.0,836.4109687156995,1.0,1,1.0,389.4611480994148,1395,0.40810270576807206,69.46409267886266,0.6673835125448029,39.62702679606021
KZT,USD,15,все пуши,169,,0.8701298701298701,169,0.5207100591715976,26.523338511066086,0.5029585798816568,169,0.5325443786982249,36.0466599545074,1395,0.38363198859915915,75.97450981796388,0.6379928315412187,39.62702679606021
KZT,USD,15,факт на T,77,0.948051948051948,0.8701298701298701,77,0.4935064935064935,-20.441715920549353,0.4675324675324675,77,0.5064935064935064,-0.10402020865592623,1395,0.38363198859915915,75.97450981796388,0.6379928315412187,39.62702679606021
KZT,USD,15,прошли гейт,73,,0.9178082191780822,73,0.4794520547945205,-24.097965209682602,0.4520547945205479,73,0.4931506849315068,0.09773095588446436,1395,0.38363198859915915,75.97450981796388,0.6379928315412187,39.62702679606021
KZT,USD,15,сняты гейтом,4,,0.0,4,0.75,46.284833606132224,0.75,4,0.75,-3.785978961518003,1395,0.38363198859915915,75.97450981796388,0.6379928315412187,39.62702679606021
