indicator,corridor,windows,active_windows,events,lift_mean_median,lift_mean_pooled,benefit_excess_median_bps,benefit_excess_pooled_bps,freq_per_week_median,empty_month_share_median
stream:in_holiday:k1,AMD,11,3,5,1.1818181818181817,1.0756972111553786,16.40793680428971,-80.87750464534471,0.0,1.0
stream:in_holiday:k1,KGS,11,2,4,0.6666666666666666,0.9629629629629631,-187.63428354838143,-98.41807930630941,0.0,1.0
stream:in_holiday:k1,KZT,11,5,6,1.5783132530120483,0.9853191074463048,30.55756648212087,-94.26663751033688,0.0,1.0
stream:in_holiday:k1,TJS,11,5,5,1.873015873015873,1.1219273796861782,89.90620265381239,-28.505791186139685,0.0,1.0
stream:in_holiday:k1,UZS,11,2,2,0.0,0.0,-73.4946012590143,-73.4946012590143,0.0,1.0
stream:in_holiday:k3,AMD,11,6,11,0.5318181818181819,0.8854926972187089,-13.691305630589763,-176.13113392165982,0.03804347826086957,0.8333333333333334
stream:in_holiday:k3,KGS,11,6,10,0.4642857142857143,0.9920954297211843,17.611832193766432,12.256406841109847,0.03804347826086957,0.8333333333333334
stream:in_holiday:k3,KZT,11,11,20,1.2421052631578948,0.9745126383654524,30.55756648212087,-30.308701645772636,0.03867403314917127,0.8333333333333334
stream:in_holiday:k3,TJS,11,8,15,0.44999999999999996,0.9040527637463965,-129.215196755979,-48.08925954263077,0.03804347826086957,0.8333333333333334
stream:in_holiday:k3,UZS,11,7,13,0.9672131147540984,0.8022780524602907,-53.93713144969918,-17.136210531583036,0.03867403314917127,0.8333333333333334
stream:in_holiday:k5,AMD,11,6,19,1.1759090909090908,0.973335004465055,24.568156634907083,-15.498330245293454,0.03804347826086957,0.8333333333333334
stream:in_holiday:k5,KGS,11,10,24,0.586868686868687,0.7753857872714363,-65.24762955891457,-61.242445411546946,0.07734806629834254,0.6666666666666666
stream:in_holiday:k5,KZT,11,11,29,0.9485294117647058,1.017412748863772,43.454615320990314,11.154649000367145,0.11602209944751381,0.5
stream:in_holiday:k5,TJS,11,9,25,0.8024691358024691,0.9491497166173005,-115.6530354536799,-48.29727259649046,0.07734806629834254,0.6666666666666666
stream:in_holiday:k5,UZS,11,10,21,1.052990845959596,0.8669481695011122,-83.94665245958006,-48.2081010984875,0.07608695652173914,0.8333333333333334
stream:out_holiday:k1,AMD,11,11,99,1.2892561983471076,1.1812247097294144,57.01436741839594,70.87149260927445,0.3804347826086957,0.16666666666666666
stream:out_holiday:k1,KGS,11,11,110,1.0197628458498025,1.0812009721093803,49.601890173436416,49.36024323737916,0.3804347826086957,0.16666666666666666
stream:out_holiday:k1,KZT,11,11,163,1.0434782608695652,1.0296198996274537,28.981068522032405,41.26953975396966,0.6187845303867403,0.0
stream:out_holiday:k1,TJS,11,11,142,1.0366071428571428,0.958018749455597,3.489753854314607,22.591634085500836,0.5384615384615384,0.0
stream:out_holiday:k1,UZS,11,11,109,1.074681238615665,1.0231539656820623,26.144566455909526,12.5531427711592,0.30939226519337015,0.3333333333333333
stream:out_holiday:k3,AMD,11,11,93,1.3074712643678161,1.2094220404453764,60.85492851807138,91.92830879816887,0.3423913043478261,0.16666666666666666
stream:out_holiday:k3,KGS,11,11,104,1.0197628458498025,1.0852910366219384,49.601890173436416,47.244138177647805,0.3804347826086957,0.16666666666666666
stream:out_holiday:k3,KZT,11,11,149,1.0434782608695652,1.035335519389187,32.54635732470515,45.41952475000327,0.580110497237569,0.0
stream:out_holiday:k3,TJS,11,11,132,0.9116883116883117,0.9697118429300065,12.41052783865755,28.688045282953645,0.46153846153846156,0.16666666666666666
stream:out_holiday:k3,UZS,11,11,98,1.0881147540983607,1.0309229911300037,26.144566455909526,14.735449963764328,0.3076923076923077,0.3333333333333333
stream:out_holiday:k5,AMD,11,11,85,1.2206572769953052,1.2172545606443974,60.85492851807138,81.25127670296499,0.30939226519337015,0.16666666666666666
stream:out_holiday:k5,KGS,11,10,90,1.2118785014005602,1.1577034994478352,69.16194515299478,72.2863680973733,0.30434782608695654,0.3333333333333333
stream:out_holiday:k5,KZT,11,11,140,1.0434782608695652,1.030256271372712,28.39272631622258,41.69893095588847,0.5027624309392265,0.0
stream:out_holiday:k5,TJS,11,11,122,0.901386748844376,0.966340594771022,3.489753854314607,35.0238926157597,0.42541436464088395,0.16666666666666666
stream:out_holiday:k5,UZS,11,11,90,1.0446428571428572,1.0373149113142153,18.258915700969958,24.818594251184024,0.27071823204419887,0.3333333333333333
stream:in_holiday:k1,all,55,17,22,1.1818181818181817,0.9508187408365812,-9.201875064237388,-75.14444654375953,0.0,1.0
stream:in_holiday:k3,all,55,38,69,0.9325396825396826,0.9162985492264062,-51.88453011609789,-48.77046474916889,0.03867403314917127,0.8333333333333334
stream:in_holiday:k5,all,55,46,118,0.9213169642857142,0.9216639816529291,-65.24762955891457,-31.02206848735215,0.07734806629834254,0.6666666666666666
stream:out_holiday:k1,all,55,55,623,1.074681238615665,1.044091623805217,29.9698653083914,38.12061654337785,0.4565217391304348,0.16666666666666666
stream:out_holiday:k3,all,55,55,576,1.0712802768166092,1.0555769131624906,31.38332564781689,44.2033478303027,0.42541436464088395,0.16666666666666666
stream:out_holiday:k5,all,55,54,527,1.1364710598043932,1.0671644534213165,38.76439752391849,48.87394755990371,0.3867403314917127,0.16666666666666666
