corridor,source,spread_source,n,n_next,gate_fact_T,gate_fact_T1,gate_survival,own_fact_n,own_fact_T,own_fact_T1,own_survival,n_scored,benefit_fwd_bps,hit_mean,share_positive,benefit_fwd_exec_bps,hit_mean_exec,share_positive_exec,benefit_fwd_at_p90_spread_bps,spread_days,spread_mean_bps,spread_p90_dev_bps
AMD,dip_vs_trend,CNY,87,87,0.7011494252873564,0.6896551724137931,0.9508196721311475,87,1.0,0.9195402298850575,0.9195402298850575,87,-34.86265742142139,0.5287356321839081,0.5057471264367817,-33.38280161497475,0.5336687879236347,0.5026063506158223,-108.00475816737931,1398,13.54913703554277,73.94069543891897
AMD,dip_vs_trend,AMD,87,87,0.7011494252873564,0.6896551724137931,0.9508196721311475,87,1.0,0.9195402298850575,0.9195402298850575,87,-34.86265742142139,0.5287356321839081,0.5057471264367817,-22.289033362945684,0.5396097712222887,0.5180275950656656,-251.06645228448593,1038,173.79648947473228,221.77173924190691
AMD,level,CNY,138,138,0.6956521739130435,0.6956521739130435,0.9375,138,1.0,0.8768115942028986,0.8768115942028986,138,63.649866636101265,0.6014492753623188,0.5652173913043478,65.14435187771998,0.5976809520847588,0.5559339428997947,-10.215296192359766,1398,13.54913703554277,73.94069543891897
AMD,level,AMD,138,138,0.6956521739130435,0.6956521739130435,0.9375,138,1.0,0.8768115942028986,0.8768115942028986,138,63.649866636101265,0.6014492753623188,0.5652173913043478,76.34778997916969,0.631258551841613,0.6005836195582362,-154.6912576796916,1038,173.79648947473228,221.77173924190691
AMD,ml_localmin,CNY,41,41,1.0,0.9512195121951219,0.9512195121951219,41,1.0,0.9512195121951219,0.9512195121951219,41,46.71681376768121,0.5609756097560976,0.5121951219512195,48.208784395025525,0.5594577619595938,0.5146376356467427,-27.024063863671067,1398,13.54913703554277,73.94069543891897
AMD,ml_localmin,AMD,41,41,1.0,0.9512195121951219,0.9512195121951219,41,1.0,0.9512195121951219,0.9512195121951219,41,46.71681376768121,0.5609756097560976,0.5121951219512195,59.39337164095126,0.6020489684665633,0.56875323088491,-171.2569307355799,1038,173.79648947473228,221.77173924190691
AMD,momentum,CNY,186,186,0.2849462365591398,0.3064516129032258,1.0,0,,,,186,15.632458639429672,0.543010752688172,0.5161290322580645,17.119813137377598,0.5488831971941484,0.5132139615733691,-57.880266086824165,1398,13.54913703554277,73.94069543891897
AMD,momentum,AMD,186,186,0.2849462365591398,0.3064516129032258,1.0,0,,,,186,15.632458639429672,0.543010752688172,0.5161290322580645,28.269795478202482,0.5899475832349224,0.5605123583400667,-201.66687914884488,1038,173.79648947473228,221.77173924190691
AMD,seasonality,CNY,19,19,0.15789473684210525,0.15789473684210525,1.0,0,,,,19,163.71680013834296,0.6842105263157895,0.6842105263157895,165.22614565006998,0.7265266169716136,0.682026955801521,89.11716617517027,1398,13.54913703554277,73.94069543891897
AMD,seasonality,AMD,19,19,0.15789473684210525,0.15789473684210525,1.0,0,,,,19,163.71680013834296,0.6842105263157895,0.6842105263157895,176.54098405959385,0.7362843524997464,0.7075347327857215,-56.79537812480049,1038,173.79648947473228,221.77173924190691
AMD,stream BUY_NOW,CNY,104,104,0.4423076923076923,0.46153846153846156,0.9782608695652174,67,1.0,0.9104477611940298,0.9104477611940298,104,78.86919444922488,0.6153846153846154,0.5576923076923077,80.36593981128755,0.6127090899086607,0.5676859799713877,4.892324820353095,1398,13.54913703554277,73.94069543891897
AMD,stream BUY_NOW,AMD,104,104,0.4423076923076923,0.46153846153846156,0.9782608695652174,67,1.0,0.9104477611940298,0.9104477611940298,104,78.86919444922488,0.6153846153846154,0.5576923076923077,91.5863209502395,0.6356528827627094,0.60667704164814,-139.80212867019142,1038,173.79648947473228,221.77173924190691
KGS,dip_vs_trend,CNY,86,86,0.7674418604651163,0.7674418604651163,0.9545454545454546,86,1.0,0.8604651162790697,0.8604651162790697,86,-93.70211574597639,0.3953488372093023,0.37209302325581395,-92.23099779341538,0.40486409155937053,0.38758858169477994,-166.41234672028313,1398,13.54913703554277,73.94069543891897
