window,pct,stall_days,rearm,n_events,freq_per_week,hit_mean,base_mean,lift_mean,hit_min,lift_min,benefit_excess_bps,empty_month_share,corridor,on_frontier
20,0.05,0,1,157,0.5475834578973593,0.4968152866242038,0.4459500797106556,1.1140603157791809,0.16560509554140126,1.015843690872936,49.125851178226725,0.4393939393939394,KZT,False
20,0.05,0,3,79,0.2755356253114101,0.5063291139240507,0.4611034067657547,1.0980814856162429,0.13924050632911392,0.8345723586451835,36.88740129768798,0.4393939393939394,KZT,False
20,0.05,0,5,60,0.20926756352765324,0.48333333333333334,0.46800687640711774,1.0327483584084844,0.16666666666666666,0.9872781170601282,23.487946927526444,0.4393939393939394,KZT,False
20,0.05,3,1,0,0.0,,,,,,,1.0,KZT,False
20,0.05,3,3,0,0.0,,,,,,,1.0,KZT,False
20,0.05,3,5,0,0.0,,,,,,,1.0,KZT,False
20,0.1,0,1,236,0.8231190832087695,0.5084745762711864,0.4489016501893423,1.1327081913303656,0.1694915254237288,1.0262665861777511,46.45764847847632,0.3484848484848485,KZT,False
20,0.1,0,3,109,0.3801694070752367,0.5504587155963303,0.4593523125070579,1.1983366592671123,0.1743119266055046,1.0313435060270415,43.236960840877565,0.3484848484848485,KZT,True
20,0.1,0,5,77,0.2685600398604883,0.5064935064935064,0.46868645938383297,1.0806659683733497,0.15584415584415584,0.897271850034052,27.674721289912632,0.36363636363636365,KZT,False
20,0.1,3,1,36,0.12556053811659196,0.5,0.4522534473667126,1.105574767669094,0.2222222222222222,1.273820763541052,43.61516977711113,0.5606060606060606,KZT,False
20,0.1,3,3,33,0.11509715994020929,0.5454545454545454,0.4740499286573119,1.1506267852406988,0.24242424242424243,1.3165486562968542,47.711853019883016,0.5606060606060606,KZT,False
20,0.1,3,5,32,0.1116093672147484,0.53125,0.4698736043124683,1.1306232040366246,0.21875,1.1880760732874003,44.785805898616466,0.5757575757575758,KZT,False
20,0.15,0,1,343,1.1963129048330845,0.5131195335276968,0.4575946480851012,1.121340766713402,0.1749271137026239,1.059591556547976,40.44149539602823,0.24242424242424243,KZT,False
20,0.15,0,3,148,0.5161933233682113,0.5067567567567568,0.46016913913133833,1.1012402042287364,0.1554054054054054,0.9492801155949379,22.662823629736017,0.24242424242424243,KZT,False
20,0.15,0,5,102,0.3557548579970105,0.5,0.46381819003537544,1.0780086049705488,0.13725490196078433,0.8311174998141357,24.846166060649153,0.25757575757575757,KZT,False
20,0.15,3,1,102,0.3557548579970105,0.5392156862745098,0.480045433371484,1.1232596933324783,0.23529411764705882,1.3821811159436204,39.38942735131697,0.2878787878787879,KZT,False
20,0.15,3,3,71,0.247633283507723,0.5070422535211268,0.4653994365064762,1.0894775836585506,0.2112676056338028,1.2807139186043475,25.909180336228722,0.3181818181818182,KZT,False
20,0.15,3,5,62,0.21624314897857502,0.5,0.4710840016634865,1.0613818304896911,0.20967741935483872,1.2636242587630713,11.696685412846294,0.3333333333333333,KZT,False
20,0.2,0,1,396,1.3811659192825114,0.5126262626262627,0.4635048503951839,1.1059782053827438,0.18686868686868688,1.1159329339658073,46.302361739481874,0.16666666666666666,KZT,False
20,0.2,0,3,169,0.58943697060289,0.4970414201183432,0.4689178104897538,1.0599755628800198,0.1952662721893491,1.1566261066448782,38.75494304655901,0.19696969696969696,KZT,False
20,0.2,0,5,116,0.40458395615346293,0.5603448275862069,0.4766925056485287,1.1754848690643271,0.20689655172413793,1.2025426429859964,51.665228025332674,0.18181818181818182,KZT,False
20,0.2,3,1,142,0.495266567015446,0.528169014084507,0.4871136547141947,1.0842829162619159,0.2323943661971831,1.3528321989684546,50.90856476258315,0.18181818181818182,KZT,False
20,0.2,3,3,89,0.310413552566019,0.5056179775280899,0.47410654820208786,1.066464868383489,0.2247191011235955,1.3259733500290736,50.281429654299366,0.21212121212121213,KZT,False
20,0.2,3,5,76,0.2650722471350275,0.5131578947368421,0.49144480417014147,1.0441821551117334,0.23684210526315788,1.3456901834069548,29.513878319250058,0.21212121212121213,KZT,False
20,0.3,0,1,509,1.7752864972595916,0.48919449901768175,0.46503692814524955,1.0519476398762182,0.17681728880157171,1.055913557825329,21.23290597338063,0.10606060606060606,KZT,False
20,0.3,0,3,201,0.7010463378176384,0.48756218905472637,0.4671997796499615,1.0435839447955668,0.17412935323383086,1.0488674387120884,17.782628697884654,0.13636363636363635,KZT,False
20,0.3,0,5,134,0.4673642252117589,0.4925373134328358,0.4694586754652483,1.0491601054016435,0.17164179104477612,1.0241784065584716,26.958561017614706,0.13636363636363635,KZT,False
20,0.3,3,1,237,0.8266068759342303,0.4767932489451477,0.47691842110388105,0.9997375396856266,0.1940928270042194,1.1650512673770277,3.9696430540209233,0.12121212121212122,KZT,False
20,0.3,3,3,124,0.43248629795715005,0.47580645161290325,0.47153410647648153,1.0090605219807887,0.16129032258064516,0.9831427007373073,5.416713522895221,0.15151515151515152,KZT,False
20,0.3,3,5,97,0.3383158943697061,0.4845360824742268,0.48084145952186547,1.0076836613798552,0.17525773195876287,1.0343161255603477,13.120277961392892,0.16666666666666666,KZT,False
20,0.4,0,1,612,2.134529147982063,0.49019607843137253,0.4695676539938491,1.0439306759357698,0.17320261437908496,1.0274723971020558,18.29958458615265,0.06060606060606061,KZT,False
20,0.4,0,3,231,0.805680119581465,0.47186147186147187,0.47397328009820383,0.9955444571974724,0.16883116883116883,0.990867304194008,8.905617995168745,0.09090909090909091,KZT,False
20,0.4,0,5,148,0.5161933233682113,0.47297297297297297,0.48067661096919684,0.9839733454459312,0.14864864864864866,0.8506039544200034,3.865543418404723,0.10606060606060606,KZT,False
20,0.4,3,1,327,1.1405082212257103,0.4801223241590214,0.4802244664671144,0.9997873029901112,0.17737003058103976,1.0522294265477177,5.94310427391751,0.07575757575757576,KZT,False
20,0.4,3,3,153,0.5336322869955158,0.48366013071895425,0.48330901091079637,1.0007264913341802,0.1503267973856209,0.8747471322335941,0.517425285859872,0.10606060606060606,KZT,False
20,0.4,3,5,113,0.3941205779770803,0.4690265486725664,0.49203176537928023,0.953244448173015,0.13274336283185842,0.7473896365954873,-15.252494542176311,0.12121212121212122,KZT,False
20,0.5,0,1,709,2.472845042351769,0.49647390691114246,0.47444979936491366,1.0464203116445823,0.1777150916784203,1.0345516954342522,9.70788158882483,0.045454545454545456,KZT,True
20,0.5,0,3,265,0.9242650722471352,0.4981132075471698,0.48138547604354515,1.034749140420912,0.1660377358490566,0.9524168414981521,0.33728058057963434,0.07575757575757576,KZT,False
20,0.5,0,5,165,0.5754857997010464,0.4909090909090909,0.4864753047001119,1.0091141033597013,0.16363636363636364,0.920749019600864,6.209586489843395,0.06060606060606061,KZT,False
