source,corridor,regime,days,events,hit_mean,base_mean,lift_mean,lift_ci_lo,lift_ci_hi,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,verdict_benefit
level,TJS,buy,740,54,0.5925925925925926,0.5567567567567567,1.0643653362099963,0.7598954443614638,1.3856339049300213,40.26180499394265,51.22505833490591,-10.963253340963243,-87.12698204196224,74.43030980183438,разницы нет
level,TJS,sell,344,21,0.6666666666666666,0.688953488372093,0.9676511954992967,0.7917146144994246,1.2579465541490857,70.4235937401998,109.48679615638139,-39.06320241618159,-108.08090427691839,36.47461656936848,разницы нет
level,TJS,none,269,17,0.35294117647058826,0.45724907063197023,0.7718794835007174,0.14579945799457994,1.4963628583654258,-26.585154393859938,-109.34231705017633,82.75716265631638,-465.686748564032,571.1753850211118,разницы нет
stream BUY_NOW,TJS,buy,740,86,0.5232558139534884,0.5567567567567567,0.9398284037028676,0.7302891283473808,1.1547175990137153,33.25660229020958,51.22505833490591,-17.96845604469633,-115.412562790944,114.00586583538774,разницы нет
stream BUY_NOW,TJS,sell,344,31,0.6129032258064516,0.688953488372093,0.8896148087654825,0.6220614828209765,1.1339662447257384,83.27907202946061,109.48679615638139,-26.20772412692078,-108.5794291372334,51.80837856027136,разницы нет
stream BUY_NOW,TJS,none,269,30,0.4666666666666667,0.45724907063197023,1.0205962059620597,0.5178871227566765,1.5746341463414635,-2.1703969215649654,-109.34231705017633,107.17192012861138,-183.31234632875046,353.34772577943806,разницы нет
level,UZS,buy,740,83,0.4819277108433735,0.5094594594594595,0.94595890192068,0.6462749193615468,1.2655520303711274,2.773065686877165,28.57628424966383,-25.803218562786668,-92.45831488608135,39.23359432574401,разницы нет
level,UZS,sell,344,20,0.65,0.6831395348837209,0.9514893617021277,0.38521836506159013,1.4028368794326243,50.410119846915066,107.05107329071168,-56.64095344379662,-211.42051379666978,80.99814942999166,разницы нет
level,UZS,none,269,18,0.3888888888888889,0.379182156133829,1.025599128540305,0.41614174009684846,1.6229260935143288,-105.76441092863405,-179.85949836427517,74.09508743564112,-221.1533418045558,420.5236064811003,разницы нет
stream BUY_NOW,UZS,buy,740,73,0.4520547945205479,0.5094594594594595,0.88732240834272,0.5939736055434784,1.1718595352151706,-35.56867520414982,28.57628424966383,-64.14495945381366,-129.17035243237478,-1.6484774320714015,выгоды нет
stream BUY_NOW,UZS,sell,344,19,0.631578947368421,0.6831395348837209,0.9245240761478163,0.4879432624113475,1.3470370820668676,76.92223395922447,107.05107329071168,-30.128839331487196,-166.20779205312286,98.45472329736906,разницы нет
stream BUY_NOW,UZS,none,269,19,0.47368421052631576,0.379182156133829,1.2492260061919505,0.5023342670401494,2.05119825708061,-36.083775259115015,-179.85949836427517,143.77572310516015,-160.38823620361896,402.40373633647755,разницы нет
level,KGS,buy,740,58,0.46551724137931033,0.5310810810810811,0.8765464595946301,0.6173166767741914,1.1982419616007403,18.990010078174095,18.47901256167438,0.5109975164997158,-66.5112866725811,71.27529366041941,разницы нет
level,KGS,sell,344,21,0.5714285714285714,0.6715116279069767,0.8509585652442795,0.35446178471388556,1.3402597402597403,-1.735342458254782,101.01214264477724,-102.74748510303202,-248.36472166421518,42.836466363629775,разницы нет
level,KGS,none,269,36,0.3888888888888889,0.39776951672862454,0.9776739356178609,0.5175446850199461,1.4666915082178529,-66.35824522080077,-130.9391565023825,64.58091128158173,-121.76459779157845,264.7031840224971,разницы нет
stream BUY_NOW,KGS,buy,740,66,0.5454545454545454,0.5310810810810811,1.0270645385149202,0.7869051688124263,1.2737614129621315,23.802046670168714,18.47901256167438,5.323034108494328,-67.17923611860995,85.26856980464372,разницы нет
stream BUY_NOW,KGS,sell,344,21,0.5238095238095238,0.6715116279069767,0.780045351473923,0.3503947033358798,1.134611420325706,47.933546660727586,101.01214264477724,-53.078595984049656,-185.7479515094397,75.41767361075775,разницы нет
stream BUY_NOW,KGS,none,269,27,0.4444444444444444,0.39776951672862454,1.1173416407061265,0.6487210904862397,1.6341121495327102,-6.706432492410879,-130.9391565023825,124.23272400997159,-28.390841837817685,266.4333642390603,разницы нет
level,AMD,buy,740,70,0.5714285714285714,0.5351351351351351,1.0678210678210678,0.7935519579355196,1.3614718614718615,23.950604189688136,47.63982019087432,-23.689216001186193,-106.74411335886508,69.44206549425444,разницы нет
level,AMD,sell,344,39,0.6923076923076923,0.6947674418604651,0.9964596073382684,0.6215290985165463,1.3084823126664131,63.7246809342147,130.32046861343517,-66.59578767922048,-164.4008779570377,21.173773027478024,разницы нет
level,AMD,none,269,29,0.5517241379310345,0.46096654275092935,1.1968854282536152,0.5423387096774194,1.7521712158808933,159.37506020929067,-80.28608963710178,239.66114984639253,-38.71704920404738,467.972442434261,разницы нет
stream BUY_NOW,AMD,buy,740,58,0.603448275862069,0.5351351351351351,1.1276558690351794,0.8461978273299029,1.3785748404600862,95.42785012630307,47.63982019087432,47.788029935428746,-70.26902694945824,225.5503102855039,разницы нет
stream BUY_NOW,AMD,sell,344,22,0.6818181818181818,0.6947674418604651,0.9813617344998097,0.6908786610878661,1.2594142259414225,85.36586512872228,130.32046861343517,-44.954603484712905,-148.41788416163533,70.46923222140104,разницы нет
stream BUY_NOW,AMD,none,269,24,0.5833333333333334,0.46096654275092935,1.265456989247312,0.867741935483871,1.735483870967742,32.897161773413295,-80.28608963710178,113.18325141051507,-236.1737579979813,412.68422455212675,разницы нет
level,KZT,buy,740,119,0.42857142857142855,0.46216216216216216,0.9273182957393483,0.6761425438596491,1.200062522267679,-35.300639855284764,-9.801044913826093,-25.499594941458668,-103.73614993109824,56.757338869313024,разницы нет
