corridor,days_in_window,days_outside,dev_in_window_bps,dev_outside_bps,difference_bps,detrended_in_window_bps,detrended_outside_bps,detrended_difference_bps,supports_hypothesis
AMD,419,934,-8.033091703342128,3.603710303747671,-11.636802007089798,-5.353470820514445,2.401610571519088,-7.755081392033532,True
KGS,419,934,-23.82754974554088,10.689232701693484,-34.51678244723436,-1.8852518298880654,0.8457393112700016,-2.730991141158067,True
KZT,419,934,-43.68992396593307,19.599655397993676,-63.28957936392675,-11.729825190726796,5.2620950266778745,-16.99192021740467,True
TJS,419,934,-15.724961620411136,7.05434573763634,-22.779307358047475,-3.0541890262959535,1.3701340492729714,-4.424323075568925,True
UZS,419,934,-33.51332551319185,15.034350524654535,-48.54767603784639,-6.28835881263724,2.8210089320103484,-9.109367744647589,True
