corridor,indicator,h,n_events,tol_bps_for_90_events,tol_bps_for_90_random_day,tol_bps_for_95_events,tol_bps_for_95_random_day,tol_bps_for_99_events,tol_bps_for_99_random_day
TJS,level,20,92,755.9241254706785,741.692995566372,1044.4496290952102,1030.945557939692,1971.0477680552706,2871.131203559171
UZS,level,20,121,778.9169902994709,796.673537333961,1070.4277521229733,1128.3148529704786,2051.089312710553,2479.1937759741463
KGS,level,20,115,715.2278134814368,753.3698179096432,1083.0711596541096,1113.550128541225,1630.7083676648956,2156.8035198921825
AMD,level,20,138,710.709467291878,747.6188253851221,841.3698868353772,1042.8281158568552,1116.0299813827717,2363.2379221557876
KZT,level,20,157,897.1301084490304,866.0417257252925,1092.1263998247066,1135.97165411779,1765.8539249572932,2217.911152015404
