window,pct,stall_days,rearm,n_events,freq_per_week,hit_mean,base_mean,lift_mean,hit_min,lift_min,benefit_excess_bps,empty_month_share,corridor,on_frontier
20,0.05,0,1,158,0.5510712506228203,0.5632911392405063,0.5375421799264362,1.0479012815656512,0.18354430379746836,0.9109727392425083,32.1449560625651,0.3787878787878788,TJS,False
20,0.05,0,3,80,0.279023418036871,0.5375,0.5409509229476688,0.9936206358076541,0.1625,0.7986111011822269,18.32932835564831,0.3787878787878788,TJS,False
20,0.05,0,5,62,0.21624314897857502,0.5645161290322581,0.5411612421038055,1.0431569837441772,0.14516129032258066,0.7213058918457608,41.60945581798958,0.3939393939393939,TJS,False
20,0.05,3,1,0,0.0,,,,,,,1.0,TJS,False
20,0.05,3,3,0,0.0,,,,,,,1.0,TJS,False
20,0.05,3,5,0,0.0,,,,,,,1.0,TJS,False
20,0.1,0,1,233,0.8126557050323868,0.5579399141630901,0.5367624439982793,1.0394540832757642,0.2145922746781116,1.0701877231182697,29.341163455249603,0.3484848484848485,TJS,False
20,0.1,0,3,104,0.3627304434479323,0.5192307692307693,0.5394429835091107,0.9625313241691278,0.20192307692307693,0.9872266580695479,-7.731063898808663,0.3484848484848485,TJS,False
20,0.1,0,5,78,0.2720478325859492,0.5512820512820513,0.5437068195704965,1.0139325670359238,0.23076923076923078,1.1234626624765283,37.45164561011395,0.36363636363636365,TJS,False
20,0.1,3,1,28,0.09765819631290484,0.4642857142857143,0.5428045488615465,0.8553460269621652,0.17857142857142858,0.8554602293630423,-24.546745152195864,0.696969696969697,TJS,False
20,0.1,3,3,25,0.08719481813652219,0.48,0.5417610112425231,0.885999527539136,0.2,0.968206627409718,-5.526308416589683,0.696969696969697,TJS,False
20,0.1,3,5,25,0.08719481813652219,0.48,0.5417610112425231,0.885999527539136,0.2,0.968206627409718,-5.526308416589683,0.696969696969697,TJS,False
20,0.15,0,1,314,1.0951669157947186,0.5509554140127388,0.5386550563692849,1.0228353145450122,0.20382165605095542,1.0053307092807648,10.615505847052258,0.2878787878787879,TJS,False
20,0.15,0,3,131,0.45690084703537626,0.5343511450381679,0.5395009700605639,0.9904544656855431,0.1984732824427481,0.9714515047274013,4.4722452627200635,0.30303030303030304,TJS,False
20,0.15,0,5,95,0.3313403089187843,0.5473684210526316,0.5430918173785816,1.0078745500064659,0.21052631578947367,1.0189010515374557,28.405051876700053,0.3333333333333333,TJS,False
20,0.15,3,1,73,0.25460886895864476,0.5342465753424658,0.5497434393442201,0.9718107340758076,0.1780821917808219,0.8308945036616578,-50.78297688406829,0.45454545454545453,TJS,False
20,0.15,3,3,51,0.17787742899850525,0.5294117647058824,0.5523145940572696,0.9585329998558532,0.17647058823529413,0.8045702774972782,-36.805443170873936,0.4696969696969697,TJS,False
20,0.15,3,5,49,0.17090184354758348,0.5102040816326531,0.5525486102807827,0.9233650617153631,0.16326530612244897,0.7473213921993402,-39.23338340236405,0.4696969696969697,TJS,False
20,0.2,0,1,373,1.300946686596911,0.5630026809651475,0.5415172999069643,1.0396762597646918,0.21179624664879357,1.0324917646567469,22.40242019793098,0.19696969696969696,TJS,False
20,0.2,0,3,152,0.530144494270055,0.5723684210526315,0.5432670485191051,1.0535673433771733,0.2236842105263158,1.0833669173316358,37.976008376519886,0.21212121212121213,TJS,False
20,0.2,0,5,109,0.3801694070752367,0.5871559633027523,0.5467047604777616,1.0739909467582478,0.24770642201834864,1.1880293925382959,52.91440269745778,0.22727272727272727,TJS,False
20,0.2,3,1,116,0.40458395615346293,0.5689655172413793,0.5523956606874721,1.0299963553900577,0.20689655172413793,0.9632053135089736,12.119658032681757,0.2878787878787879,TJS,False
20,0.2,3,3,77,0.2685600398604883,0.5844155844155844,0.5492900119158218,1.0639472259421778,0.2077922077922078,0.9749216959596063,31.55689150035002,0.30303030303030304,TJS,False
20,0.2,3,5,66,0.23019431988041858,0.5606060606060606,0.5507633320873699,1.0178710671993851,0.22727272727272727,1.0563493672154736,32.60903240037377,0.3333333333333333,TJS,False
20,0.3,0,1,450,1.5695067264573994,0.5711111111111111,0.5445521991424477,1.04877202224229,0.22666666666666666,1.0924151721920978,16.240771001222083,0.16666666666666666,TJS,False
20,0.3,0,3,176,0.6138515196811162,0.5795454545454546,0.5465503252211872,1.060369791767875,0.23295454545454544,1.1177130273592282,26.223326449905304,0.16666666666666666,TJS,False
20,0.3,0,5,118,0.41155954160438474,0.5847457627118644,0.5478125669989615,1.0674194020689067,0.22033898305084745,1.0518489595137648,8.409413907373832,0.19696969696969696,TJS,False
20,0.3,3,1,177,0.6173393124065771,0.5932203389830508,0.5544400871313375,1.0699448917057235,0.24293785310734464,1.1207130469634716,2.119121433498677,0.21212121212121213,TJS,False
20,0.3,3,3,99,0.34529147982062786,0.5959595959595959,0.5512867562685976,1.0810337618000618,0.21212121212121213,0.992483908824142,11.676084066096868,0.22727272727272727,TJS,False
20,0.3,3,5,80,0.279023418036871,0.5625,0.5503597484057892,1.0220587563486923,0.2125,0.9975176787930992,5.25316480094042,0.25757575757575757,TJS,False
20,0.4,0,1,540,1.8834080717488793,0.5740740740740741,0.5493254439220887,1.0450527650335735,0.2351851851851852,1.1005269087345007,28.68992380154612,0.12121212121212122,TJS,False
20,0.4,0,3,205,0.714997508719482,0.5658536585365853,0.5495309680506595,1.0297029493057088,0.22926829268292684,1.0761046400115515,24.029686444108318,0.15151515151515152,TJS,False
20,0.4,0,5,135,0.4708520179372198,0.5777777777777777,0.5498600643635002,1.0507723968762746,0.2222222222222222,1.037765124571652,23.24802875565339,0.13636363636363635,TJS,False
20,0.4,3,1,252,0.8789237668161436,0.5992063492063492,0.5599586601662745,1.0700903331478442,0.24603174603174602,1.0873600011782456,29.54145491336739,0.16666666666666666,TJS,False
20,0.4,3,3,123,0.42899850523168914,0.5691056910569106,0.5547699985930246,1.0258407853709526,0.21138211382113822,0.9622704697351544,36.43082598121923,0.16666666666666666,TJS,False
20,0.4,3,5,95,0.3313403089187843,0.5578947368421052,0.5559669099191094,1.0034675209775998,0.21052631578947367,0.9540641561783989,-13.28933777769649,0.19696969696969696,TJS,False
20,0.5,0,1,640,2.232187344294968,0.571875,0.5513958937950922,1.0371404764441683,0.23125,1.0678196164366527,21.156344255056357,0.09090909090909091,TJS,False
20,0.5,0,3,239,0.8335824613851521,0.5439330543933054,0.5540436542890157,0.9817512576537225,0.200836820083682,0.9198104250493918,4.087017640858928,0.10606060606060606,TJS,False
