indicator,corridor,windows,active_windows,events,lift_mean_median,lift_mean_pooled,benefit_excess_median_bps,benefit_excess_pooled_bps,freq_per_week_median,empty_month_share_median
holiday:k1:all,AMD,11,11,51,0.6103286384976526,0.6454152258146233,-40.909325605879474,-109.65886879970505,0.23076923076923078,0.3333333333333333
holiday:k1:all,KGS,11,11,58,0.882154882154882,0.788100086014331,-47.77712643124686,-72.07074554722712,0.15469613259668508,0.3333333333333333
holiday:k1:all,KZT,11,11,59,0.9485294117647058,0.8126058913561085,-45.563516406691036,-94.74855672306177,0.19337016574585636,0.3333333333333333
holiday:k1:all,TJS,11,11,49,0.9924242424242423,0.8700562265314663,-31.497839123721455,-93.46389408102083,0.19337016574585636,0.5
holiday:k1:all,UZS,11,11,52,0.7946127946127945,0.6828413953485499,-36.59283286139656,-90.21593023400959,0.19021739130434784,0.5
holiday:k1:fixed,AMD,11,11,51,0.6103286384976526,0.6454152258146233,-40.909325605879474,-109.65886879970505,0.23076923076923078,0.3333333333333333
holiday:k1:fixed,KGS,11,11,48,0.7484008528784648,0.7942321092826355,-51.59928426488432,-80.26007221553641,0.11602209944751381,0.5
holiday:k1:fixed,KZT,11,11,53,0.9315789473684211,0.8704111682272747,-23.29028228369475,-88.2932756866584,0.19021739130434784,0.5
holiday:k1:fixed,TJS,11,11,39,0.9924242424242423,0.9510457569500399,-9.690846923988659,-77.08680862320631,0.15384615384615385,0.5
holiday:k1:fixed,UZS,11,11,39,0.65,0.7226421755169067,-18.20201007271902,-64.71210704113174,0.11602209944751381,0.6666666666666666
holiday:k1:major,AMD,11,5,10,0.7197802197802198,0.6677099809249167,-82.42861344384426,-75.21286461538406,0.0,1.0
holiday:k1:major,KGS,11,11,27,0.7946127946127945,0.7582560792093621,-20.247481194455126,-89.83518659642584,0.07734806629834254,0.6666666666666666
holiday:k1:major,KZT,11,11,22,0.8227848101265823,0.8418524376152577,-47.63163243905662,-63.66374539486058,0.07692307692307693,0.6666666666666666
holiday:k1:major,TJS,11,11,27,0.8740740740740741,0.7100224944288315,-48.337195801238764,-159.60398435335932,0.07734806629834254,0.6666666666666666
holiday:k1:major,UZS,11,11,30,0.595959595959596,0.5541377307411706,-92.17172227843835,-150.62546227263223,0.1141304347826087,0.6666666666666666
