corridor,fast,slow,k_days,n_fast,n_fast_full_horizon,n_slow,n_sent_wait,confirmed_share,days_waited_median,price_of_waiting_bps,price_of_waiting_ci_lo,price_of_waiting_ci_hi,price_of_waiting_median_bps,price_of_waiting_all_bps,price_of_waiting_all_ci_lo,price_of_waiting_all_ci_hi,fast_hit_mean,slow_hit_mean,fast_lift_mean,slow_lift_mean,fast_freq_per_week,slow_freq_per_week,send_now_excess_bps,send_now_excess_ci_lo,send_now_excess_ci_hi,unconfirmed_excess_bps,confirmed_fast_excess_bps,wait_excess_per_fast_bps,wait_excess_per_sent_bps,wait_excess_ci_lo,wait_excess_ci_hi,slow_excess_bps,verdict,difference_within_ci
TJS,momentum,level,10,218,218,92,67,0.43577981651376146,3.0,-96.50196413602022,-161.4114714261566,-42.407993079604424,-44.95985393499935,18.86540779059514,-43.90309592298895,89.78586337589684,0.5504587155963303,0.5652173913043478,0.9889024094928547,1.100846472432643,0.7603388141504734,0.32087693074240164,-1.9247955101404133,-61.69677408129361,61.44519438000196,45.112595446946024,-62.82583853878917,7.595885523304445,45.36585983853107,-24.136541224812692,36.06720244080413,57.40823244204393,ждать подтверждения,True
UZS,momentum,level,10,216,216,121,83,0.49074074074074076,3.0,-114.91485813369574,-176.0299042525597,-59.71725819883478,-58.150265687640925,-4.624911278258282,-73.9945273553338,69.51451208754676,0.49537037037037035,0.49586776859504134,0.9690330891061494,1.054613773202622,0.7533632286995517,0.4220229197807674,-10.103535521386256,-71.16469005642602,50.1456735574026,38.00960903880997,-60.0322704423446,13.712331704999709,35.75211880992916,-16.727641041111983,43.59613009742604,38.35059226084079,ждать подтверждения,True
KGS,momentum,level,10,139,139,115,60,0.5827338129496403,3.0,-80.56891675139413,-140.04720372977488,-25.690975537838035,-54.44674966993412,-22.241181675068404,-77.20917385187502,31.568054158858438,0.460431654676259,0.4608695652173913,0.8870908050079526,0.9960050171628797,0.48480318883906337,0.4010961634280021,-7.7925461620332355,-62.59073765330472,46.52341770795594,43.84583598671158,-44.76817782409742,6.073969190344648,18.456574473313573,-29.72585960131538,43.67112857503235,17.7475767666542,ждать подтверждения,True
AMD,momentum,level,10,186,186,138,68,0.45161290322580644,2.5,-98.27925060400507,-165.731736414155,-30.155191228397726,-68.55964524637103,-6.243366961610662,-79.03949635494624,79.19648828449205,0.543010752688172,0.6014492753623188,0.9817382671657228,1.26964373068975,0.6487294469357251,0.48131539611360247,-24.087107733259487,-90.92737397954298,46.023850880758175,2.7051281785850936,-56.62053705478505,11.465201913781673,51.93274882266587,-17.028387565670858,41.31281066461702,78.05177799871983,ждать подтверждения,True
KZT,momentum,level,10,229,229,157,98,0.5152838427947598,3.0,-84.33961894118835,-124.27173372711327,-46.28592995650468,-35.95898572409939,19.344333012387704,-28.358571744607328,72.08703931894446,0.5283842794759825,0.46496815286624205,1.0391604794783253,1.0852097438717143,0.7987045341305432,0.5475834578973593,7.856278670594679,-36.80304024431737,54.479038742408974,57.97259599910857,-39.287036782498916,9.794995129083361,30.794984123970725,-18.049532175977532,39.23956125176931,29.703972490863674,ждать подтверждения,True
