corridor,fast,slow,k_days,n_fast,n_slow,confirmed_share,days_waited_median,price_of_waiting_bps,price_of_waiting_ci_lo,price_of_waiting_ci_hi,price_of_waiting_median_bps,price_of_waiting_all_bps,price_of_waiting_all_ci_lo,price_of_waiting_all_ci_hi,fast_hit_mean,slow_hit_mean,fast_lift_mean,slow_lift_mean,fast_freq_per_week,slow_freq_per_week,send_now_excess_bps,send_now_excess_ci_lo,send_now_excess_ci_hi,unconfirmed_excess_bps,confirmed_fast_excess_bps,wait_excess_per_fast_bps,wait_excess_per_sent_bps,wait_excess_ci_lo,wait_excess_ci_hi,slow_excess_bps,verdict
TJS,momentum,level,10,128,81,0.4375,3.0,-84.33197504121765,-129.81864261481377,-43.55483043760632,-61.30124418375349,5.521412508721147,-35.6407350396844,47.51081975313721,0.546875,0.5802469135802469,0.9664564348414109,1.1173068086004498,0.5456760048721072,0.34531059683313037,-16.994236226196143,-56.25527687791053,22.265296040263575,18.523746036122205,-62.660213420605444,4.166867707389878,9.524269045462578,-15.784941951477537,24.643841865473842,55.40871071974356,ждать подтверждения
UZS,momentum,level,10,158,108,0.5189873417721519,3.0,-53.99722678521744,-85.36593767110249,-23.636786293391605,-31.87615091299001,13.084160880711645,-26.136191973645744,53.63629830102779,0.5,0.49074074074074076,0.9538392562295879,1.0327658217418687,0.6735688185140074,0.46041412911084045,-6.258162083650819,-39.391859798815425,28.46448987186047,4.407659584503619,-16.143557776086634,12.92323322810903,24.90086402489301,-5.605681038320508,32.583697590760636,40.658538037370455,ждать подтверждения
KGS,momentum,level,10,94,84,0.5212765957446809,4.0,-67.2841846526399,-123.28391668416164,-16.808373566081645,-54.11656354627925,-9.805230715533503,-56.88541248373136,34.57189324207757,0.4787234042553192,0.4642857142857143,0.9141630259094252,1.049358181573799,0.40073081607795374,0.35809987819732036,-1.0581459955370813,-44.8578243613972,41.823637298130485,3.6233508683248514,-5.357479850104161,25.171226543553487,48.28765908355159,-0.17148900611454304,51.29905128501387,45.782958029750674,ждать подтверждения
AMD,momentum,level,10,160,115,0.44375,3.0,-70.40973082967476,-122.14082667940629,-19.502246686052587,-49.05676775773027,4.605648462492548,-33.323102410739544,45.98563727135059,0.51875,0.591304347826087,0.9154427328756914,1.2917676549682622,0.6820950060901341,0.49025578562728384,-20.920054083939412,-54.37174099980578,13.889247362120106,-15.076715088911785,-28.244802965030395,14.185245607912725,31.96675066571881,-5.6128302145452444,34.89329723785296,62.83609244823672,ждать подтверждения
KZT,momentum,level,10,91,142,0.5714285714285714,3.0,-27.561016746689297,-68.66927970710634,11.10016539052655,8.20730164049488,69.10100539074462,13.569514964073488,129.72869789819126,0.5714285714285714,0.47183098591549294,1.0558800540356965,1.0941038204999658,0.38794153471376375,0.605359317904994,20.86043858067369,-31.386338082390605,77.88736449472279,54.175589827663025,-4.1259248545683205,7.309502132874658,12.791628732530647,-27.71813009272209,43.87895542883055,34.06043204829409,слать сразу
