indicator,corridor,events,fallback_events,hit_mean_pooled,base_window,base_month,lift_window,lift_month,excess_window_bps,excess_month_bps,excess_diff_bps,excess_diff_ci_lo,excess_diff_ci_hi
dip_vs_trend,AMD,87,0,0.5287356321839081,0.44952696218798105,0.3919792941506542,1.176204491962829,1.3488866378250395,-5.183818364099824,77.99095175813247,83.17477012223226,33.53750864255934,136.5694891338693
dip_vs_trend,KGS,86,0,0.3953488372093023,0.42486643347372693,0.3370920786445114,0.9305249981197916,1.1728214996894868,-15.398010329829763,73.30313643278227,88.70114676261204,47.91440624855177,131.15347999241055
dip_vs_trend,KZT,132,0,0.3939393939393939,0.420438913535361,0.3247023565621444,0.9369717722530972,1.2132323217802035,-47.25441396627322,47.36019479048904,94.61460875676224,64.4139556994407,123.37268871893413
dip_vs_trend,TJS,104,0,0.47115384615384615,0.5113240853353713,0.41636550060967886,0.9214387893439872,1.131587140298467,-55.51854820962327,29.577591116981274,85.09613932660456,26.166905997252027,147.7287106804772
dip_vs_trend,UZS,87,0,0.45977011494252873,0.41591873303296006,0.3598135802697608,1.1054325723436305,1.277800895113042,-22.72936976934823,65.30684723405128,88.03621700339953,30.18904172914162,151.02686060593666
level,AMD,138,0,0.6014492753623188,0.4737149964388624,0.5101067264981303,1.26964373068975,1.1790655643599386,78.05177799871983,53.81685402363926,-24.23492397508056,-47.90650077911788,-0.8838008871284007
level,KGS,115,0,0.4608695652173913,0.46271811614983455,0.4581096666739886,0.9960050171628797,1.0060245367958296,17.7475767666542,23.69886757950563,5.951290812851417,-20.511862990420543,31.167439560940682
level,KZT,157,0,0.46496815286624205,0.42845924992100626,0.414075745651092,1.0852097438717143,1.1229060328929117,29.703972490863674,46.14504485719483,16.44107236633117,-7.427842237487152,42.412705043942516
level,TJS,92,0,0.5652173913043478,0.513438890397981,0.5050463591037546,1.100846472432643,1.1191396217712994,57.40823244204393,71.73614014154916,14.32790769950521,-28.409559075966715,61.613768981068915
level,UZS,121,0,0.49586776859504134,0.4701889745752171,0.4445925062434631,1.054613773202622,1.115330919058495,38.35059226084079,52.9950314540085,14.644439193167704,-15.92791146789573,45.956910291647915
ml_localmin,AMD,41,0,0.5609756097560976,0.3894485913273285,0.40105994794575145,1.4404355857191995,1.398732565117614,119.94351531661962,93.90051311658328,-26.04300220003631,-62.5220537483039,11.904901768957636
ml_localmin,KGS,63,0,0.5396825396825397,0.4222326555364015,0.3868690220080203,1.2781639046769857,1.395000656504752,59.600690695771405,87.43678053562185,27.83608983985042,-9.528254912612132,68.02345310638353
ml_localmin,KZT,56,0,0.5,0.46012572378407635,0.3967294673919773,1.086659524027471,1.2603046687882884,9.940140438710102,79.73973041935096,69.79958998064087,24.03249016164547,116.47479503243629
ml_localmin,TJS,53,0,0.5660377358490566,0.5157769345540868,0.43701915483383824,1.097446779659549,1.2952240870638114,7.296454860878053,62.49178622105979,55.195331360181726,-13.479287784920105,133.70159713733904
ml_localmin,UZS,59,0,0.423728813559322,0.4314369347103208,0.37859753429143655,0.982133840357979,1.1192064796522005,7.539439707369737,56.51845466428014,48.9790149569104,-1.634863435096932,106.81383992600955
momentum,AMD,186,0,0.543010752688172,0.5531115276333716,0.49680914857739333,0.9817382671657228,1.0929966854335842,-24.087107733259487,14.455678623387744,38.54278635664723,-20.47507672396284,91.02127938394122
momentum,KGS,139,0,0.460431654676259,0.5190355396279092,0.43901923324137065,0.8870908050079526,1.0487733106287758,-7.7925461620332355,35.27482452082328,43.06737068285651,-1.15788236505106,82.51282832304877
momentum,KZT,229,0,0.5283842794759825,0.5084722618986046,0.4713751579545725,1.0391604794783253,1.120942142493865,7.856278670594679,36.16948613028214,28.313207459687458,-3.1632027047932905,58.44798499260987
momentum,TJS,218,0,0.5504587155963303,0.5566360343672594,0.4995397114910928,0.9889024094928547,1.101931844323743,-1.9247955101404133,24.263101947963484,26.1878974581039,-26.651697507115706,74.59997914035841
momentum,UZS,216,0,0.49537037037037035,0.5112006761578259,0.4686575530551746,0.9690330891061494,1.0569985848751506,-10.103535521386256,23.51015407167293,33.613689593059185,-18.396380681304418,80.55678807482514
reversal,AMD,93,0,0.44086021505376344,0.3889009359781893,0.45728483519138274,1.1336054359058887,0.9640822986602097,37.88928963439627,0.7111972722062193,-37.17809236219005,-64.3267010644577,-9.933686717198809
reversal,KGS,115,0,0.3826086956521739,0.39762012327364066,0.4157476839259746,0.9622468111073545,0.920290624445905,-47.65391791689655,-21.255285354383446,26.398632562513104,-4.616340066437099,55.274263847944106
reversal,KZT,106,0,0.39622641509433965,0.37487966796993705,0.41406311475609,1.0569429311544163,0.9569227515658879,-25.039482075214863,-11.134229129629357,13.905252945585508,-19.16429266201378,47.45955102716973
reversal,TJS,99,0,0.494949494949495,0.47534364516123545,0.5038524015952766,1.0412456335281588,0.9823303280532284,-12.79854677090452,0.2788575675735066,13.077404338478006,-23.30328682978969,54.4467043975218
reversal,UZS,112,0,0.4642857142857143,0.3833041393016735,0.45929427991292204,1.2112723727209884,1.010867617105396,9.758810550670185,-6.45259772433763,-16.21140827500782,-53.52638010548808,22.944859247574637
seasonality,AMD,19,0,0.6842105263157895,0.573776250348533,0.6142616266065621,1.1924692350026245,1.1138747671666458,117.27718617973183,72.57618809822138,-44.70099808151044,-115.30670350770345,26.331500150719442
seasonality,KGS,29,0,0.4482758620689655,0.5033503160609094,0.4220994765775007,0.8905842467271254,1.062014730991164,10.36452587468373,58.646887920759035,48.282362046075306,-22.72438614620298,121.77771553118666
seasonality,KZT,32,0,0.53125,0.5223448503834385,0.5349665797252956,1.017048410853528,0.9930526880254762,25.206193642492593,26.24181116524234,1.0356175227497424,-55.355984237962794,60.7116417437154
seasonality,TJS,28,0,0.5357142857142857,0.5715400281520934,0.5584331558710441,0.9373171769724692,0.9593167599059881,44.69109509289509,33.835755728444276,-10.855339364450828,-79.05953461577775,55.95243150674176
seasonality,UZS,26,0,0.6153846153846154,0.5210702419148595,0.518083823118148,1.1810012660158138,1.1878089759314452,48.042307305198804,42.159584215535126,-5.8827230896636795,-65.87534127737507,54.396676377382896
