corridor,scenario,windows,pushes,hit_mean_pooled,base_mean_pooled,lift_mean_median,lift_min_median,benefit_excess_median_bps,benefit_fwd_median_bps,freq_per_week_median,lift_mean_pooled
AMD,BUY_NOW,9,70,0.5714285714285714,0.5026699626171864,1.2662337662337664,1.4333333333333331,70.14114648480484,73.60450665564919,0.3423913043478261,1.1367867864102887
AMD,WINDOW_CLOSING,8,36,0.4722222222222222,0.3930957839574938,1.0560117302052785,1.0560117302052785,53.91489840734572,81.3948006983288,0.11476098967091033,1.2012904780308824
KGS,BUY_NOW,9,90,0.5,0.472987612796407,0.9485294117647058,0.9629629629629628,37.40520448658785,38.07443959462243,0.3804347826086957,1.0571101366564122
KGS,WINDOW_CLOSING,2,13,0.38461538461538464,0.4268568771919185,0.9135522959183673,0.9135522959183673,15.74506927797278,24.503888275700533,0.2488589959164064,0.9010406184517399
KZT,BUY_NOW,9,96,0.5416666666666666,0.49254191467188163,1.1273666092943202,1.0350877192982455,50.996410610135854,70.1096979289928,0.4254143646408839,1.0997372011019826
KZT,WINDOW_CLOSING,2,5,0.6,0.39935619498094865,1.4604377104377106,1.4604377104377106,67.82263864244517,64.08723265924326,0.09605452798462644,1.5024181608817238
TJS,BUY_NOW,9,119,0.5042016806722689,0.5576308551258723,0.8272727272727273,0.8478260869565217,-6.212639699904999,10.572781553111172,0.580110497237569,0.9041854051610129
TJS,WINDOW_CLOSING,2,11,0.5454545454545454,0.41631131974056684,1.5918560606060603,1.5918560606060603,130.72718719501353,146.10115397925392,0.21239190487629112,1.310208297469444
UZS,BUY_NOW,9,94,0.4787234042553192,0.4865015146102095,1.131578947368421,1.0,19.74193680848725,30.73878603447305,0.3846153846153846,0.9840121559310617
UZS,WINDOW_CLOSING,2,6,0.6666666666666666,0.4020058686988131,1.5483201581027668,1.5483201581027668,73.59649550578465,72.28034556693699,0.11539154455921205,1.6583505828521625
