indicator,blocks,events_calibrated,events_fixed,lift_calibrated,lift_fixed,diff_fixed_minus_calibrated,diff_ci_lo,diff_ci_hi,better,blocks_by_window,diff_ci_lo_by_window,diff_ci_hi_by_window,better_by_window
dip_vs_trend,53,496,260,1.0022315287028014,0.8300568909334051,-0.17217463776939634,-0.29360385636812636,-0.052351554153779845,калибровка,11,-0.3406860338427144,-0.012991925077604514,калибровка
level,45,623,352,1.1069629735349202,1.2452576231648682,0.13829464962994797,0.042422753360630276,0.23493054828119425,априорные,10,0.05001598429416472,0.2500302786001629,априорные
ml_localmin,45,272,272,1.1558207648258547,1.1558207648258547,0.0,0.0,0.0,разницы нет,10,0.0,0.0,разницы нет
momentum,55,988,314,0.9804468066353104,0.9960917468017693,0.0156449401664589,-0.0640599011244584,0.09812542021755317,разницы нет,11,-0.116534642200804,0.14177260952152543,разницы нет
reversal,48,525,183,1.0774007002126214,1.2627176857337163,0.185316985521095,0.033180387594570905,0.34439931878599345,априорные,10,-0.054910016793455176,0.47198012051524435,разницы нет
seasonality,55,134,39,1.0311448924491056,1.3208026562982516,0.289657763849146,0.06908843722495359,0.5019890283398453,априорные,11,0.054110155374214174,0.5324415398191965,априорные
all,55,3038,1420,1.0408607511577708,1.0919725115035244,0.0511117603457536,0.0022772703827426857,0.10360941760625032,априорные,11,-0.02790581006386191,0.14313349080590634,разницы нет
