indicator,rule,mode,corridor,split,window,scenario,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share
calendar:day20-25:first,day20-25,first,TJS,0,2021-01…2021-06,BUY_NOW,20,25.0,6,6,0.3333333333333333,0.15254237288135594,2.185185185185185,,,0.6666666666666666,0.5338983050847458,1.2486772486772486,32.29494303395382,-2.594269522656172,34.88921255660999,,,,,,,40.32882844234383,28.77914036528132,0.23204419889502761,0.0,0.07887415926831029,32.0,0.0
calendar:day20-25:first,day20-25,first,TJS,1,2021-07…2021-12,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.17829457364341086,0.9347826086956521,,,0.5,0.5581395348837209,0.8958333333333334,-18.96860157017566,33.342203091136966,-52.31080466131263,,,,,,,-46.7268443330789,-50.21559756130111,0.2282608695652174,0.0,0.047654387977502655,33.0,0.0
calendar:day20-25:first,day20-25,first,TJS,2,2022-01…2022-06,BUY_NOW,20,25.0,6,6,0.3333333333333333,0.1452991452991453,2.2941176470588234,,,0.6666666666666666,0.4700854700854701,1.4181818181818182,181.95199980597988,-53.00503542290707,234.95703522888695,,,,,,,283.0778316554887,452.5110207179698,0.23204419889502761,0.0,0.08944271909999159,32.0,0.0
calendar:day20-25:first,day20-25,first,TJS,3,2022-07…2022-12,BUY_NOW,20,25.0,6,6,0.3333333333333333,0.2846153846153846,1.1711711711711712,,,0.8333333333333334,0.6230769230769231,1.337448559670782,233.42794319442586,163.51128752215095,69.91665567227491,,,,,,,44.1973650174345,166.68996072777682,0.2282608695652174,0.0,0.037037037037037035,33.0,0.0
calendar:day20-25:first,day20-25,first,TJS,4,2023-01…2023-06,BUY_NOW,20,25.0,6,6,0.3333333333333333,0.4915254237288136,0.6781609195402298,,,0.6666666666666666,0.7627118644067796,0.8740740740740741,165.95758385993327,194.18642689935936,-28.228843039426096,,,,,,,19.070072398229925,-5.034194383711774,0.23204419889502761,0.0,0.1,32.0,0.0
calendar:day20-25:first,day20-25,first,TJS,5,2023-07…2023-12,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.24031007751937986,0.6935483870967741,,,0.6666666666666666,0.5426356589147286,1.2285714285714286,57.63745593159788,-14.369798255992611,72.00725418759049,,,,,,,61.23199456271821,-13.23141741404244,0.2282608695652174,0.0,0.037037037037037035,32.0,0.0
calendar:day20-25:first,day20-25,first,TJS,6,2024-01…2024-06,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.19658119658119658,0.8478260869565217,,,0.5,0.5555555555555556,0.8999999999999999,35.92210729507735,16.838282384351277,19.083824910726076,,,,,,,39.47971813121343,-48.59791555611855,0.23076923076923078,0.0,0.12286805590089957,33.0,0.0
calendar:day20-25:first,day20-25,first,TJS,7,2024-07…2024-12,BUY_NOW,20,25.0,6,6,0.3333333333333333,0.29770992366412213,1.1196581196581197,,,0.8333333333333334,0.6717557251908397,1.240530303030303,75.29880366751229,95.96472466495561,-20.665920997443322,,,,,,,-16.04857598328199,112.32715160224727,0.2282608695652174,0.0,0.03432713198875175,31.0,0.0
calendar:day20-25:first,day20-25,first,TJS,8,2025-01…2025-06,BUY_NOW,20,25.0,6,6,0.16666666666666666,0.19658119658119658,0.8478260869565217,,,0.6666666666666666,0.4700854700854701,1.4181818181818182,-22.382827369421367,-112.63640534071882,90.25357797129746,,,,,,,94.59219758190234,-41.08340267134562,0.23204419889502761,0.0,0.0999575741843398,32.0,0.0
calendar:day20-25:first,day20-25,first,TJS,9,2025-07…2025-12,BUY_NOW,20,25.0,6,6,0.0,0.2,0.0,,,0.3333333333333333,0.5692307692307692,0.5855855855855856,-71.39132639642776,24.64574363935889,-96.03707003578666,,,,,,,-96.32683483920157,-176.97050653024607,0.2282608695652174,0.0,0.044944765922627125,33.0,0.0
calendar:day20-25:first,day20-25,first,TJS,10,2026-01…2026-06,BUY_NOW,20,25.0,6,6,0.3333333333333333,0.20512820512820512,1.625,,,0.5,0.5042735042735043,0.9915254237288136,15.450035541485875,12.647688147121416,2.8023473943644586,,,,,,,27.315199839306192,9.503123606519807,0.23204419889502761,0.0,0.08271466602925602,33.0,0.0
calendar:day20-25:all,day20-25,all,TJS,0,2021-01…2021-06,BUY_NOW,20,25.0,24,24,0.25,0.15254237288135594,1.6388888888888888,,,0.6666666666666666,0.5338983050847458,1.2486772486772486,18.36331156126229,-2.594269522656172,20.957581083918463,,,,,,,19.919506293734617,22.70141711021324,0.9281767955801105,0.782608695652174,1.4954439206706251,27.0,0.0
calendar:day20-25:all,day20-25,all,TJS,1,2021-07…2021-12,BUY_NOW,20,25.0,26,26,0.07692307692307693,0.17829457364341086,0.431438127090301,,,0.38461538461538464,0.5581395348837209,0.6891025641025641,18.08404555647373,33.342203091136966,-15.258157534663237,,,,,,,-11.811285418802978,-19.010558375546985,0.9891304347826088,0.8,1.5526890466890464,28.0,0.0
calendar:day20-25:all,day20-25,all,TJS,2,2022-01…2022-06,BUY_NOW,20,25.0,26,26,0.2692307692307692,0.1452991452991453,1.852941176470588,,,0.5769230769230769,0.4700854700854701,1.227272727272727,69.75873484225052,-53.00503542290707,122.76377026515759,,,,,,,243.6164157810336,232.35129282020748,1.005524861878453,0.8,1.5289368623308428,27.0,0.0
calendar:day20-25:all,day20-25,all,TJS,3,2022-07…2022-12,BUY_NOW,20,25.0,25,25,0.36,0.2846153846153846,1.2648648648648648,,,0.8,0.6230769230769231,1.2839506172839508,199.62734004082415,163.51128752215095,36.1160525186732,,,,,,,14.903958384488725,120.90798743334946,0.9510869565217391,0.7916666666666666,1.5311870306765603,28.0,0.0
calendar:day20-25:all,day20-25,all,TJS,4,2023-01…2023-06,BUY_NOW,20,25.0,24,24,0.4583333333333333,0.4915254237288136,0.932471264367816,,,0.75,0.7627118644067796,0.9833333333333334,229.4131422633102,194.18642689935936,35.22671536395083,,,,,,,67.62566205007934,56.03800344829236,0.9281767955801105,0.782608695652174,1.4810201485983387,27.0,0.0
calendar:day20-25:all,day20-25,all,TJS,5,2023-07…2023-12,BUY_NOW,20,25.0,26,26,0.46153846153846156,0.24031007751937986,1.9205955334987592,,,0.6923076923076923,0.5426356589147286,1.275824175824176,90.86194940210756,-14.369798255992611,105.23174765810016,,,,,,,98.24372789294353,36.51900426158478,0.9891304347826088,0.8,1.5513816949873813,27.0,0.0
calendar:day20-25:all,day20-25,all,TJS,6,2024-01…2024-06,BUY_NOW,20,25.0,24,24,0.20833333333333334,0.19658119658119658,1.0597826086956523,,,0.4583333333333333,0.5555555555555556,0.825,10.13004053289366,16.838282384351277,-6.708241851457618,,,,,,,18.82208282144776,-31.85989314499029,0.9230769230769231,0.782608695652174,1.4969149734937595,28.0,0.0
calendar:day20-25:all,day20-25,all,TJS,7,2024-07…2024-12,BUY_NOW,20,25.0,25,25,0.32,0.29770992366412213,1.074871794871795,,,0.72,0.6717557251908397,1.0718181818181818,90.53755594280516,95.96472466495561,-5.427168722150455,,,,,,,-1.5881767329834622,118.4316253086654,0.9510869565217391,0.7916666666666666,1.533636468113135,28.0,0.0
calendar:day20-25:all,day20-25,all,TJS,8,2025-01…2025-06,BUY_NOW,20,25.0,26,26,0.3076923076923077,0.19658119658119658,1.565217391304348,,,0.6153846153846154,0.4700854700854701,1.309090909090909,-18.056379423970633,-112.63640534071882,94.58002591674818,,,,,,,98.35581199140961,37.4895539957602,1.005524861878453,0.8,1.5462491508338019,28.0,0.0
calendar:day20-25:all,day20-25,all,TJS,9,2025-07…2025-12,BUY_NOW,20,25.0,26,26,0.15384615384615385,0.2,0.7692307692307693,,,0.4230769230769231,0.5692307692307692,0.7432432432432433,-9.382374695149567,24.64574363935889,-34.028118334508456,,,,,,,-36.805662911049396,-71.00197203401603,0.9891304347826088,0.8,1.556903241721088,28.0,0.0
calendar:day20-25:all,day20-25,all,TJS,10,2026-01…2026-06,BUY_NOW,20,25.0,24,24,0.3333333333333333,0.20512820512820512,1.625,,,0.5833333333333334,0.5042735042735043,1.1567796610169492,26.451851084769626,12.647688147121416,13.80416293764821,,,,,,,49.78182702147429,44.677436772892115,0.9281767955801105,0.782608695652174,1.4981282175337478,28.0,0.0
calendar:day20-28:all,day20-28,all,TJS,0,2021-01…2021-06,BUY_NOW,20,25.0,36,36,0.19444444444444445,0.15254237288135594,1.2746913580246912,,,0.5277777777777778,0.5338983050847458,0.9885361552028219,-8.862821274438677,-2.594269522656172,-6.268551751782505,,,,,,,5.8198013418117,22.123086085428447,1.3922651933701657,0.8571428571428571,1.6621853333201226,25.0,0.0
calendar:day20-28:all,day20-28,all,TJS,1,2021-07…2021-12,BUY_NOW,20,25.0,39,39,0.1794871794871795,0.17829457364341086,1.0066889632107023,,,0.41025641025641024,0.5581395348837209,0.735042735042735,38.98304739295877,33.342203091136966,5.640844301821801,,,,,,,8.981712715619445,-7.242996518403734,1.483695652173913,0.868421052631579,1.706863783908622,25.0,0.0
calendar:day20-28:all,day20-28,all,TJS,2,2022-01…2022-06,BUY_NOW,20,25.0,38,38,0.18421052631578946,0.1452991452991453,1.267801857585139,,,0.5,0.4700854700854701,1.0636363636363637,-56.38131687849974,-53.00503542290707,-3.376281455592668,,,,,,,123.86712733627918,92.76502856758617,1.4696132596685083,0.8648648648648649,1.6615026204120686,24.0,0.0
calendar:day20-28:all,day20-28,all,TJS,3,2022-07…2022-12,BUY_NOW,20,25.0,39,39,0.28205128205128205,0.2846153846153846,0.990990990990991,,,0.7435897435897436,0.6230769230769231,1.1934156378600824,173.016103208807,163.51128752215095,9.504815686656059,,,,,,,-7.669699862871838,96.07077926479666,1.483695652173913,0.868421052631579,1.7150861400630166,25.0,0.0
calendar:day20-28:all,day20-28,all,TJS,4,2023-01…2023-06,BUY_NOW,20,25.0,37,37,0.5405405405405406,0.4915254237288136,1.0997204100652376,,,0.7567567567567568,0.7627118644067796,0.9921921921921923,236.0257689889024,194.18642689935936,41.83934208954304,,,,,,,73.74811448846624,67.72631465079668,1.430939226519337,0.8611111111111112,1.6579098302802773,25.0,0.0
calendar:day20-28:all,day20-28,all,TJS,5,2023-07…2023-12,BUY_NOW,20,25.0,40,40,0.425,0.24031007751937986,1.768548387096774,,,0.675,0.5426356589147286,1.2439285714285715,86.8828993484287,-14.369798255992611,101.2526976044213,,,,,,,92.50832864361074,69.77301989069004,1.5217391304347827,0.8717948717948718,1.7173279078617922,24.0,0.0
