,2021-I,2021-II,2022-I,2022-II,2023-I,2023-II,2024-I,2024-II,2025-I,2025-II,2026-I
rank250,0.10872148429945364,0.09395753333901025,0.1455571890479464,0.14401131124764957,0.1522423935995701,0.13261488254573534,0.08833347748091418,0.07324908263608415,0.08106069776366664,0.08371872662944209,0.08712837875550591
usd_rank120,-0.07205669300904533,-0.05422287348422691,-0.089089223052292,-0.10512413819964311,-0.12537150619349732,-0.08964928447045928,-0.07918761846948268,-0.07968584285464349,-0.08115684692734232,-0.09720886946210515,-0.08582594611512973
rank60,-0.07553491501296446,-0.09741880133820478,-0.051320264033315605,-0.06806058109517939,-0.06956777742980239,-0.06814576310565376,-0.07796361093495816,-0.04902480580275906,-0.03148587516983227,-0.01803298007068097,0.040885943626283214
sin2,-0.05355147952600193,-0.018494048850614665,0.013632183773858633,0.04191409941412265,0.03675026839046936,0.054422219332399824,0.05099414201278014,0.06560046707485505,0.07066995327992434,0.09302365041018218,0.0751806200666907
local_rank120,0.07139386116325178,0.07291970355962085,0.034016003303507805,0.035659545677391276,0.029546583591505124,0.03728167029361481,0.04861655728925043,0.05082566041540771,0.046382105285186874,0.04578834293233325,0.05529124495296025
dip_ma60,-0.01134002676335958,-0.02056676202156778,-0.028816371396256674,-0.033216965224891856,-0.039193487191533184,-0.03489098239647278,-0.04867824463100742,-0.05934735351683558,-0.07601848592276368,-0.07020411889638783,-0.07859542440199016
usd_vol20,-0.06138080852988256,-0.06790671970228841,-0.05614932036165366,-0.050370780643202495,-0.0497234569286226,-0.04651257292924986,-0.03870879144672312,-0.03493105993766699,-0.03257237378106071,-0.030991217402506276,-0.030786575800540037
vol_ratio,0.04017355870851055,0.07849058306624224,0.05377433207611232,0.03498904825133741,0.03542226396966393,0.04612069037520848,0.03202406125396035,0.022413667803440854,0.020532570422171173,0.020088254208620593,-0.014880985479794122
