h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share,split,corr,theta
20,25.0,6,6,0.16666666666666666,0.15254237288135594,1.0925925925925926,,,0.6666666666666666,0.5338983050847458,1.2486772486772486,31.62200423757514,-2.594269522656172,34.21627376023131,,,,,,,34.803848230168065,65.5681651726007,0.23204419889502761,0.0,0.07065835796489936,32.0,0.0,0,TJS,0.5
20,25.0,6,6,0.16666666666666666,0.13559322033898305,1.2291666666666665,,,0.5,0.5169491525423728,0.9672131147540984,28.559547638801195,-12.978020395404887,41.53756803420608,,,,,,,39.37477257561218,66.14456649884119,0.23204419889502761,0.0,0.07065835796489936,32.0,0.0,0,UZS,0.5
20,25.0,6,6,0.16666666666666666,0.1440677966101695,1.156862745098039,,,0.6666666666666666,0.5,1.3333333333333333,22.6030156418137,-8.151508733265231,30.75452437507893,,,,,,,36.68609644221905,48.02272907997173,0.23204419889502761,0.0,0.07065835796489936,32.0,0.0,0,KGS,0.5
20,25.0,6,6,0.16666666666666666,0.1864406779661017,0.8939393939393939,,,0.5,0.5508474576271186,0.9076923076923077,73.63736348284522,43.40759409925216,30.22976938359306,,,,,,,30.524561565627437,96.5770648302361,0.23204419889502761,0.0,0.07065835796489936,32.0,0.0,0,AMD,0.5
20,25.0,6,6,0.16666666666666666,0.15254237288135594,1.0925925925925926,,,0.5,0.4152542372881356,1.2040816326530612,-6.145807931161968,-18.204220636461798,12.05841270529983,,,,,,,9.572713080636303,10.871750158030025,0.23204419889502761,0.0,0.07065835796489936,32.0,0.0,0,KZT,0.5
20,25.0,6,6,0.16666666666666666,0.17829457364341086,0.9347826086956521,,,0.3333333333333333,0.5581395348837209,0.5972222222222222,58.80783409554372,33.342203091136966,25.465631004406752,,,,,,,22.783712631681922,32.512759226440515,0.2282608695652174,0.0,0.04721314364437764,33.0,0.0,1,TJS,0.5
20,25.0,6,6,0.16666666666666666,0.14728682170542637,1.1315789473684208,,,0.3333333333333333,0.5116279069767442,0.6515151515151515,20.186266943043602,10.345720517709584,9.840546425334018,,,,,,,7.771717822566511,1.171591154393757,0.2282608695652174,0.0,0.04721314364437764,33.0,0.0,1,UZS,0.5
20,25.0,6,6,0.16666666666666666,0.16279069767441862,1.0238095238095237,,,0.3333333333333333,0.5348837209302325,0.6231884057971014,36.733516844635325,25.66914672872073,11.064370115914596,,,,,,,8.78404688279044,4.993901546479502,0.2282608695652174,0.0,0.04721314364437764,33.0,0.0,1,KGS,0.5
20,25.0,6,6,0.16666666666666666,0.13953488372093023,1.1944444444444444,,,0.5,0.6589147286821705,0.7588235294117648,67.58380995276276,51.49644441112181,16.087365541640956,,,,,,,12.330175656059538,24.332075435021807,0.2282608695652174,0.0,0.04721314364437764,33.0,0.0,1,AMD,0.5
20,25.0,6,6,0.16666666666666666,0.2248062015503876,0.7413793103448275,,,0.3333333333333333,0.5271317829457365,0.6323529411764705,0.21862806610836097,10.733408670057983,-10.514780603949623,,,,,,,-12.036671838184438,-33.03005813170945,0.2282608695652174,0.0,0.04721314364437764,33.0,0.0,1,KZT,0.5
20,25.0,6,6,0.3333333333333333,0.1452991452991453,2.2941176470588234,,,0.5,0.4700854700854701,1.0636363636363637,177.11613533400023,-53.00503542290707,230.1211707569073,,,,,,,335.32665151823875,277.93339232631337,0.23204419889502761,0.0,0.07964743533956825,33.0,0.0,2,TJS,0.5
