name,lift_med,lift_min_corr,lift_pooled,share_win_gt1,benefit_excess,benefit_excess_pooled,fpw,n_events,clump_share,empty_month_share,longest_gap_corr_max,share_weeks_any,share_2weeks_any,longest_gap_any_days,n_any,sec,per_corr_lift,spec
C_hgb_gate0.3_fpw2.0,1.3282828282828283,1.0895408163265308,1.2316502325628547,0.6545454545454545,106.94042145671915,68.77844434729947,0.30770553611653784,441,0.5740241772782448,0.6212121212121213,485.0,0.3888888888888889,0.4791666666666667,392.0,245,21.7,"{""AMD"": 1.424, ""KGS"": 1.328, ""KZT"": 1.09, ""TJS"": 1.268, ""UZS"": 1.581}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_fpw2.0"", ""thr"": [""fpw"", 2.0], ""gate_rank120"": 0.3}"
C_hgb_gate0.3_fpw3.0,1.3568033273915625,1.1103008444757214,1.2285820170247364,0.6363636363636364,84.99915460581278,67.73317224178523,0.37552615532437783,538,0.6508653400657078,0.5727272727272726,485.0,0.4236111111111111,0.5,389.0,278,21.9,"{""AMD"": 1.431, ""KGS"": 1.357, ""KZT"": 1.11, ""TJS"": 1.244, ""UZS"": 1.486}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_fpw3.0"", ""thr"": [""fpw"", 3.0], ""gate_rank120"": 0.3}"
C_hgb_gate0.3_fpw4.0,1.3568033273915625,1.1103008444757214,1.2285820170247364,0.6363636363636364,84.99915460581278,67.73317224178523,0.37552615532437783,538,0.6508653400657078,0.5727272727272726,485.0,0.4236111111111111,0.5,389.0,278,21.8,"{""AMD"": 1.431, ""KGS"": 1.357, ""KZT"": 1.11, ""TJS"": 1.244, ""UZS"": 1.486}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_fpw4.0"", ""thr"": [""fpw"", 4.0], ""gate_rank120"": 0.3}"
C_hgb_gate0.3_lift1.3,1.4127931769722815,0.9689440993788819,1.2520033985869645,0.5636363636363636,84.72323656235211,84.25975743089398,0.28264619718499134,405,0.6824030089077969,0.6727272727272727,503.0,0.2881944444444444,0.375,392.0,196,20.7,"{""AMD"": 1.424, ""KGS"": 1.413, ""KZT"": 0.969, ""TJS"": 1.19, ""UZS"": 1.601}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_lift1.3"", ""thr"": [""lift"", 1.3], ""gate_rank120"": 0.3}"
C_hgb_gate0.3_utility1.0,1.2495918994773536,1.1806122448979592,1.2531648810561529,0.7090909090909091,68.75167765678842,72.40299961745612,0.5501317383073329,788,0.7472865756912745,0.5242424242424244,485.0,0.4652777777777778,0.5347222222222222,336.0,362,21.4,"{""AMD"": 1.383, ""KGS"": 1.328, ""KZT"": 1.236, ""TJS"": 1.181, ""UZS"": 1.25}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_utility1.0"", ""thr"": [""utility"", 1.0], ""gate_rank120"": 0.3}"
C_hgb_thrm6_fpw3,1.0405643738977073,1.0016218721038,1.0466523032347943,0.6363636363636364,18.76404775874957,32.20066768875258,1.1805121373941936,1693,0.7980788462691477,0.18787878787878792,176.0,0.8298611111111112,0.9027777777777778,122.0,645,110.7,"{""AMD"": 1.004, ""KGS"": 1.055, ""KZT"": 1.002, ""TJS"": 1.041, ""UZS"": 1.105}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_thrm6_fpw3"", ""thr"": [""fpw"", 3.0], ""thr_months"": 6}"
C_hgb_gate0.3_thrm6_fpw3,"           ^^^^^^^^^^^^^^
  File ""/private/tmp/claude-501/-Users-olegandreev-ai-talent-hack/52b7563a-5627-41b7-95cf-2e604ad3ab28/scratchpad/fx-moment/.venv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py"", line 4805, in _quantile
    slices_having_nans = np.isnan(arr[-1, ...])
                                  ~~~^^^^^^^^^
IndexError: index -1 is out of bounds for axis 0 with size 0
","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_thrm6_fpw3"", ""thr"": [""fpw"", 3.0], ""thr_months"": 6, ""gate_rank120"": 0.3}"
C_hgb_thrm24_fpw3,1.0291666666666668,0.9858442871587463,1.0312512850292403,0.5636363636363636,12.862507127932219,20.97790197174935,1.0151344931791726,1457,0.7111792637570955,0.19696969696969696,234.0,0.8125,0.8958333333333334,62.0,615,272.6,"{""AMD"": 1.032, ""KGS"": 1.025, ""KZT"": 0.986, ""TJS"": 1.056, ""UZS"": 1.029}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_thrm24_fpw3"", ""thr"": [""fpw"", 3.0], ""thr_months"": 24}"
C_hgb_gate0.3_thrm24_fpw3,1.2,1.0524475524475523,1.1527784460276669,0.6181818181818182,83.61470192728387,60.90366939117095,0.3963709602912102,568,0.6750075158768194,0.5606060606060607,505.0,0.4409722222222222,0.5138888888888888,392.0,286,277.9,"{""AMD"": 1.506, ""KGS"": 1.273, ""KZT"": 1.111, ""TJS"": 1.2, ""UZS"": 1.052}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_thrm24_fpw3"", ""thr"": [""fpw"", 3.0], ""thr_months"": 24, ""gate_rank120"": 0.3}"
C_hgb_rankonly_fpw3,1.0317460317460319,0.9585144927536232,1.0096876000526818,0.5454545454545454,18.33954886098504,11.206811994821393,1.0336555049562497,1484,0.7768160432142446,0.25454545454545446,225.0,0.7638888888888888,0.8402777777777778,77.0,536,261.2,"{""AMD"": 0.996, ""KGS"": 1.032, ""KZT"": 1.057, ""TJS"": 1.078, ""UZS"": 0.959}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_rankonly_fpw3"", ""thr"": [""fpw"", 3.0], ""rank_only"": true}"
C_hgb_rankonly_gate0.3_fpw3,1.2124306453350568,1.1537393068171797,1.1942406519807611,0.7090909090909091,46.71292492874488,40.60793365562548,0.49752804845886756,712,0.6911997897711301,0.5515151515151515,485.0,0.4548611111111111,0.5208333333333334,411.0,299,197.6,"{""AMD"": 1.379, ""KGS"": 1.154, ""KZT"": 1.212, ""TJS"": 1.239, ""UZS"": 1.161}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_rankonly_gate0.3_fpw3"", ""thr"": [""fpw"", 3.0], ""rank_only"": true, ""gate_rank120"": 0.3}"
C_hgb_decay1_gate0.3_fpw3,1.392857142857143,1.29,1.2765280234049692,0.6909090909090909,93.83326785392183,55.17450223635516,0.42356662674342227,606,0.6577628929590622,0.5606060606060607,505.0,0.4201388888888889,0.5138888888888888,336.0,275,120.9,"{""AMD"": 1.518, ""KGS"": 1.295, ""KZT"": 1.393, ""TJS"": 1.29, ""UZS"": 1.545}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_decay1_gate0.3_fpw3"", ""thr"": [""fpw"", 3.0], ""decay"": 1, ""gate_rank120"": 0.3}"
C_hgb_gate0.3_fpw3_C1,1.3568033273915625,1.0895408163265308,1.2350169626406018,0.6363636363636364,84.72816129862652,70.32511543129621,0.3762369206580113,539,0.6632181697370382,0.5757575757575757,485.0,0.4305555555555556,0.5,389.0,277,115.3,"{""AMD"": 1.48, ""KGS"": 1.357, ""KZT"": 1.09, ""TJS"": 1.236, ""UZS"": 1.474}","{""bases"": [""hgb""], ""lr_inputs"": ""all"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""name"": ""C_hgb_gate0.3_fpw3_C1"", ""thr"": [""fpw"", 3.0], ""gate_rank120"": 0.3, ""C"": 1.0}"
