h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share,split,corr,theta
20,25.0,7,7,0.42857142857142855,0.15254237288135594,2.8095238095238093,,,0.5714285714285714,0.5338983050847458,1.0702947845804989,82.98153159635591,-2.594269522656172,85.57580111901208,,,,,,,94.09661877452417,72.4581727260847,0.27071823204419887,0.5,1.4063993684844536,70.0,0.5,0,TJS,0.5978021018018905
20,25.0,1,1,0.0,0.13559322033898305,0.0,,,0.0,0.5169491525423728,0.0,-105.68658222794069,-12.978020395404887,-92.7085618325358,,,,,,,-38.38630162814272,106.5281043431976,0.03867403314917127,0.0,,93.0,0.8333333333333334,0,UZS,0.5978021018018905
20,25.0,18,18,0.3333333333333333,0.1440677966101695,2.313725490196078,,,0.5,0.5,1.0,10.34164841823732,-8.151508733265231,18.49315715150255,,,,,,,67.15488346968976,23.05903959134504,0.6961325966850829,0.8823529411764706,2.0608785003406047,85.0,0.3333333333333333,0,KGS,0.5978021018018905
20,25.0,15,15,0.4,0.1864406779661017,2.1454545454545455,,,0.6,0.5508474576271186,1.0892307692307692,160.28459839726625,43.40759409925216,116.8770042980141,,,,,,,95.98178447906979,75.95351902328443,0.580110497237569,0.8571428571428571,0.8467773679093799,93.0,0.5,0,AMD,0.5978021018018905
20,25.0,30,30,0.2,0.15254237288135594,1.3111111111111111,,,0.5333333333333333,0.4152542372881356,1.2843537414965986,16.278641630325662,-18.204220636461798,34.482862266787464,,,,,,,44.20346656701405,17.248973942359285,1.160220994475138,0.7586206896551724,0.8847372063983933,27.0,0.0,0,KZT,0.5978021018018905
20,25.0,39,39,0.15384615384615385,0.17829457364341086,0.862876254180602,,,0.5897435897435898,0.5581395348837209,1.0566239316239316,35.73389098801811,33.342203091136966,2.3916878968811446,,,,,,,11.271310963677479,0.7296342296649087,1.483695652173913,0.8947368421052632,0.7222423203905142,20.0,0.0,1,TJS,0.6058718779064752
20,25.0,3,3,0.3333333333333333,0.14728682170542637,2.2631578947368416,,,0.6666666666666666,0.5116279069767442,1.303030303030303,68.91900920854492,10.345720517709584,58.57328869083534,,,,,,,121.5731148580479,-2.1060550873286368,0.1141304347826087,0.0,0.2727272727272727,103.0,0.8333333333333334,1,UZS,0.6058718779064752
20,25.0,13,13,0.23076923076923078,0.16279069767441862,1.4175824175824177,,,0.5384615384615384,0.5348837209302325,1.0066889632107023,31.128800737766444,25.66914672872073,5.459654009045714,,,,,,,44.0237076772424,-29.519852362546935,0.4945652173913044,0.5833333333333334,1.4502169671123974,66.0,0.16666666666666666,1,KGS,0.6058718779064752
20,25.0,42,42,0.09523809523809523,0.13953488372093023,0.6825396825396826,,,0.6904761904761905,0.6589147286821705,1.0478991596638656,26.39565382569952,51.49644441112181,-25.10079058542229,,,,,,,-24.24108983899503,16.043339989720163,1.5978260869565217,0.8048780487804879,0.8813247973576483,24.0,0.0,1,AMD,0.6058718779064752
20,25.0,22,22,0.13636363636363635,0.2248062015503876,0.6065830721003134,,,0.45454545454545453,0.5271317829457365,0.8622994652406416,-44.05183330354385,10.733408670057983,-54.785241973601835,,,,,,,13.17215870606938,-33.7973333401458,0.8369565217391305,0.5238095238095238,1.2604136857713735,62.0,0.3333333333333333,1,KZT,0.6058718779064752
