name,error,spec
ref_calendar25,ValueError('Can only compare identically-labeled Series objects'),"{""name"": ""ref_calendar25"", ""model"": ""calendar"", ""policy"": {""cooldown"": 1, ""cap"": 5, ""span"": 7}}"
ref_level_only,1.130900743097198,1.0085227272727273,1.0759006870516197,1.0810234541577826,0.5636363636363636,28.621068795699657,0.6511179488299356,931,0.7738700835452043,0.4848484848484848,88.0,0.5,"{""name"": ""ref_level_only"", ""model"": ""level_only""}","{""AMD"": 1.318, ""KGS"": 1.131, ""KZT"": 1.151, ""TJS"": 1.009, ""UZS"": 1.041}"
lr_hit_mean20,0.9060881928528988,0.7477305937162677,0.9143146763596549,0.9413793103448277,0.34545454545454546,4.197174513303146,0.4928314539172094,707,0.7012525779939208,0.603030303030303,121.0,0.6,"{""name"": ""lr_hit_mean20"", ""model"": ""logreg"", ""target"": ""hit_mean20""}","{""AMD"": 1.051, ""KGS"": 0.905, ""KZT"": 0.748, ""TJS"": 0.906, ""UZS"": 1.17}"
lr_hit_mean10,1.0421052631578946,0.7988092930523634,0.9697216181654477,1.0025913844879364,0.4727272727272727,24.36705352460201,0.5305027305147411,761,0.6736080703697201,0.5303030303030304,116.0,0.6,"{""name"": ""lr_hit_mean10"", ""model"": ""logreg"", ""target"": ""hit_mean10""}","{""AMD"": 1.089, ""KGS"": 0.957, ""KZT"": 0.799, ""TJS"": 1.042, ""UZS"": 1.114}"
lr_hit_min20,0.8370406034344406,0.7087912087912088,0.8563797698475419,0.9000000000000001,0.34545454545454546,-15.154654741810305,0.5451392050178984,782,0.6217448090628459,0.5272727272727273,96.0,0.6,"{""name"": ""lr_hit_min20"", ""model"": ""logreg"", ""target"": ""hit_min20""}","{""AMD"": 0.907, ""KGS"": 0.836, ""KZT"": 0.837, ""TJS"": 0.709, ""UZS"": 1.098}"
lr_localmin20,1.102197802197802,0.9492172890100792,1.0204322685983145,1.0609253321117729,0.5818181818181818,24.851772341038412,0.6189351244479757,886,0.5063129462894551,0.3393939393939394,74.0,0.6,"{""name"": ""lr_localmin20"", ""model"": ""logreg"", ""target"": ""localmin20""}","{""AMD"": 1.102, ""KGS"": 1.137, ""KZT"": 0.949, ""TJS"": 1.033, ""UZS"": 1.116}"
lr_benefit_pos,1.0058823529411764,0.6567717996289424,0.8978368793380455,1.0048568852828488,0.45454545454545453,10.675011050766006,0.47559653894028153,682,0.70709087483531,0.6121212121212121,121.0,0.6,"{""name"": ""lr_benefit_pos"", ""model"": ""logreg"", ""target"": ""benefit_pos""}","{""AMD"": 1.113, ""KGS"": 0.998, ""KZT"": 0.657, ""TJS"": 1.006, ""UZS"": 1.181}"
lr_benefit_top,0.915492957746479,0.6976772367639239,0.9329111135883564,0.9015306122448978,0.34545454545454546,-23.00054990026218,0.4708834823595814,675,0.7402461404902645,0.603030303030303,123.0,0.6,"{""name"": ""lr_benefit_top"", ""model"": ""logreg"", ""target"": ""benefit_top""}","{""AMD"": 0.915, ""KGS"": 0.698, ""KZT"": 0.961, ""TJS"": 0.768, ""UZS"": 1.153}"
lr_ex_vol,1.0317601183272824,0.9818181818181817,1.0025816803243752,1.0315873650539784,0.45454545454545453,27.448184298273276,0.4852729842821123,696,0.7059534190008273,0.5757575757575758,122.0,0.6,"{""name"": ""lr_ex_vol"", ""model"": ""logreg"", ""extra"": [""vol""]}","{""AMD"": 1.12, ""KGS"": 0.988, ""KZT"": 1.032, ""TJS"": 0.982, ""UZS"": 1.192}"
lr_ex_tech,0.96703728321953,0.845837641611221,0.8878951079324532,0.9342657342657343,0.4,5.774557615477235,0.5119500965045044,734,0.681545514071075,0.5484848484848485,104.0,0.7,"{""name"": ""lr_ex_tech"", ""model"": ""logreg"", ""extra"": [""tech""]}","{""AMD"": 1.167, ""KGS"": 0.967, ""KZT"": 0.846, ""TJS"": 0.907, ""UZS"": 1.102}"
lr_ex_usd,0.9962121212121211,0.9754485645933014,1.0623607797981505,1.0300302082951336,0.43636363636363634,42.51250102266283,0.5909024137044794,848,0.754993544588313,0.5121212121212121,95.0,0.8,"{""name"": ""lr_ex_usd"", ""model"": ""logreg"", ""extra"": [""usd""]}","{""AMD"": 0.989, ""KGS"": 0.996, ""KZT"": 0.975, ""TJS"": 1.214, ""UZS"": 1.075}"
lr_ex_basket,1.0585858585858585,0.9472450985601191,1.04859378422965,1.0282574568288854,0.509090909090909,58.840856159024156,0.5011746840716333,720,0.6023248418173154,0.5454545454545454,107.0,0.6,"{""name"": ""lr_ex_basket"", ""model"": ""logreg"", ""extra"": [""basket""]}","{""AMD"": 1.192, ""KGS"": 1.059, ""KZT"": 1.0, ""TJS"": 0.947, ""UZS"": 1.129}"
