name,lift_med_corr_median,lift_med_corr_min,lift_pooled,lift_win_median_all,share_windows_lift_gt1,benefit_excess_med,fpw,n_events,clump_share,empty_month_share,longest_gap,sec,spec,per_corr_lift
lr_hit10_exAll_gate0.2_fpw2,1.4093259229921475,1.0522088353413654,1.3371490055345672,1.4210526315789473,0.7090909090909091,97.5162396468505,0.33716490091700274,483,0.6424576327580083,0.5939393939393939,134.0,1.1,"{""name"": ""lr_hit10_exAll_gate0.2_fpw2"", ""model"": ""logreg"", ""target"": ""hit_mean10"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.494, ""KGS"": 1.449, ""KZT"": 1.052, ""TJS"": 1.374, ""UZS"": 1.409}"
lr_exAll_decay1,1.2134861688783256,1.02362012987013,1.1597016014356718,1.1749079748239857,0.6727272727272727,61.18030756231997,0.5701916567698457,819,0.6402274548294371,0.45151515151515165,88.0,1.0,"{""name"": ""lr_exAll_decay1"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""decay"": 1}","{""AMD"": 1.326, ""KGS"": 1.213, ""KZT"": 1.185, ""TJS"": 1.024, ""UZS"": 1.254}"
lr_exAll_decay1_gate0.2_fpw2,1.4124040920716112,1.259671338414884,1.3454114117404068,1.4124040920716112,0.8,104.9812265877924,0.3939492347671545,564,0.6805911673160798,0.5696969696969697,126.0,1.0,"{""name"": ""lr_exAll_decay1_gate0.2_fpw2"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""decay"": 1, ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.494, ""KGS"": 1.412, ""KZT"": 1.26, ""TJS"": 1.433, ""UZS"": 1.299}"
hgb_exAll_gate0.2_fpw2,1.3913549558080807,1.1607524828113063,1.361647471675548,1.3798586139261197,0.7636363636363637,104.54473801536406,0.3681159700256504,527,0.6511476576685554,0.5909090909090909,127.0,16.0,"{""name"": ""hgb_exAll_gate0.2_fpw2"", ""model"": ""hgb"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.44, ""KGS"": 1.434, ""KZT"": 1.161, ""TJS"": 1.382, ""UZS"": 1.391}"
blend_lr_hgb_exAll_gate0.2_fpw2,1.3950787986916444,1.2420049912753648,1.3496815587443851,1.4333333333333333,0.8,95.93840661715049,0.3547098649608858,508,0.602976089396447,0.5878787878787879,134.0,16.0,"{""name"": ""blend_lr_hgb_exAll_gate0.2_fpw2"", ""model"": ""blend_lr_hgb"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.498, ""KGS"": 1.56, ""KZT"": 1.242, ""TJS"": 1.395, ""UZS"": 1.271}"
stack_hgb_lr_exAll_gate0.2_fpw2,1.3977272727272725,1.1015582453653625,1.2919642364516934,1.3892962806424347,0.7090909090909091,97.60435648743918,0.3522301863402031,504,0.6499630314645796,0.6,127.0,105.1,"{""name"": ""stack_hgb_lr_exAll_gate0.2_fpw2"", ""model"": ""stack_hgb_lr"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.44, ""KGS"": 1.437, ""KZT"": 1.102, ""TJS"": 1.382, ""UZS"": 1.398}"
lr_exAll_C0.01,1.2793388429752066,1.0833333333333333,1.1015315599637736,1.235629017447199,0.6363636363636364,78.34634777201225,0.598293953224292,858,0.6466239642319026,0.4454545454545455,91.0,0.9,"{""name"": ""lr_exAll_C0.01"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""C"": 0.01}","{""AMD"": 1.279, ""KGS"": 1.083, ""KZT"": 1.307, ""TJS"": 1.19, ""UZS"": 1.392}"
lr_exAll_C1,1.0944570135746605,1.0566239316239316,1.0831851530902903,1.1448164582492941,0.6,62.424620642902696,0.5749264247642821,825,0.6240980366663489,0.46060606060606074,91.0,1.2,"{""name"": ""lr_exAll_C1"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""C"": 1.0}","{""AMD"": 1.068, ""KGS"": 1.094, ""KZT"": 1.145, ""TJS"": 1.057, ""UZS"": 1.333}"
lr_ex_vol+basket,1.0702936928261917,1.002152273338714,1.0781474351242295,1.1395854145854147,0.6,61.89836221541597,0.5012260859486418,719,0.6119477537351251,0.496969696969697,96.0,0.7,"{""name"": ""lr_ex_vol+basket"", ""model"": ""logreg"", ""extra"": [""vol"", ""basket""]}","{""AMD"": 1.014, ""KGS"": 1.07, ""KZT"": 1.242, ""TJS"": 1.002, ""UZS"": 1.623}"
lr_ex_vol+basket+usd,1.1736752552260572,1.0048309178743962,1.094031776365181,1.167032967032967,0.5818181818181818,44.67511253588769,0.6260741060524873,898,0.6863751537912506,0.4878787878787879,94.0,0.9,"{""name"": ""lr_ex_vol+basket+usd"", ""model"": ""logreg"", ""extra"": [""vol"", ""basket"", ""usd""]}","{""AMD"": 1.293, ""KGS"": 1.174, ""KZT"": 1.005, ""TJS"": 1.057, ""UZS"": 1.341}"
lr_ex_vol+basket_gate0.2_fpw2,1.2935369318181817,1.1331719128329298,1.2656120589388715,1.3776871657754013,0.6727272727272727,99.53681148226735,0.3255438352183488,466,0.6621468210907867,0.6303030303030303,134.0,0.7,"{""name"": ""lr_ex_vol+basket_gate0.2_fpw2"", ""model"": ""logreg"", ""extra"": [""vol"", ""basket""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0}","{""AMD"": 1.498, ""KGS"": 1.515, ""KZT"": 1.137, ""TJS"": 1.133, ""UZS"": 1.294}"
lr_exAll_gate0.2_fpw2_pol_cd2cap3,1.5403304303278689,1.128826530612245,1.3842629260602857,1.419540985330459,0.7636363636363637,118.86695739577145,0.434258469131157,622,0.7727963055576983,0.606060606060606,134.0,1.0,"{""name"": ""lr_exAll_gate0.2_fpw2_pol_cd2cap3"", ""model"": ""logreg"", ""extra"": [""vol"", ""tech"", ""usd"", ""basket"", ""cal""], ""gate_rank120"": 0.2, ""target_fpw"": 2.0, ""policy"": {""cooldown"": 2, ""cap"": 3, ""span"": 7}}","{""AMD"": 1.606, ""KGS"": 1.541, ""KZT"": 1.129, ""TJS"": 1.322, ""UZS"": 1.54}"
