семейство,вес,доля_пушей_топ,доля_вклада
USD-контекст,0.2612557297188081,0.5245614035087719,0.37546209493503985
уровень (ранг),0.20166829045863197,0.15087719298245614,0.10675142304495373
отклонение от тренда,0.1143119228514067,0.24736842105263157,0.1710195736416904
сезонность,0.09425901827218579,0.005263157894736842,0.06462976887672782
"техника (RSI, z, MACD)",0.08529707750324748,0.010526315789473684,0.08044962122173578
календарь,0.07066468524343586,0.0017543859649122807,0.034853265418107765
корзина EUR/CNY,0.06479854817233921,0.0035087719298245615,0.07520959246193294
волатильность,0.06124466677159445,0.04912280701754386,0.038775599937638995
моментум / серия,0.04650006100835049,0.007017543859649123,0.05284906046217273
