h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share,split,corr,theta
20,25.0,12,12,0.4166666666666667,0.15254237288135594,2.7314814814814814,,,0.5,0.5338983050847458,0.9365079365079365,37.65318631976674,-2.594269522656172,40.24745584242291,,,,,,,83.7402001791837,8.085229156906681,0.46408839779005523,0.7272727272727273,0.37238672774415577,121.0,0.6666666666666666,0,TJS,0.5656064421373038
20,25.0,4,4,0.25,0.13559322033898305,1.84375,,,0.5,0.5169491525423728,0.9672131147540984,23.634825109921096,-12.978020395404887,36.61284550532598,,,,,,,99.30148498280833,57.90942603031452,0.15469613259668508,0.6666666666666666,0.43514263457633695,135.0,0.6666666666666666,0,UZS,0.5656064421373038
20,25.0,24,24,0.20833333333333334,0.1440677966101695,1.446078431372549,,,0.4166666666666667,0.5,0.8333333333333334,1.9729048381074417,-8.151508733265231,10.124413571372672,,,,,,,59.379036492224344,0.6500507995120515,0.9281767955801105,0.8695652173913043,1.276437015138537,60.0,0.3333333333333333,0,KGS,0.5656064421373038
20,25.0,19,19,0.2631578947368421,0.1864406779661017,1.4114832535885167,,,0.5263157894736842,0.5508474576271186,0.9554655870445344,129.89305171364873,43.40759409925216,86.48545761439658,,,,,,,115.04624649442626,59.192876368545114,0.7348066298342542,0.9444444444444444,1.5855247992033707,60.0,0.3333333333333333,0,AMD,0.5656064421373038
20,25.0,21,21,0.19047619047619047,0.15254237288135594,1.2486772486772486,,,0.2857142857142857,0.4152542372881356,0.6880466472303206,-30.43980481340406,-18.204220636461798,-12.235584176942261,,,,,,,42.322340327344754,-14.632610161072968,0.8121546961325967,1.0,0.2683281572999748,93.0,0.5,0,KZT,0.5656064421373038
20,25.0,0,0,,0.17829457364341086,,,,,0.5581395348837209,,,33.342203091136966,,,,,,,,,,0.0,,,182.0,1.0,1,TJS,0.5691685239301963
20,25.0,0,0,,0.14728682170542637,,,,,0.5116279069767442,,,10.345720517709584,,,,,,,,,,0.0,,,182.0,1.0,1,UZS,0.5691685239301963
20,25.0,25,25,0.08,0.16279069767441862,0.4914285714285714,,,0.4,0.5348837209302325,0.7478260869565219,-44.12521655299129,25.66914672872073,-69.79436328171202,,,,,,,-5.19856990540859,-24.193691822343716,0.9510869565217391,0.625,1.0400156984686455,64.0,0.3333333333333333,1,KGS,0.5691685239301963
20,25.0,13,13,0.23076923076923078,0.13953488372093023,1.653846153846154,,,0.6923076923076923,0.6589147286821705,1.0506787330316743,55.69361892442495,51.49644441112181,4.197174513303146,,,,,,,35.49104448726376,12.56318248694911,0.4945652173913044,1.0,0.2,77.0,0.6666666666666666,1,AMD,0.5691685239301963
20,25.0,2,2,0.0,0.2248062015503876,0.0,,,0.0,0.5271317829457365,0.0,-151.03412450614638,10.733408670057983,-161.76753317620438,,,,,,,-64.47293241582165,-18.565627111802318,0.07608695652173914,1.0,0.0,91.0,0.8333333333333334,1,KZT,0.5691685239301963
20,25.0,2,2,0.0,0.1452991452991453,0.0,,,0.0,0.4700854700854701,0.0,-512.7734822077429,-53.00503542290707,-459.76844678483576,,,,,,,282.6448372489998,-496.5548282867577,0.07734806629834254,0.0,0.0,108.0,0.6666666666666666,2,TJS,0.5947010495263212
20,25.0,3,3,0.0,0.1111111111111111,0.0,,,0.6666666666666666,0.41025641025641024,1.625,49.25190345089203,-133.26289884507412,182.51480229596615,,,,,,,486.28530580872393,-347.6061772001522,0.11602209944751381,0.5,0.7931034482758621,122.0,0.6666666666666666,2,UZS,0.5947010495263212
20,25.0,6,6,0.0,0.10256410256410256,0.0,,,0.3333333333333333,0.39316239316239315,0.8478260869565217,-115.15759797254647,-134.33666686632213,19.179068893775664,,,,,,,300.6004346899216,-336.5174850848185,0.23204419889502761,0.8,1.2797957693469273,121.0,0.6666666666666666,2,KGS,0.5947010495263212
20,25.0,10,10,0.1,0.10256410256410256,0.9750000000000001,,,0.6,0.42735042735042733,1.404,160.57860454150574,-7.685668238494408,168.26427278000014,,,,,,,304.0049018775693,-129.66637882377867,0.3867403314917127,0.6666666666666666,1.5169686073677366,77.0,0.3333333333333333,2,AMD,0.5947010495263212
20,25.0,4,4,0.0,0.1111111111111111,0.0,,,0.0,0.38461538461538464,0.0,-622.3730469628493,-253.47141149360772,-368.9016354692416,,,,,,,218.47718311624158,-261.8424277829784,0.15469613259668508,0.0,0.43707741668455613,79.0,0.3333333333333333,2,KZT,0.5947010495263212
20,25.0,0,0,,0.2846153846153846,,,,,0.6230769230769231,,,163.51128752215095,,,,,,,,,,0.0,,,182.0,1.0,3,TJS,0.5664877986292332
20,25.0,1,1,1.0,0.25384615384615383,3.9393939393939394,,,1.0,0.5307692307692308,1.8840579710144927,953.6249118571494,116.21310466761958,837.4118071895298,,,,,,,653.4034093851715,944.492914709596,0.03804347826086957,0.0,,163.0,0.8333333333333334,3,UZS,0.5664877986292332
20,25.0,2,2,1.0,0.2846153846153846,3.5135135135135136,,,1.0,0.5769230769230769,1.7333333333333334,723.4566305449118,92.68431984896502,630.7723106959468,,,,,,,580.0612213065659,760.6327169623783,0.07608695652173914,0.0,0.0,91.0,0.6666666666666666,3,KGS,0.5664877986292332
20,25.0,1,1,1.0,0.26153846153846155,3.8235294117647056,,,1.0,0.6692307692307692,1.4942528735632186,1166.958386373278,176.90563882369997,990.052747549578,,,,,,,807.127811117172,1187.7917197066124,0.03804347826086957,0.0,,163.0,0.8333333333333334,3,AMD,0.5664877986292332
20,25.0,3,3,0.6666666666666666,0.2,3.333333333333333,,,1.0,0.6461538461538462,1.5476190476190474,630.8884955075868,165.82739028859348,465.06110521899325,,,,,,,432.4626998242461,571.9357500224077,0.1141304347826087,1.0,0.2,158.0,0.8333333333333334,3,KZT,0.5664877986292332
20,25.0,1,1,1.0,0.4915254237288136,2.0344827586206895,,,1.0,0.7627118644067796,1.3111111111111111,472.15118465588677,194.18642689935936,277.96475775652743,,,,,,,132.1334551120179,377.5721270080057,0.03867403314917127,0.0,,148.0,0.8333333333333334,4,TJS,0.49585323090296113
20,25.0,0,0,,0.5,,,,,0.8389830508474576,,,230.9240759258275,,,,,,,,,,0.0,,,172.0,1.0,4,UZS,0.49585323090296113
20,25.0,2,2,1.0,0.5508474576271186,1.8153846153846154,,,1.0,0.8389830508474576,1.191919191919192,458.4497956902611,231.7318649254994,226.71793076476172,,,,,,,108.12145319905264,225.6652422337324,0.07734806629834254,1.0,0.0,147.0,0.8333333333333334,4,KGS,0.49585323090296113
20,25.0,3,3,1.0,0.559322033898305,1.787878787878788,,,1.0,0.8389830508474576,1.191919191919192,440.39051093701056,274.3772909876495,166.0132199493611,,,,,,,107.01376236354292,230.75886695058225,0.11602209944751381,0.5,0.6,144.0,0.8333333333333334,4,AMD,0.49585323090296113
20,25.0,0,0,,0.4830508474576271,,,,,0.8050847457627118,,,290.11536164792756,,,,,,,,,,0.0,,,172.0,1.0,4,KZT,0.49585323090296113
20,25.0,28,28,0.21428571428571427,0.24031007751937986,0.8917050691244238,,,0.39285714285714285,0.5426356589147286,0.7239795918367348,-103.79948691777841,-14.369798255992611,-89.4296886617858,,,,,,,12.078345021047221,-47.19308179135243,1.065217391304348,0.9629629629629629,0.3818813079129867,78.0,0.3333333333333333,5,TJS,0.35878716791248383
20,25.0,35,35,0.14285714285714285,0.13953488372093023,1.0238095238095237,,,0.42857142857142855,0.4728682170542636,0.9063231850117095,-85.91351599481226,-69.49233690529937,-16.42117908951289,,,,,,,31.43038422177098,-28.987685320911194,1.3315217391304348,0.9411764705882353,0.567738381480497,45.0,0.16666666666666666,5,UZS,0.35878716791248383
20,25.0,31,31,0.16129032258064516,0.20155038759689922,0.8002481389578163,,,0.41935483870967744,0.5271317829457365,0.7955407969639469,-93.4608193148322,-26.704775666556326,-66.75604364827586,,,,,,,14.164155824896024,-37.429697969416175,1.1793478260869565,0.9333333333333333,0.7934920476158722,52.0,0.16666666666666666,5,KGS,0.35878716791248383
20,25.0,30,30,0.06666666666666667,0.17829457364341086,0.3739130434782608,,,0.2,0.4263565891472868,0.4690909090909091,-165.83419767411382,-49.59380850488834,-116.2403891692255,,,,,,,-1.20410872756726,-84.64996691667967,1.141304347826087,1.0,0.2273709103297903,78.0,0.3333333333333333,5,AMD,0.35878716791248383
20,25.0,31,31,0.0967741935483871,0.09302325581395349,1.0403225806451613,,,0.41935483870967744,0.5193798449612403,0.8074145402022147,-55.12286815005675,-23.450077638838618,-31.672790511218135,,,,,,,7.247927815945986,-33.989647796807596,1.1793478260869565,1.0,0.2,73.0,0.3333333333333333,5,KZT,0.35878716791248383
20,25.0,34,34,0.23529411764705882,0.19658119658119658,1.19693094629156,,,0.5588235294117647,0.5555555555555556,1.0058823529411764,37.48611377352796,16.838282384351277,20.647831389176684,,,,,,,43.35585764482511,10.03527341223279,1.3076923076923077,0.8484848484848485,1.121705425850233,34.0,0.16666666666666666,6,TJS,0.4850954092471116
20,25.0,20,20,0.2,0.15384615384615385,1.3,,,0.6,0.5128205128205128,1.1700000000000002,28.449102095646158,-20.683669886704273,49.132771982350434,,,,,,,43.1006652279195,-18.539421868035365,0.7692307692307693,0.8421052631578947,2.29119767302158,95.0,0.5,6,UZS,0.4850954092471116
20,25.0,36,36,0.2222222222222222,0.23931623931623933,0.9285714285714285,,,0.5833333333333334,0.5726495726495726,1.0186567164179106,33.59553004580237,31.12319280205631,2.472337243746061,,,,,,,34.561210731864605,7.268118011175583,1.3846153846153846,0.7428571428571429,1.1467137557273461,36.0,0.16666666666666666,6,KGS,0.4850954092471116
20,25.0,34,34,0.2647058823529412,0.2564102564102564,1.0323529411764707,,,0.5588235294117647,0.5641025641025641,0.9906417112299466,48.22179952866696,32.11626266314577,16.105536865521195,,,,,,,41.0506245539108,12.027568563821463,1.3076923076923077,0.7575757575757576,1.4692649848544617,50.0,0.16666666666666666,6,AMD,0.4850954092471116
20,25.0,29,29,0.20689655172413793,0.26495726495726496,0.7808676307007786,,,0.4827586206896552,0.5128205128205128,0.9413793103448277,-86.71264387441084,-51.33409444413086,-35.37854943027998,,,,,,,-1.6910313568784956,-27.953371106359736,1.1153846153846154,0.75,1.9351098892708591,67.0,0.16666666666666666,6,KZT,0.4850954092471116
20,25.0,17,17,0.058823529411764705,0.29770992366412213,0.1975867269984917,,,0.5882352941176471,0.6717557251908397,0.875668449197861,68.47072133351557,95.96472466495561,-27.49400333144004,,,,,,,58.8552090415994,82.93210692529111,0.6467391304347826,0.6875,2.042499590955097,99.0,0.5,7,TJS,0.5584827729400064
20,25.0,3,3,0.6666666666666666,0.31297709923664124,2.130081300813008,,,1.0,0.6641221374045801,1.5057471264367817,354.60308308554517,93.66515844300025,260.9379246425449,,,,,,,277.3891381643338,261.86827857448264,0.1141304347826087,0.5,0.5,144.0,0.6666666666666666,7,UZS,0.5584827729400064
20,25.0,19,19,0.2631578947368421,0.3282442748091603,0.8017135862913096,,,0.6842105263157895,0.7557251908396947,0.9053694843168527,100.51123922635973,99.54663906237663,0.964600163983107,,,,,,,50.941754660203294,100.27616643873849,0.7228260869565217,0.7222222222222222,2.2268777189149835,100.0,0.5,7,KGS,0.5584827729400064
