indicator,sent_latest,muted_latest,thinned_latest,cooldown_latest,storm_latest,holiday_latest,sent_variant,muted_variant,thinned_variant,cooldown_variant,storm_variant,holiday_variant
dip_vs_trend,54,309,38,90,5,0,42,309,36,73,5,31
level,193,146,76,192,16,0,166,146,75,152,16,68
ml_localmin,84,40,61,81,6,0,79,40,60,66,6,21
momentum,239,484,88,152,25,0,201,484,87,123,25,68
reversal,90,295,5,125,10,0,78,295,10,95,10,37
seasonality,75,12,24,18,5,0,59,12,24,19,5,15
