scenario,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
BUY_NOW,55,645,547,1.0408172315365805,1.0634119575671621,0.022594726030581658,-0.018055641407766738,0.06482480800060052,34.25731206598712,45.26514280373134,11.007830737744214,-1.3463418404276166,25.19574051223549,11,-0.030270077414704322,0.07124333570547897,-4.65533604876589,29.712233432176237,разницы нет,разницы нет,разницы нет,разницы нет
WINDOW_CLOSING,22,90,78,1.106607938706009,1.1665746294500852,0.05996669074407612,-0.08639864262208076,0.206690046429908,-26.552353629577343,-7.213237937471868,19.339115692105477,-7.307461033267108,55.03711282705677,10,-0.11554506471270248,0.2020023843437675,-2.3117909513407398,51.265390344623256,разницы нет,разницы нет,разницы нет,разницы нет
all,55,735,625,1.0474663409853064,1.0739326018902455,0.026466260904939087,-0.0073813160225739746,0.060471265183438504,26.811230552244535,38.71584088722918,11.904610334984643,1.2089008240804746,23.858107938989576,11,-0.016134175897725814,0.06598403910934703,-3.1600752350746886,31.00571155798033,разницы нет,разницы нет,вариант,разницы нет
