corridor,indicator,split,window,params,feasible,n_feasible,fitted
TJS,momentum,0,2021-01…2021-06,"{""n"": 5, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 1.6186}",True,2.0,
TJS,level,0,2021-01…2021-06,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 3, ""_score"": 1.6483}",True,3.0,
TJS,reversal,0,2021-01…2021-06,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 5, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.4007}",True,13.0,
TJS,seasonality,0,2021-01…2021-06,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.6186}",True,4.0,
TJS,dip_vs_trend,0,2021-01…2021-06,"{""span"": 80, ""window"": 250, ""pct"": 0.05, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.6366}",True,7.0,
TJS,ml_localmin,0,2021-01…2021-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.4359, ""_fitted"": true, ""_pos_rate_val"": 0.556}",,,True
TJS,momentum,1,2021-07…2021-12,"{""n"": 5, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 1.0925}",True,2.0,
TJS,level,1,2021-07…2021-12,"{""window"": 60, ""pct"": 0.05, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 2, ""_score"": 1.6483}",True,2.0,
TJS,reversal,1,2021-07…2021-12,"{""window"": 120, ""rise_bps"": 80, ""max_days_since_min"": 10, ""rearm"": 5, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.3986}",True,8.0,
TJS,seasonality,1,2021-07…2021-12,"{""min_share"": 0.5, ""min_years"": 4, ""from_day"": 20, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.6186}",True,4.0,
