indicator,blocks,events_latest,events_variant,lift_latest,lift_variant,diff_lift,diff_lift_ci_lo,diff_lift_ci_hi,benefit_latest,benefit_variant,diff_benefit,diff_benefit_ci_lo,diff_benefit_ci_hi,blocks_by_window,diff_lift_ci_lo_by_window,diff_lift_ci_hi_by_window,diff_benefit_ci_lo_by_window,diff_benefit_ci_hi_by_window,verdict_lift,verdict_lift_by_window,verdict_benefit,verdict_benefit_by_window
dip_vs_trend,47,496,420,1.0022315287028014,1.0148000912456043,0.012568562542802919,-0.057687176924673254,0.08868998845462903,-31.782636922024643,-24.303554096530544,7.4790828254941,-13.704675906684551,32.834464942057224,10,-0.08727032786840147,0.15313063000762414,-19.667736110058428,33.738643509835605,разницы нет,разницы нет,разницы нет,разницы нет
level,50,623,710,1.1069629735349202,1.190363578287726,0.08340060475280575,0.00017278510724001034,0.16756873042465223,43.97691720912351,56.5542712266923,12.577354017568787,-10.880262710146662,34.13627559753433,10,-0.02898625072451074,0.22901857645108326,-33.98142804802362,48.341171033434186,вариант,разницы нет,разницы нет,разницы нет
ml_localmin,46,272,345,1.1558207648258547,1.1214566184822279,-0.034364146343626834,-0.15403890992837196,0.08718568414531609,36.987921164500456,30.427087744474694,-6.560833420025762,-46.01439478920529,26.111852019437364,10,-0.16731572118395752,0.08992359223453955,-35.871710262247554,11.336969124984725,разницы нет,разницы нет,разницы нет,разницы нет
momentum,55,988,1010,0.9804468066353104,0.9407595713543879,-0.03968723528092244,-0.0803996252886602,0.0008015024790634183,-6.443570074061485,-18.12761299951562,-11.684042925454134,-20.408583328424232,-2.8600199321103084,11,-0.0791645613053179,-0.0015522690397280021,-21.16900244820788,-0.9199566227543506,разницы нет,latest,latest,latest
reversal,50,525,715,1.0774007002126214,1.0005415556713728,-0.07685914454124854,-0.15944371877569882,0.010958284935591991,-9.113811567736207,-2.954582540034881,6.1592290277013255,-19.19678133261912,36.676861844266554,10,-0.1709398209802245,0.023204129911421185,-24.186814870827938,54.91619639834735,разницы нет,разницы нет,разницы нет,разницы нет
seasonality,55,134,165,1.0311448924491056,1.1180435847336785,0.08689869228457292,-0.0023785404880316127,0.17618391572611689,43.5513928125129,57.746467237858155,14.195074425345254,-16.894504877920266,49.399805081546305,11,-0.021785608711759497,0.2056040357894589,-22.276563310694247,73.49798209245384,разницы нет,разницы нет,разницы нет,разницы нет
all,55,3038,3365,1.0408607511577708,1.0413257475783426,0.0004649964205718504,-0.036763210790462755,0.04110061703548929,5.391387226907937,8.78161562284201,3.3902283959340727,-6.516721771204224,12.60247504364296,11,-0.03930883302259963,0.04650283915651016,-9.98966744125914,12.290647119902207,разницы нет,разницы нет,разницы нет,разницы нет
