indicator,corridor,windows,silent_windows,events,lift_min_median,lift_mean_median,share_lift_mean_ge_1_3,share_lift_mean_lt_1,hit_mean_pooled,base_mean_pooled,benefit_excess_median_bps,benefit_fwd_median_bps,benefit_sym_median_bps,freq_per_week_median,empty_month_share_mean,lift_mean_pooled
dip_vs_trend,AMD,11,2,28,1.597560975609756,1.1700000000000002,0.3333333333333333,0.3333333333333333,0.5,0.47298095412310376,68.15061813988927,172.82023465917894,260.86101295442757,0.07734806629834254,0.7424242424242423,1.0571250187589243
dip_vs_trend,KGS,11,5,27,0.48750000000000004,0.8724747474747474,0.16666666666666666,0.5,0.37037037037037035,0.41527792037684136,-8.767383900974657,-45.7387019022007,194.37743101814732,0.038461538461538464,0.8030303030303031,0.891861455177487
dip_vs_trend,KZT,11,1,55,1.6214565004887584,1.2534055727554179,0.3,0.4,0.509090909090909,0.4555825736840159,8.76315338160241,17.018787178087123,254.70762729175266,0.15217391304347827,0.6212121212121212,1.1174503558689792
dip_vs_trend,TJS,11,4,37,0.6935483870967741,0.8783783783783784,0.14285714285714285,0.8571428571428571,0.3783783783783784,0.528137521782116,-89.09213172219664,-76.44444357507523,180.9114317718985,0.15217391304347827,0.7575757575757577,0.7164391143836946
dip_vs_trend,UZS,11,3,36,0.7881481481481483,1.4625,0.625,0.375,0.4166666666666667,0.4338494179776535,46.09085571595094,45.1002701312414,250.65355809333266,0.03867403314917127,0.7424242424242423,0.9603946655245442
level,AMD,11,3,48,1.0998768472906404,1.3444755244755244,0.5,0.125,0.5625,0.42858507415322283,120.89023258188301,138.99226061732168,171.67249178806014,0.07692307692307693,0.6666666666666666,1.3124582117362804
level,KGS,11,4,56,1.2037037037037037,1.0833333333333335,0.42857142857142855,0.2857142857142857,0.44642857142857145,0.39283726609308,79.61405496247855,46.96891769213443,118.66543440781338,0.15217391304347827,0.6515151515151515,1.1364211340448371
level,KZT,11,2,41,0.0,0.8478260869565217,0.1111111111111111,0.6666666666666666,0.2682926829268293,0.3910475305308959,21.2193498690306,31.952758539088585,77.1973572398954,0.15217391304347827,0.6666666666666666,0.686087142815065
level,TJS,11,3,28,1.2636566332218506,1.0275808936825888,0.375,0.5,0.5714285714285714,0.5253144138671163,56.7914215584301,38.99456594174022,137.19341441433698,0.07608695652173914,0.7424242424242423,1.0877839182480915
level,UZS,11,1,36,0.0,1.1857296798029555,0.2,0.3,0.4166666666666667,0.45948349142320105,20.083303497002174,15.23989316664294,127.90546319325338,0.11602209944751381,0.606060606060606,0.9068153142479313
ml_localmin,AMD,11,3,41,1.3541666666666665,1.4912178956089481,0.75,0.0,0.5609756097560976,0.3894485913273285,97.09345803008173,74.02823386305974,172.60161066205848,0.07608695652173914,0.7424242424242423,1.4404355857191995
ml_localmin,KGS,11,1,63,0.298469387755102,1.4393939393939394,0.6,0.2,0.5396825396825397,0.4222326555364013,85.30928718207915,69.92856267221175,155.3820292308583,0.19230769230769232,0.5454545454545454,1.2781639046769864
ml_localmin,KZT,11,2,56,0.6290322580645161,1.1754068716094033,0.4444444444444444,0.3333333333333333,0.5,0.46012572378407635,69.88932283075204,104.60481106018325,155.54292192478837,0.2282608695652174,0.6212121212121212,1.086659524027471
ml_localmin,TJS,11,2,53,0.6935483870967741,1.1898305084745762,0.2222222222222222,0.3333333333333333,0.5660377358490566,0.5157769345540867,23.609420416923463,40.32532885438866,116.66426314342812,0.1141304347826087,0.6666666666666666,1.0974467796595493
ml_localmin,UZS,11,2,59,0.9699248120300751,0.8863636363636365,0.3333333333333333,0.6666666666666666,0.423728813559322,0.4314369347103207,13.855853467890363,-41.447501656271456,108.4926188572019,0.15217391304347827,0.5909090909090909,0.9821338403579792
momentum,AMD,11,1,32,0.446969696969697,1.249695228143504,0.5,0.4,0.65625,0.5680438685699188,52.791993563203114,29.726769396181126,154.43907732674705,0.07734806629834254,0.6666666666666666,1.1552804920721085
momentum,KGS,11,0,33,0.6051282051282051,1.191919191919192,0.36363636363636365,0.36363636363636365,0.5757575757575758,0.5174374913208121,61.05803581880633,26.796390184073427,199.80436713306514,0.11602209944751381,0.6363636363636364,1.1127094294769708
momentum,KZT,11,0,30,1.0350877192982457,1.5476190476190474,0.5454545454545454,0.2727272727272727,0.5666666666666667,0.5117651305426432,175.79786754365807,210.5133557730893,224.06713476313868,0.07734806629834254,0.7121212121212122,1.1072787746711257
momentum,TJS,11,0,36,0.0,0.8958333333333334,0.18181818181818182,0.6363636363636364,0.5277777777777778,0.5734725062857006,-9.219955477312087,9.168801310663333,128.7172406007333,0.11602209944751381,0.6212121212121212,0.9203192341270534
momentum,UZS,11,2,23,0.0,0.9672131147540984,0.2222222222222222,0.6666666666666666,0.43478260869565216,0.5309578930342509,103.55209274036562,91.29761116046464,128.18989655875356,0.07608695652173914,0.712121212121212,0.8188645736312753
reversal,AMD,11,5,25,1.467741935483871,1.467741935483871,0.5,0.3333333333333333,0.44,0.3351957120092714,88.49691080333233,106.65176013802125,101.21616733982208,0.03867403314917127,0.8030303030303031,1.3126659567406094
reversal,KGS,11,3,33,1.2097222222222221,1.2097222222222221,0.5,0.5,0.42424242424242425,0.3786910982417486,96.30850034293795,39.801854852852,119.74479430541751,0.1141304347826087,0.696969696969697,1.1202862338517305
reversal,KZT,11,2,34,0.9285714285714286,0.9285714285714286,0.3333333333333333,0.5555555555555556,0.3235294117647059,0.3151356063950696,7.6273240817849945,-69.82884069055895,73.78950663226017,0.07692307692307693,0.696969696969697,1.0266355346692033
reversal,TJS,11,5,21,1.296875,1.296875,0.5,0.5,0.5238095238095238,0.461169642486158,75.33040297363009,80.35711228586271,179.4220507057248,0.07608695652173914,0.7575757575757575,1.1358282843286807
reversal,UZS,11,3,26,1.6058823529411763,1.6058823529411763,0.5,0.25,0.5,0.3462192036492391,138.80971140399674,100.40772074395082,138.72977454573845,0.07608695652173914,0.696969696969697,1.4441717695895315
seasonality,AMD,11,0,19,1.7878787878787878,1.4395604395604396,0.5454545454545454,0.2727272727272727,0.6842105263157895,0.5737762503485329,162.2322369508514,112.63842844596306,76.01106284535363,0.07608695652173914,0.712121212121212,1.1924692350026247
seasonality,KGS,11,0,29,0.9076923076923077,0.873134328358209,0.09090909090909091,0.7272727272727273,0.4482758620689655,0.5033503160609095,-13.406995869054342,28.93930807742528,33.465623972965076,0.07734806629834254,0.5606060606060606,0.8905842467271252
seasonality,KZT,11,0,32,0.0,1.0522088353413654,0.18181818181818182,0.45454545454545453,0.53125,0.5223448503834385,18.033211146582165,-13.461253373483109,15.642208151038506,0.1141304347826087,0.5151515151515151,1.017048410853528
seasonality,TJS,11,0,28,0.0,0.8999999999999999,0.18181818181818182,0.7272727272727273,0.5357142857142857,0.5715400281520931,39.070490337527104,53.423932967946456,61.756602273626015,0.07734806629834254,0.5757575757575757,0.9373171769724695
seasonality,UZS,11,0,26,0.0,1.2380952380952381,0.36363636363636365,0.2727272727272727,0.6153846153846154,0.5210702419148596,31.211200666606175,108.22119199838664,31.99455731719536,0.1141304347826087,0.6060606060606061,1.1810012660158136
