indicator,corridor,split,window,scenario,speed,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share,hit_mean_trunc,base_mean_trunc,n_scored_trunc,lift_mean_trunc,benefit_excess_trunc,base_mean_month_trunc,benefit_excess_month_trunc
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,0.0,3,3,0.3333333333333333,0.4745762711864407,0.7023809523809523,,,0.3333333333333333,0.4745762711864407,0.7023809523809523,-1.681543410086972,-1.6952910407747044,0.013747630687732437,,,,,,,9.88012216949663,-17.37886656384524,0.11602209944751381,0.5,0.9142857142857143,99.0,0.6666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,10.0,3,3,0.6666666666666666,0.5338983050847458,1.2486772486772486,,,0.6666666666666666,0.5338983050847458,1.2486772486772486,-1.681543410086972,-1.6952910407747044,0.013747630687732437,,,,,,,9.88012216949663,-17.37886656384524,0.11602209944751381,0.5,0.9142857142857143,99.0,0.6666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,25.0,3,3,1.0,0.6271186440677966,1.5945945945945945,,,1.0,0.6271186440677966,1.5945945945945945,-1.681543410086972,-1.6952910407747044,0.013747630687732437,,,,,,,9.88012216949663,-17.37886656384524,0.11602209944751381,0.5,0.9142857142857143,99.0,0.6666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,1,50.0,3,3,1.0,0.8050847457627118,1.2421052631578948,,,1.0,0.8050847457627118,1.2421052631578948,-1.681543410086972,-1.6952910407747044,0.013747630687732437,,,,,,,9.88012216949663,-17.37886656384524,0.11602209944751381,0.5,0.9142857142857143,99.0,0.6666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,0.0,3,3,0.3333333333333333,0.2966101694915254,1.1238095238095238,,,0.3333333333333333,0.4406779661016949,0.7564102564102564,-7.837692119535184,-1.753943134230494,-6.08374898530469,,,,,,,17.777828912557414,-17.37886656384524,0.11602209944751381,0.5,0.9142857142857143,99.0,0.6666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,10.0,3,3,0.3333333333333333,0.3220338983050847,1.0350877192982457,,,0.3333333333333333,0.4830508474576271,0.6900584795321637,-7.837692119535184,-1.753943134230494,-6.08374898530469,,,,,,,17.777828912557414,-17.37886656384524,0.11602209944751381,0.5,0.9142857142857143,99.0,0.6666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,25.0,3,3,0.3333333333333333,0.3983050847457627,0.8368794326241135,,,1.0,0.5932203389830508,1.6857142857142857,-7.837692119535184,-1.753943134230494,-6.08374898530469,,,,,,,17.777828912557414,-17.37886656384524,0.11602209944751381,0.5,0.9142857142857143,99.0,0.6666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,3,50.0,3,3,0.6666666666666666,0.559322033898305,1.191919191919192,,,1.0,0.7288135593220338,1.372093023255814,-7.837692119535184,-1.753943134230494,-6.08374898530469,,,,,,,17.777828912557414,-17.37886656384524,0.11602209944751381,0.5,0.9142857142857143,99.0,0.6666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,0.0,3,3,0.0,0.2033898305084746,0.0,,,0.3333333333333333,0.4491525423728814,0.7421383647798742,-11.206480198063067,-1.8278022888000809,-9.378677909262986,,,,,,,33.81076180861402,-17.37886656384524,0.11602209944751381,0.5,0.9142857142857143,99.0,0.6666666666666666,,,,,,,
momentum,TJS,0,2021-01…2021-06,BUY_NOW,fast,5,10.0,3,3,0.0,0.2288135593220339,0.0,,,0.3333333333333333,0.4745762711864407,0.7023809523809523,-11.206480198063067,-1.8278022888000809,-9.378677909262986,,,,,,,33.81076180861402,-17.37886656384524,0.11602209944751381,0.5,0.9142857142857143,99.0,0.6666666666666666,,,,,,,
